Precinct	total_votes	votes|Jerry Joyce	votes|Paul Vallas	votes|Willie L. Wilson	votes|Toni Preckwinkle	votes|William M. Daley	votes|Garry Mccarthy	votes|Gery Chico	votes|Susana A. Mendoza	votes|Amara Enyia	votes|La Shawn K. Ford	votes|Neal Sales-Griffin	votes|Lori Lightfoot	votes|Robert ''Bob'' Fioretti	votes|John Kenneth Kozlar
10002	299	49	21	13	11	45	34	71	34	6	0	0	11	2	2
10003	310	41	17	19	18	39	29	67	52	6	0	1	16	3	2
10004	167	4	8	23	20	25	1	38	23	11	0	0	12	0	2
10005	245	29	23	9	4	38	32	49	42	4	1	0	13	1	0
10006	258	17	28	8	8	44	15	63	47	10	0	1	12	2	3
10007	192	10	17	6	14	21	10	46	49	4	0	0	13	2	0
10008	103	3	1	17	23	7	1	14	15	9	2	1	10	0	0
10009	274	47	25	16	6	41	18	66	29	4	1	0	14	5	2
10010	310	32	29	9	13	27	17	80	64	9	0	0	26	4	0
10011	297	15	11	8	16	20	21	93	83	12	1	1	12	3	1
10012	180	13	18	0	8	22	15	40	48	6	0	1	7	2	0
10013	241	9	13	19	8	22	6	85	60	4	2	0	10	2	1
10014	367	23	19	3	14	58	26	96	91	16	0	0	16	4	1
10015	465	10	8	145	102	48	3	16	13	43	7	3	65	2	0
10016	187	15	13	11	16	37	18	47	20	1	0	0	7	1	1
10017	369	33	49	19	17	59	28	70	52	8	0	0	28	5	1
10018	130	9	1	20	21	9	1	23	26	6	2	0	11	1	0
10019	315	18	30	8	17	43	27	87	52	10	0	0	17	4	2
10020	297	16	18	9	12	46	32	81	52	7	1	0	20	1	2
10021	259	29	26	9	8	35	17	68	47	9	1	1	8	1	0
10022	126	4	4	3	9	13	1	31	44	7	0	0	6	3	1
10023	215	10	3	4	15	39	12	58	47	12	1	0	12	1	1
10024	278	35	28	18	8	36	28	62	37	8	1	0	15	2	0
10025	79	3	0	8	14	17	0	7	14	6	2	0	7	1	0
10026	166	8	5	5	10	19	7	47	44	10	0	1	8	2	0
10027	160	3	6	37	19	28	2	23	18	9	2	0	11	1	1
10028	303	32	15	13	16	27	15	83	58	19	1	0	22	1	1
10029	219	10	12	7	5	21	20	60	53	7	0	1	16	4	3
10030	220	5	11	4	11	32	14	63	54	10	0	0	13	2	1
10031	166	11	7	5	13	12	7	41	49	8	0	1	11	1	0
10032	274	23	23	3	19	30	18	76	54	15	0	0	13	0	0
10033	182	10	10	6	5	21	13	41	47	13	0	0	13	2	1
10034	159	12	5	22	11	14	4	40	26	11	1	1	11	1	0
10035	371	48	30	4	10	52	24	83	77	9	1	1	26	6	0
10036	65	2	4	9	11	10	1	13	8	3	0	0	4	0	0
11001	328	21	16	8	26	121	19	18	24	15	2	0	45	4	9
11002	17	0	2	3	5	3	0	0	2	0	0	0	2	0	0
11003	254	13	7	3	41	27	5	21	26	54	0	2	51	1	3
11004	254	21	7	7	19	94	11	24	28	18	0	0	19	0	6
11005	365	15	9	19	54	85	16	19	24	61	0	0	53	7	3
11006	404	24	22	3	54	80	10	23	29	38	2	2	110	2	5
11007	238	10	10	19	36	44	4	19	13	35	2	0	44	0	2
11008	293	28	9	6	19	92	15	20	36	20	0	1	37	2	8
11009	265	23	14	10	23	76	16	19	31	15	3	0	28	3	4
11010	308	24	16	4	27	137	15	16	7	12	1	1	37	3	8
11011	307	22	22	9	27	70	24	25	32	18	2	0	53	0	3
11012	521	159	19	5	10	172	37	19	17	7	0	0	30	1	45
11013	431	125	32	7	8	140	26	26	11	5	2	0	17	1	31
11014	199	22	6	3	25	83	15	12	3	11	4	0	10	1	4
11015	138	9	3	5	12	51	9	10	14	3	0	0	18	1	3
11016	218	11	13	4	16	101	17	20	7	6	1	0	17	1	4
11017	375	18	17	10	42	106	13	34	36	34	1	0	52	4	8
11018	277	34	16	2	9	126	15	27	19	7	0	0	18	0	4
11019	391	35	13	13	37	89	22	30	33	52	0	2	52	5	8
11020	237	17	6	4	14	107	15	12	21	12	1	0	24	1	3
11021	483	32	22	7	31	239	29	34	20	24	1	0	30	3	11
11022	400	19	15	3	26	154	21	21	18	32	2	0	68	1	20
11023	220	11	9	3	17	95	25	13	13	10	1	0	16	0	7
11024	449	30	19	4	21	269	22	22	16	12	0	2	22	2	8
11025	412	31	24	10	42	128	20	13	19	35	1	2	73	4	10
11026	415	22	23	5	35	183	18	23	26	29	2	0	38	2	9
11027	107	7	3	0	8	39	0	17	9	11	1	0	10	1	1
11028	143	33	6	6	4	50	6	11	3	4	0	0	15	0	5
11029	439	27	22	4	5	212	21	55	29	21	0	0	34	1	8
11030	151	9	18	10	13	54	1	13	10	9	0	0	10	3	1
11031	356	76	15	4	12	144	19	22	12	8	0	0	26	3	15
11032	189	16	12	5	5	96	5	23	6	8	0	0	11	0	2
11033	337	12	18	13	39	77	15	23	25	18	2	2	87	2	4
11034	150	17	9	5	9	73	14	7	6	3	0	0	3	1	3
11035	111	9	2	6	6	71	7	4	2	0	0	0	2	2	0
11036	130	8	2	1	7	59	10	8	7	10	0	0	10	1	7
11037	98	4	1	6	11	44	3	6	6	9	1	0	5	1	1
11038	138	4	4	3	20	17	1	17	20	15	0	1	33	1	2
12001	300	26	4	5	32	53	20	38	63	26	1	0	29	2	1
12002	213	13	10	8	14	38	4	41	60	13	1	0	9	0	2
12003	390	25	22	14	56	57	14	59	51	22	3	0	60	3	4
12004	292	22	13	2	23	55	11	53	50	25	0	2	32	0	4
12005	316	30	9	9	15	69	45	43	44	12	0	0	38	1	1
12006	282	31	15	10	17	45	16	51	54	14	1	0	23	2	3
12007	222	7	5	4	32	36	3	30	56	26	0	1	20	0	2
12008	351	28	12	6	25	72	15	57	83	28	1	0	21	1	2
12009	250	23	8	6	21	46	11	38	44	21	1	1	20	1	9
12010	247	17	1	4	33	35	5	21	70	33	1	0	24	2	1
12011	234	17	6	6	7	48	3	44	74	9	1	0	16	3	0
12012	239	10	4	13	12	38	11	34	80	4	2	1	24	3	3
12013	262	20	9	12	14	52	10	41	65	21	1	0	13	3	1
12014	183	13	2	3	20	29	3	23	66	16	1	0	7	0	0
12015	220	20	6	8	13	31	2	26	79	14	2	5	12	1	1
12016	186	14	5	4	11	18	9	29	68	14	2	1	8	1	2
12017	263	22	9	7	25	43	5	43	70	21	0	0	17	1	0
12018	218	14	5	7	22	22	1	25	79	29	0	0	11	2	1
12019	260	22	14	3	16	45	10	41	59	27	2	2	18	1	0
12020	239	15	6	4	14	39	10	41	67	24	1	1	15	1	1
12021	253	25	4	5	22	42	5	41	52	24	1	1	25	5	1
12022	190	11	5	8	28	22	7	28	49	18	0	2	12	0	0
12023	297	19	17	6	26	48	11	40	67	25	4	2	27	1	4
13001	258	56	17	5	13	41	23	40	36	8	0	0	16	2	1
13002	256	75	17	7	13	51	15	23	30	1	0	1	20	2	1
13003	194	18	5	2	9	39	11	21	55	14	0	0	16	4	0
13004	306	85	19	4	9	45	26	48	46	4	1	0	10	9	0
13005	290	40	13	4	15	47	23	50	71	11	1	1	14	0	0
13006	309	96	20	8	5	61	18	32	36	8	1	0	21	1	2
13007	181	19	9	7	7	28	20	36	44	1	0	0	7	2	1
13008	213	47	14	4	8	38	14	32	39	1	0	0	12	3	1
13009	232	33	12	4	12	30	10	50	44	8	0	0	23	5	1
13010	300	114	28	4	2	49	21	36	30	2	0	0	12	2	0
13011	323	102	26	8	8	47	18	39	45	9	0	1	17	1	2
13012	217	28	14	5	13	38	9	41	49	8	1	0	10	1	0
13013	264	38	12	3	12	36	14	47	78	5	0	1	16	2	0
13014	215	25	12	8	9	42	20	33	37	10	2	0	13	3	1
13015	340	32	17	10	16	50	12	56	99	33	0	0	13	1	1
13016	149	25	3	3	10	35	6	27	31	0	1	0	6	1	1
13017	246	66	25	5	13	43	11	35	31	3	0	0	9	2	3
13018	244	66	22	6	12	47	16	31	28	1	0	0	7	6	2
13019	280	40	6	9	15	40	11	36	88	14	1	0	17	2	1
13020	201	76	8	3	6	25	17	28	27	2	0	0	9	0	0
13021	371	123	24	5	6	63	36	59	33	2	0	1	13	6	0
13022	331	83	35	3	6	56	20	42	47	7	2	2	22	5	1
13023	175	25	14	2	10	17	8	36	47	6	0	0	8	1	1
13024	249	37	24	11	8	42	15	31	49	8	1	1	20	0	2
13025	218	36	10	0	13	42	14	31	48	7	1	0	11	2	3
13026	246	42	12	5	13	48	25	44	33	5	0	1	12	4	2
13027	268	56	14	5	13	43	16	36	51	9	0	0	22	2	1
13028	174	28	10	5	9	26	6	41	35	6	0	0	6	2	0
13029	203	27	15	7	9	34	15	45	34	9	0	1	7	0	0
13030	183	24	4	0	7	19	1	51	57	12	0	1	7	0	0
13031	340	95	34	6	11	55	26	51	31	5	0	2	21	3	0
13032	278	91	27	0	5	47	15	35	38	3	0	0	11	5	1
13033	315	102	32	6	9	56	26	34	31	1	0	0	18	0	0
13034	280	45	7	6	16	51	10	40	77	10	1	0	11	5	1
13035	248	34	13	4	11	35	15	38	76	10	0	1	9	2	0
13036	149	14	9	4	5	24	9	39	34	7	0	0	3	1	0
13037	293	45	19	24	29	49	6	49	37	9	2	0	20	2	2
13038	273	90	23	2	3	43	29	32	35	2	0	0	9	2	3
13039	245	38	11	8	12	47	14	37	53	16	1	1	6	0	1
13040	245	39	15	4	7	43	18	34	57	11	1	1	11	1	3
13041	263	30	8	9	17	36	10	39	81	12	1	1	14	5	0
13042	340	118	22	8	16	61	21	33	31	1	0	0	20	7	2
13043	257	44	11	13	12	47	17	31	63	5	0	0	12	2	0
13044	348	54	10	11	12	37	10	59	125	15	2	0	11	2	0
13045	373	105	30	17	11	62	19	40	71	7	0	0	8	0	3
13046	309	42	13	1	10	44	11	40	123	13	0	0	12	0	0
13047	288	29	22	8	8	49	11	46	98	4	0	0	7	3	3
13048	281	57	19	4	16	70	19	32	42	4	0	0	10	3	5
14001	450	131	41	8	9	96	32	54	50	9	1	0	15	3	1
14002	349	38	11	6	25	72	28	56	70	17	0	0	16	10	0
14003	210	24	5	3	18	24	11	46	56	13	0	1	9	0	0
14004	343	129	21	10	11	50	33	49	33	2	0	0	4	1	0
14005	323	10	12	12	22	39	12	70	113	14	0	1	17	1	0
14006	121	7	0	1	0	19	2	42	36	6	0	0	6	2	0
14007	262	27	6	2	20	36	15	46	72	13	2	0	18	3	2
14008	272	32	13	6	15	39	14	31	87	14	0	2	11	4	4
14009	379	102	26	3	13	70	16	40	58	15	0	0	26	6	4
14010	160	12	6	10	12	17	4	31	38	10	0	0	16	1	3
14011	160	11	6	1	5	8	5	72	36	4	0	0	12	0	0
14012	267	33	11	1	17	30	20	47	75	10	1	0	19	3	0
14013	239	23	12	3	14	38	13	43	62	18	0	0	13	0	0
14014	248	6	9	0	7	32	6	74	90	11	0	0	7	4	2
14015	242	28	5	2	9	37	8	34	82	22	0	0	13	2	0
14016	190	16	11	0	8	32	16	28	60	5	1	0	12	0	1
14017	211	19	5	5	8	29	8	51	55	15	0	0	11	2	3
14018	124	8	9	2	7	25	10	17	34	3	0	0	7	1	1
14019	219	27	6	0	9	39	10	34	69	14	0	0	9	1	1
14020	142	9	14	2	10	25	6	19	43	3	0	3	6	1	1
14021	216	20	9	2	19	26	8	36	62	23	0	0	8	2	1
14022	337	45	20	6	24	64	18	64	68	10	0	0	12	2	4
14023	222	33	4	3	8	42	16	36	47	16	0	0	14	3	0
14024	395	128	24	7	8	72	22	54	35	12	1	0	24	8	0
14025	136	14	4	2	6	24	8	21	37	9	1	0	9	1	0
14026	163	11	5	4	4	24	5	24	67	13	0	0	6	0	0
14027	265	17	18	7	16	41	21	44	63	20	0	2	13	1	2
14028	174	13	7	7	8	30	9	21	50	9	0	0	15	3	2
14029	216	13	10	9	11	27	8	53	61	12	0	1	9	0	2
14030	125	8	5	2	6	24	3	21	38	8	0	0	10	0	0
14031	119	13	1	5	3	17	2	13	52	8	0	0	5	0	0
15001	255	19	8	6	9	44	8	75	57	17	0	0	10	1	1
15002	158	7	3	73	23	13	1	10	4	8	2	0	14	0	0
15003	163	2	6	54	33	11	1	7	9	12	3	0	24	0	1
15004	237	19	4	4	21	25	9	38	92	19	0	0	4	1	1
15005	231	12	6	16	24	21	7	50	60	16	1	0	14	1	3
15006	247	24	6	7	11	37	9	55	67	9	1	0	18	2	1
15007	158	5	8	64	24	12	0	3	7	16	2	0	16	1	0
15008	217	9	12	5	20	30	2	42	76	11	2	0	6	2	0
15009	320	20	12	5	28	37	10	64	105	23	0	0	13	0	3
15010	340	24	16	12	29	49	10	47	96	23	1	1	24	6	2
15011	262	11	11	3	14	36	8	56	92	13	2	1	12	1	2
15012	286	23	9	7	21	39	8	63	82	22	0	0	10	1	1
15013	215	13	6	3	11	28	5	31	78	14	0	1	20	4	1
15014	197	10	2	0	16	20	3	45	63	31	0	2	5	0	0
15015	215	14	5	8	10	33	5	54	70	12	0	1	3	0	0
15016	255	10	6	14	13	29	8	59	81	16	0	0	18	0	1
15017	192	2	2	70	44	29	1	9	2	14	1	3	15	0	0
15018	147	5	1	65	37	5	0	2	7	10	6	3	6	0	0
15019	227	28	3	33	26	28	7	24	48	12	0	1	17	0	0
15020	173	3	6	77	30	15	1	3	3	10	5	0	20	0	0
15021	141	6	2	48	32	10	0	1	10	11	2	0	15	3	1
15022	179	4	1	89	31	10	1	4	2	12	4	0	20	1	0
15023	164	2	4	56	35	17	1	2	6	17	3	0	20	1	0
15024	146	6	2	54	28	11	1	2	5	13	5	0	18	0	1
16001	211	12	6	2	20	30	5	42	67	12	0	0	12	2	1
16002	182	4	3	66	37	18	0	7	20	5	1	0	21	0	0
16003	138	1	6	66	26	8	1	3	6	7	1	1	12	0	0
16004	160	2	3	47	41	26	0	7	4	18	2	0	9	0	1
16005	123	1	0	52	33	8	0	2	4	9	3	1	10	0	0
16006	176	3	4	57	32	22	1	8	15	17	5	0	12	0	0
16007	166	4	3	46	31	22	4	11	13	12	1	0	19	0	0
16008	104	2	1	36	13	12	1	7	13	4	5	0	8	2	0
16009	174	0	8	62	46	13	4	5	5	11	4	0	13	2	1
16010	163	3	4	71	30	20	0	7	2	8	2	1	15	0	0
16011	138	2	3	40	17	10	4	6	22	12	5	0	16	0	1
16012	132	1	1	41	31	15	0	3	10	15	2	1	11	1	0
16013	127	2	1	18	20	21	2	17	26	7	1	0	11	1	0
16014	131	3	3	49	29	11	1	5	4	8	2	1	14	0	1
16015	191	0	4	70	46	20	3	6	4	12	3	1	22	0	0
16016	185	5	6	72	48	20	0	1	6	11	3	0	13	0	0
16017	127	0	3	28	26	12	1	11	23	10	2	0	10	1	0
16018	184	5	2	42	35	14	2	10	27	16	5	2	21	0	3
16019	155	6	2	49	31	11	0	4	14	18	1	0	17	1	1
16020	140	1	4	56	28	18	0	1	3	12	1	0	14	0	2
16021	158	4	4	52	26	20	5	5	5	14	0	0	21	2	0
16022	144	2	3	45	22	11	2	6	11	13	2	0	27	0	0
16023	142	13	2	24	14	9	5	17	27	10	1	0	17	1	2
16024	104	5	3	39	21	12	0	5	1	8	2	0	8	0	0
16025	217	1	6	73	54	24	2	2	9	13	7	0	26	0	0
16026	164	4	4	65	37	8	4	2	10	11	0	0	19	0	0
16027	141	4	1	52	19	13	0	1	7	15	8	0	21	0	0
16028	194	4	3	82	31	19	0	2	5	13	6	0	25	1	3
16029	144	1	4	59	31	13	2	2	3	13	0	0	16	0	0
16030	141	0	5	53	44	7	0	2	4	11	0	0	13	2	0
16031	187	2	3	62	46	20	1	3	5	14	2	0	26	3	0
16032	173	8	4	16	10	23	2	22	64	13	1	0	7	3	0
16033	152	2	3	55	26	12	1	5	8	13	4	1	21	1	0
16034	164	3	4	64	30	21	1	8	4	10	7	0	12	0	0
16035	198	8	2	31	35	21	3	22	42	16	1	0	15	1	1
16036	144	5	1	52	32	19	0	1	2	10	3	0	19	0	0
17001	188	8	7	38	30	23	2	23	24	19	2	3	9	0	0
17002	196	1	3	57	57	17	2	3	9	22	5	0	18	2	0
17003	220	1	9	80	45	25	2	7	9	11	4	0	26	1	0
17004	278	7	7	96	62	19	1	3	12	26	2	0	41	2	0
17005	171	3	5	58	44	12	2	2	8	12	0	0	23	1	1
17006	156	6	6	42	24	14	1	2	11	22	3	1	23	1	0
17007	133	10	7	20	19	15	3	13	26	13	1	0	5	1	0
17008	150	1	6	69	34	13	0	4	3	6	0	0	13	1	0
17009	171	4	4	61	33	18	1	5	3	19	3	1	19	0	0
17010	301	8	5	101	74	19	2	9	3	27	9	1	42	1	0
17011	162	4	3	75	31	14	0	3	5	7	4	0	15	1	0
17012	235	13	5	35	46	26	2	32	29	19	2	0	22	3	1
17013	199	4	3	83	39	13	1	5	5	13	5	1	25	2	0
17014	228	8	6	51	55	28	4	9	35	12	3	0	15	2	0
17015	218	1	8	73	44	23	1	7	7	16	4	1	33	0	0
17016	172	3	1	44	27	23	1	17	25	16	3	0	12	0	0
17017	195	3	4	68	42	11	1	6	10	24	1	0	25	0	0
17018	246	1	12	64	47	42	4	2	8	30	2	1	33	0	0
17019	105	2	1	44	16	8	0	1	5	8	2	0	17	1	0
17020	277	5	6	93	70	23	0	6	8	24	2	1	37	1	1
17021	340	6	15	89	89	24	2	13	12	36	3	0	47	3	1
17022	176	3	0	62	40	13	2	5	4	17	5	1	23	1	0
17023	122	2	1	41	30	11	1	3	3	12	1	1	15	1	0
17024	265	3	4	93	56	32	9	4	7	18	3	1	31	3	1
17025	147	2	3	53	20	12	0	8	7	23	3	0	16	0	0
17026	237	9	8	85	58	27	0	7	8	15	2	0	17	1	0
17027	206	3	5	69	50	23	2	3	6	12	4	0	29	0	0
17028	172	0	3	49	48	22	0	3	6	5	2	0	33	1	0
17029	225	4	4	95	49	21	1	6	4	19	1	1	19	0	1
17030	138	16	6	33	10	11	4	17	19	13	1	1	6	1	0
17031	123	1	3	38	36	9	2	3	1	12	4	0	13	1	0
17032	154	2	3	67	39	9	2	5	4	8	1	0	14	0	0
17033	130	3	2	54	21	15	0	5	4	10	1	0	15	0	0
17034	151	3	1	60	35	13	0	1	2	10	3	1	21	1	0
17035	147	0	2	53	34	6	1	4	4	16	7	0	20	0	0
17036	214	6	2	71	47	24	0	4	5	17	7	1	29	0	1
17037	189	1	5	79	44	14	1	7	4	7	3	0	24	0	0
17038	198	2	3	69	48	12	1	1	10	19	5	1	26	0	1
17039	217	4	3	70	59	16	1	9	4	20	2	0	28	1	0
17040	235	4	7	89	45	21	1	5	8	24	4	2	24	0	1
17041	276	3	8	85	60	21	4	16	5	23	6	2	43	0	0
18001	204	9	6	45	48	17	6	15	18	19	3	1	16	1	0
18002	178	13	12	18	20	22	12	20	24	17	2	1	17	0	0
18003	227	46	17	21	31	25	9	20	20	9	3	0	22	1	3
18004	305	9	12	80	59	33	2	12	9	28	6	1	53	1	0
18005	147	3	3	56	34	5	1	0	9	14	1	1	19	1	0
18006	237	44	27	28	18	32	8	30	26	8	3	1	11	1	0
18007	236	22	13	49	44	22	7	25	10	17	2	0	22	2	1
18008	285	13	14	74	52	23	4	13	12	19	3	0	57	1	0
18009	268	9	9	55	60	40	2	9	12	24	9	1	38	0	0
18010	371	11	16	63	91	40	3	15	12	51	7	0	60	2	0
18011	198	12	14	22	35	25	3	18	16	16	1	0	36	0	0
18012	268	16	5	72	62	27	1	9	10	17	3	0	45	1	0
18013	265	12	10	67	58	24	7	11	12	19	4	2	37	1	1
18014	276	11	9	74	68	28	1	6	5	22	3	0	46	3	0
18015	237	22	12	33	41	25	3	28	24	16	1	0	28	0	4
18016	232	9	16	44	43	29	2	12	7	31	4	1	32	2	0
18017	220	14	5	44	43	34	4	9	24	16	2	0	23	2	0
18018	253	3	6	71	71	20	1	7	1	34	4	0	32	1	2
18019	255	5	10	71	64	25	4	7	13	16	1	2	35	2	0
18020	193	6	3	66	30	18	0	4	7	25	4	0	29	1	0
18021	351	18	16	77	70	37	5	10	13	46	4	3	50	2	0
18022	328	8	11	80	80	24	3	8	9	35	8	1	57	4	0
18023	232	15	15	51	48	21	2	10	14	14	5	0	36	0	1
18024	208	36	13	9	16	35	15	32	35	2	2	0	11	1	1
18025	245	52	18	15	13	35	12	24	49	10	1	0	15	1	0
18026	323	19	9	74	77	29	4	14	9	36	4	0	43	4	1
18027	173	7	9	58	32	11	0	4	8	8	1	0	34	1	0
18028	261	74	25	19	14	36	13	24	29	11	0	0	12	4	0
18029	241	18	10	46	37	21	8	22	25	19	3	2	30	0	0
18030	253	41	24	9	14	29	17	34	46	11	1	1	26	0	0
18031	265	13	13	50	66	32	5	10	20	25	1	1	29	0	0
18032	263	6	8	85	53	26	2	6	7	24	13	0	33	0	0
18033	204	2	3	70	44	28	0	7	11	8	2	2	24	3	0
18034	349	14	11	79	73	44	4	9	6	30	9	0	70	0	0
18035	328	11	15	59	102	34	0	9	10	40	1	1	46	0	0
18036	242	23	10	37	43	26	12	25	24	10	2	0	25	4	1
18037	313	17	11	72	65	27	1	13	14	36	4	2	48	3	0
18038	243	9	10	78	49	18	5	5	7	22	4	0	35	1	0
18039	157	3	8	38	33	15	2	6	15	9	5	0	22	1	0
18040	256	29	18	16	39	42	8	26	29	19	2	1	26	1	0
18041	330	14	18	82	63	35	3	12	12	27	9	0	53	1	1
18042	187	5	5	44	31	19	0	8	24	17	3	1	25	2	3
18043	173	21	9	12	10	33	9	32	33	2	0	0	12	0	0
18044	245	77	14	14	16	32	9	27	33	11	2	0	8	2	0
18045	209	19	9	20	16	34	11	28	38	7	4	1	22	0	0
18046	252	51	20	11	19	34	18	34	40	4	1	0	17	0	3
18047	155	3	7	40	29	17	2	6	11	13	7	3	17	0	0
18048	181	3	4	61	44	18	3	4	6	16	1	0	21	0	0
18049	140	3	4	50	21	10	0	3	5	8	4	0	32	0	0
18050	174	0	7	57	38	8	4	9	11	16	2	0	22	0	0
19001	403	239	39	3	10	46	10	17	12	7	1	1	14	3	1
19002	491	122	39	58	73	48	3	19	20	23	3	0	79	3	1
19003	316	193	36	3	3	28	10	25	9	2	0	0	4	1	2
19004	449	281	28	6	7	48	15	22	19	4	2	0	11	5	1
19005	405	107	32	22	52	59	6	18	14	20	1	0	71	2	1
19006	409	237	48	8	3	34	14	25	11	4	1	0	15	6	3
19007	343	191	36	13	14	25	9	14	12	7	2	0	20	0	0
19008	441	302	47	1	9	29	13	18	10	1	0	1	9	1	0
19009	309	141	30	2	8	65	8	35	16	1	0	0	2	0	1
19010	430	135	60	17	66	58	2	6	16	19	0	1	49	0	1
19011	385	244	45	4	3	36	5	15	14	1	0	0	12	2	4
19012	340	236	20	3	4	30	10	30	4	0	0	0	3	0	0
19013	379	31	17	80	101	30	3	7	10	40	8	1	48	1	2
19014	397	122	39	27	49	40	5	32	15	20	2	1	42	2	1
19015	489	282	47	6	6	44	17	34	28	6	0	0	13	5	1
19016	414	251	42	1	4	34	14	27	24	5	0	0	12	0	0
19017	365	233	28	4	6	26	11	14	7	9	2	0	23	1	1
19018	358	117	38	10	37	55	2	13	12	11	2	0	58	3	0
19019	473	157	60	16	59	50	9	25	18	22	4	0	51	2	0
19020	318	70	25	34	67	26	4	16	19	17	1	0	35	0	4
19021	371	233	40	2	3	31	11	18	8	9	1	0	13	1	1
19022	430	178	53	21	38	40	6	20	14	21	1	2	32	2	2
19023	407	238	53	4	7	44	8	12	15	3	0	1	20	2	0
19024	313	202	27	11	2	36	8	7	11	2	0	0	6	1	0
19025	382	164	34	15	31	56	3	15	16	14	2	0	31	0	1
19026	393	171	47	12	24	44	6	10	14	15	0	0	49	1	0
19027	332	73	24	31	57	18	1	10	14	32	5	3	63	0	1
19028	348	31	20	47	77	24	2	15	19	42	3	1	64	2	1
19029	373	206	37	10	12	40	20	21	12	3	0	0	11	0	1
19030	343	209	33	2	7	49	12	19	3	0	0	0	6	2	1
19031	356	137	47	7	35	34	3	22	23	7	0	0	34	6	1
19032	364	213	54	3	16	20	6	19	10	5	0	1	16	1	0
19033	393	247	37	8	1	48	9	23	13	1	0	0	6	0	0
19034	362	136	51	10	22	53	3	15	17	8	0	0	44	0	3
19035	363	154	33	11	35	38	5	17	13	12	0	3	42	0	0
19036	416	69	24	58	68	39	3	25	23	36	3	1	66	1	0
19037	357	82	28	34	49	30	4	16	19	28	2	2	63	0	0
19038	303	65	21	33	52	24	2	16	7	31	1	1	47	2	1
19039	85	9	2	27	14	9	2	4	3	9	1	0	5	0	0
19040	361	111	47	18	38	35	4	23	16	15	2	2	48	2	0
19041	356	231	32	9	5	37	11	13	10	2	0	0	4	1	1
19042	286	66	33	19	46	23	2	17	8	23	3	2	43	1	0
19043	408	44	20	87	98	33	2	13	14	42	2	0	51	1	1
19044	322	195	26	1	6	26	13	28	15	3	0	0	9	0	0
19045	414	249	38	5	10	36	5	23	14	8	0	2	21	1	2
19046	433	251	45	2	6	56	7	27	14	4	0	0	20	1	0
19047	509	105	22	51	85	50	5	28	17	45	8	2	86	5	0
19048	314	32	9	81	62	25	2	10	13	25	7	0	46	1	1
19049	410	46	27	60	85	41	3	22	13	40	5	1	67	0	0
19050	320	180	38	7	15	35	3	9	11	3	0	0	17	0	2
19051	459	243	58	6	6	60	6	28	13	4	0	2	31	0	2
19052	414	251	54	7	5	30	12	17	13	8	0	1	12	2	2
19053	375	207	33	13	16	31	6	23	18	5	0	0	21	1	1
19054	333	217	28	8	4	29	8	13	14	0	0	0	10	1	1
19055	326	194	23	3	6	37	20	12	14	0	0	0	15	1	1
19056	403	92	42	17	55	76	2	11	18	16	3	0	67	4	0
19057	296	74	27	20	45	32	1	17	12	13	2	0	52	0	1
20001	276	4	2	79	72	17	1	5	12	34	6	1	41	2	0
20002	122	4	1	57	19	12	0	1	4	6	4	0	13	0	1
20003	210	3	8	66	45	19	1	3	7	26	3	1	28	0	0
20004	102	4	1	35	20	6	2	4	9	7	2	1	9	0	2
20005	278	4	7	86	49	16	1	7	8	48	4	2	46	0	0
20006	107	3	1	46	27	3	0	1	5	9	0	0	11	1	0
20007	229	5	3	68	49	16	4	5	6	34	2	1	33	2	1
20008	234	2	6	92	57	24	0	5	10	15	3	0	19	1	0
20009	387	7	7	86	102	21	5	12	12	53	5	0	74	3	0
20010	160	0	1	51	39	14	2	2	5	13	4	0	29	0	0
20011	297	5	7	72	83	21	0	9	8	45	8	0	38	1	0
20012	157	2	6	48	37	7	3	6	5	15	4	0	22	2	0
20013	286	4	4	120	65	14	2	0	13	25	4	2	28	4	1
20014	153	6	2	46	36	19	0	3	5	14	1	0	20	1	0
20015	161	7	3	13	15	21	3	32	49	9	0	1	5	2	1
20016	271	3	7	54	77	30	1	6	5	38	4	0	44	2	0
20017	131	5	1	21	23	7	2	19	26	10	4	1	12	0	0
20018	165	5	1	56	35	12	0	4	4	14	4	0	30	0	0
20019	236	8	6	74	52	8	2	7	7	35	3	0	32	1	1
20020	139	6	3	12	13	26	1	23	32	10	1	0	9	1	2
20021	148	1	2	48	41	16	0	7	5	10	2	0	15	1	0
20022	337	5	7	47	98	18	0	6	10	59	5	0	79	2	1
20023	235	7	3	101	52	10	0	5	8	15	4	2	26	2	0
20024	295	2	10	55	78	21	1	7	12	38	5	1	63	1	1
20025	177	6	3	62	34	10	2	1	10	17	5	0	27	0	0
20026	291	6	14	57	86	20	4	4	10	44	1	0	44	1	0
20027	121	2	2	42	31	13	1	1	3	11	2	0	13	0	0
20028	146	4	2	59	28	10	1	4	1	8	2	0	27	0	0
20029	336	6	4	135	79	23	1	5	10	17	6	3	44	3	0
20030	114	0	1	32	27	12	0	0	5	14	6	0	16	1	0
20031	270	1	8	98	64	6	3	5	10	25	6	0	43	1	0
20032	214	1	4	71	47	24	3	3	5	10	3	0	43	0	0
20033	144	0	0	52	32	15	1	2	3	15	4	2	18	0	0
20034	368	2	10	47	95	22	3	9	19	72	6	0	83	0	0
20035	134	2	2	51	30	12	1	0	3	10	8	1	10	4	0
