Precinct	total_votes	votes|Pat Quinn	votes|Renato Mariotti	votes|Scott Drury	votes|Nancy Rotering	votes|Kwame Raoul	votes|Jesse Ruiz	votes|Sharon Fairley	votes|Aaron Goldstein
13018	169	66	3	13	15	21	24	24	3
13019	158	75	3	10	8	17	36	8	1
13020	123	49	7	10	14	20	10	9	4
13021	223	96	6	30	19	45	15	6	6
13022	225	78	10	31	18	32	31	18	7
13023	137	70	6	6	4	20	24	4	3
13024	191	83	4	12	13	19	46	11	3
13025	182	66	5	17	2	36	42	10	4
13026	173	80	7	11	6	21	35	12	1
13027	208	91	5	20	13	32	28	17	2
13028	165	78	3	15	6	22	35	5	1
13029	149	59	2	8	9	15	41	10	5
13030	169	70	6	12	12	25	38	1	5
13031	234	109	4	30	14	29	24	15	9
13032	181	65	5	26	8	35	21	19	2
13033	229	94	7	32	16	37	27	11	5
13034	274	115	4	12	18	36	69	12	8
13035	208	94	4	14	9	30	52	3	2
13036	115	48	1	9	6	19	29	3	0
13037	259	89	3	16	15	79	38	11	8
13038	195	74	7	25	17	28	27	12	5
13039	200	82	6	11	9	36	39	12	5
13040	210	93	8	20	11	20	41	13	4
13041	193	90	5	8	6	31	41	7	5
13042	231	94	8	30	22	43	21	10	3
13043	226	107	9	16	6	32	36	12	8
13044	219	119	4	4	11	16	54	9	2
13045	253	112	13	31	8	40	34	10	5
13046	226	109	7	7	14	29	47	5	8
13047	196	84	4	11	9	20	57	6	5
13048	214	96	14	25	10	22	29	16	2
14001	280	105	12	35	11	42	48	22	5
14002	259	85	2	6	9	29	101	19	8
14003	165	46	1	8	8	21	69	4	8
14004	261	80	11	28	19	31	79	9	4
14005	253	95	6	9	6	18	103	11	5
14006	99	18	3	1	6	5	64	0	2
14007	198	46	4	11	20	15	87	9	6
14008	203	56	7	7	9	14	97	5	8
14009	282	92	8	35	12	41	70	20	4
14010	125	43	4	7	7	7	47	8	2
14011	129	31	0	1	2	5	86	0	4
14012	223	69	5	10	5	25	90	11	8
14013	187	43	4	5	8	19	92	12	4
14014	212	59	3	2	10	7	118	6	7
14015	196	62	3	7	9	18	84	8	5
14016	153	60	5	6	9	20	40	4	9
14017	174	58	2	4	4	19	78	6	3
14018	97	41	2	4	5	9	28	4	4
14019	200	72	2	5	13	12	86	6	4
14020	126	47	0	3	6	14	39	6	11
14021	208	73	3	8	11	13	86	4	10
14022	259	72	10	19	24	43	67	17	7
14023	170	67	7	16	10	20	44	6	0
14024	303	107	11	39	13	31	79	20	3
14025	126	40	1	4	5	12	57	1	6
14026	151	51	0	7	6	20	63	3	1
14027	194	66	6	6	13	13	80	5	5
14028	138	42	1	9	10	11	53	7	5
14029	188	50	5	13	6	13	91	3	7
14030	109	40	6	0	5	8	46	2	2
14031	101	49	5	3	5	7	25	3	4
15001	175	44	8	4	9	18	79	6	7
15002	114	36	1	4	4	57	3	6	3
15003	126	32	1	2	5	71	3	10	2
15004	179	64	5	1	7	17	75	5	5
15005	154	47	6	9	7	24	55	4	2
15006	161	53	3	9	5	18	60	5	8
15007	129	30	3	5	4	65	5	15	2
15008	157	51	2	6	11	17	60	4	6
15009	217	78	9	6	16	31	64	4	9
15010	216	74	9	18	5	28	65	8	9
15011	181	55	5	13	4	23	69	9	3
15012	196	62	4	6	7	21	82	10	4
15013	160	61	6	3	5	15	58	0	12
15014	154	55	4	0	3	16	65	5	6
15015	125	47	1	4	4	16	48	3	2
15016	188	54	5	4	8	49	54	6	8
15017	161	38	8	2	1	97	4	11	0
15018	104	22	0	3	6	66	4	3	0
15019	186	58	6	4	8	59	34	9	8
15020	118	25	1	3	5	70	3	7	4
15021	135	32	0	2	4	76	4	13	4
15022	128	44	1	1	4	62	4	11	1
15023	141	41	0	2	5	82	3	7	1
15024	114	29	2	4	7	57	3	11	1
16001	191	69	2	3	9	20	77	8	3
16002	158	32	0	6	1	96	13	9	1
16003	116	35	1	4	3	66	0	6	1
16004	133	32	1	2	5	75	7	9	2
16005	115	33	0	6	2	63	1	9	1
16006	149	46	3	2	3	87	3	5	0
16007	139	41	1	2	4	69	13	7	2
16008	98	31	0	4	4	44	9	5	1
16009	175	42	5	3	8	96	3	11	7
16010	127	28	2	6	4	72	4	11	0
16011	121	35	4	2	1	48	19	10	2
16012	118	24	0	4	6	65	9	8	2
16013	118	41	1	2	9	31	22	6	6
16014	121	24	1	8	8	73	3	4	0
16015	174	35	3	7	4	108	7	9	1
16016	164	41	7	4	2	101	1	7	1
16017	141	35	3	5	4	56	28	5	5
16018	147	37	3	5	8	62	22	8	2
16019	123	34	0	3	5	53	12	11	5
16020	131	37	2	2	7	70	3	7	3
16021	124	42	1	7	5	62	3	4	0
16022	119	33	5	2	4	64	5	6	0
16023	131	35	1	1	6	43	37	5	3
16024	85	31	2	1	2	42	1	4	2
16025	185	42	1	8	9	103	5	14	3
16026	139	37	3	5	1	72	9	9	3
16027	134	35	2	4	2	66	4	18	3
16028	168	35	3	7	6	101	5	11	0
16029	132	45	2	2	3	68	5	7	0
16030	123	26	1	4	3	62	8	17	2
16031	178	46	1	4	5	106	6	10	0
16032	147	43	5	4	9	32	43	5	6
16033	133	38	0	3	4	75	3	7	3
16034	121	24	5	6	7	69	3	6	1
16035	186	56	5	6	6	50	46	9	8
