Precinct	total_votes	votes|Karen Yarbrough
Oak Park 13	349	349
Oak Park 14	377	377
Oak Park 15	449	449
Oak Park 16	538	538
Oak Park 17	508	508
Oak Park 18	282	282
Oak Park 19	348	348
Oak Park 20	461	461
Oak Park 21	222	222
Oak Park 22	214	214
Oak Park 23	322	322
Oak Park 24	275	275
Oak Park 25	336	336
Oak Park 26	340	340
Oak Park 27	108	108
Oak Park 28	390	390
Oak Park 29	350	350
Oak Park 30	424	424
Oak Park 31	579	579
Oak Park 32	250	250
Oak Park 33	326	326
Oak Park 34	280	280
Oak Park 35	411	411
Oak Park 36	431	431
Oak Park 37	201	201
Proviso 1	161	161
Proviso 2	150	150
Proviso 3	107	107
Proviso 4	224	224
Proviso 5	233	233
Proviso 8	149	149
Proviso 9	224	224
Proviso 17	142	142
Proviso 18	297	297
Proviso 19	213	213
Proviso 20	213	213
Proviso 21	170	170
Proviso 22	201	201
Proviso 30	205	205
Proviso 31	136	136
Proviso 33	275	275
Proviso 34	425	425
Proviso 36	239	239
Proviso 37	155	155
Proviso 38	222	222
Proviso 39	227	227
Proviso 40	226	226
Proviso 41	182	182
Proviso 42	166	166
Proviso 43	181	181
Proviso 44	174	174
Proviso 45	207	207
Proviso 47	127	127
Proviso 48	250	250
Proviso 49	138	138
Proviso 50	297	297
Proviso 51	204	204
Proviso 52	129	129
Proviso 53	185	185
Proviso 56	195	195
Proviso 58	120	120
Proviso 59	163	163
Proviso 60	135	135
Proviso 61	252	252
Proviso 62	325	325
Proviso 63	8	8
Proviso 64	253	253
Proviso 65	177	177
Proviso 66	284	284
Proviso 67	349	349
Proviso 68	142	142
Proviso 69	177	177
Proviso 71	104	104
Proviso 72	219	219
Proviso 73	201	201
Proviso 74	249	249
Proviso 76	250	250
Proviso 79	218	218
Proviso 81	161	161
Proviso 82	349	349
Proviso 83	289	289
Proviso 85	88	88
Proviso 86	246	246
Proviso 91	177	177
Proviso 92	218	218
Proviso 94	200	200
Proviso 99	228	228
