Precinct	Votes	votes|Danny K. Davis	pct|Danny K. Davis	votes|Anthony V. Clark	pct|Anthony V. Clark
29026	248	199	80.24	49	19.76
29027	197	164	83.25	33	16.75
29028	268	227	84.70	41	15.30
29033	205	173	84.39	32	15.61
29034	115	85	73.91	30	26.09
29035	160	134	83.75	26	16.25
29036	201	170	84.58	31	15.42
29037	216	180	83.33	36	16.67
29040	263	228	86.69	35	13.31
29041	160	142	88.75	18	11.25
29042	222	208	93.69	14	6.31
29043	194	139	71.65	55	28.35
29044	273	236	86.45	37	13.55
36005	137	97	70.80	40	29.20
36021	83	55	66.27	28	33.73
37001	135	107	79.26	28	20.74
37002	117	95	81.20	22	18.80
37003	120	103	85.83	17	14.17
37004	127	107	84.25	20	15.75
37005	218	195	89.45	23	10.55
37006	189	169	89.42	20	10.58
37007	117	96	82.05	21	17.95
37008	120	97	80.83	23	19.17
37009	195	173	88.72	22	11.28
37010	192	158	82.29	34	17.71
37011	114	104	91.23	10	8.77
37012	104	85	81.73	19	18.27
37013	133	114	85.71	19	14.29
37014	200	175	87.50	25	12.50
37015	200	182	91.00	18	9.00
37016	187	162	86.63	25	13.37
37017	158	138	87.34	20	12.66
37018	182	157	86.26	25	13.74
37019	145	122	84.14	23	15.86
37020	140	129	92.14	11	7.86
37021	177	156	88.14	21	11.86
37022	135	115	85.19	20	14.81
37023	191	168	87.96	23	12.04
37024	201	176	87.56	25	12.44
37025	169	151	89.35	18	10.65
37026	239	217	90.79	22	9.21
37027	191	168	87.96	23	12.04
37028	156	125	80.13	31	19.87
37029	185	148	80.00	37	20.00
37030	165	143	86.67	22	13.33
37031	179	151	84.36	28	15.64
37032	177	152	85.88	25	14.12
37033	227	204	89.87	23	10.13
37034	163	149	91.41	14	8.59
37035	213	180	84.51	33	15.49
37036	163	149	91.41	14	8.59
37037	236	208	88.14	28	11.86
37038	233	202	86.70	31	13.30
37039	165	147	89.09	18	10.91
37040	214	187	87.38	27	12.62
37041	169	151	89.35	18	10.65
42001	222	172	77.48	50	22.52
42002	156	113	72.44	43	27.56
42003	199	132	66.33	67	33.67
42004	265	188	70.94	77	29.06
42005	147	100	68.03	47	31.97
42006	295	208	70.51	87	29.49
42007	234	163	69.66	71	30.34
42008	215	156	72.56	59	27.44
42009	190	119	62.63	71	37.37
42010	233	161	69.10	72	30.90
42011	149	107	71.81	42	28.19
42012	223	149	66.82	74	33.18
42013	251	176	70.12	75	29.88
42014	165	111	67.27	54	32.73
42015	143	101	70.63	42	29.37
42016	204	144	70.59	60	29.41
42017	244	168	68.85	76	31.15
42018	134	86	64.18	48	35.82
42019	263	187	71.10	76	28.90
42020	140	93	66.43	47	33.57
42021	161	100	62.11	61	37.89
42022	85	58	68.24	27	31.76
42023	190	129	67.89	61	32.11
42024	190	135	71.05	55	28.95
42025	157	109	69.43	48	30.57
42026	200	138	69.00	62	31.00
42027	182	129	70.88	53	29.12
42028	269	188	69.89	81	30.11
42029	182	111	60.99	71	39.01
42030	210	135	64.29	75	35.71
42031	191	137	71.73	54	28.27
42032	131	90	68.70	41	31.30
42033	214	142	66.36	72	33.64
42034	188	132	70.21	56	29.79
42035	271	185	68.27	86	31.73
42036	249	151	60.64	98	39.36
42037	107	78	72.90	29	27.10
42038	150	113	75.33	37	24.67
42039	171	112	65.50	59	34.50
42040	218	137	62.84	81	37.16
42041	178	124	69.66	54	30.34
42042	269	197	73.23	72	26.77
43001	126	97	76.98	29	23.02
43005	20	14	70.00	6	30.00
43009	26	19	73.08	7	26.92
43033	243	178	73.25	65	26.75
43035	263	185	70.34	78	29.66
43045	141	101	71.63	40	28.37
Berwyn Ward 6 Precinct 2	91	62.76	54	37.24
Berwyn Ward 6 Precinct 3	54	75	18	25
Berwyn Ward 6 Precinct 4	34	73.91	12	26.09
Berwyn Ward 7 Precinct 1	108	70.13	46	29.87
Berwyn Ward 7 Precinct 2	135	72.19	52	27.81
Berwyn Ward 7 Precinct 3	128	61.54	80	38.46
Berwyn Ward 7 Precinct 4	134	62.33	81	37.67
Berwyn Ward 8 Precinct 1	170	61.59	106	38.41
Berwyn Ward 8 Precinct 2	1	100	0	0
Oak Park 1	133	41.69	186	58.31
Oak Park 2	218	43	289	57
Oak Park 3	250	43.25	328	56.75
Oak Park 4	194	44.09	246	55.91
Oak Park 5	234	45.44	281	54.56
Oak Park 6	254	57.47	188	42.53
Oak Park 7	127	38.6	202	61.4
Oak Park 8	155	33.55	307	66.45
Oak Park 9	116	43.77	149	56.23
Oak Park 10	163	36.38	285	63.62
Oak Park 11	183	49.59	186	50.41
Oak Park 12	79	39.7	120	60.3
Oak Park 13	180	45.34	217	54.66
Oak Park 14	221	46.62	253	53.38
Oak Park 15	282	52.32	257	47.68
Oak Park 16	291	46.19	339	53.81
Oak Park 17	249	40.03	373	59.97
Oak Park 18	147	42.12	202	57.88
Oak Park 19	224	54.5	187	45.5
Oak Park 20	284	55.69	226	44.31
Oak Park 21	145	55.98	114	44.02
Oak Park 22	132	53.23	116	46.77
Oak Park 23	185	48.18	199	51.82
Oak Park 24	129	41.35	183	58.65
Oak Park 25	156	39.1	243	60.9
Oak Park 26	141	33.89	275	66.11
Oak Park 27	75	56.82	57	43.18
Oak Park 28	227	50.44	223	49.56
Oak Park 29	185	42.82	247	57.18
Oak Park 30	270	53.57	234	46.43
Oak Park 31	304	44.9	373	55.1
Oak Park 32	140	47.95	152	52.05
Oak Park 33	176	46.68	201	53.32
