Precinct	total_votes	votes|JB Pritzker & Juliana Stratton	votes|Bruce Rauner & Evelyn Sanguinetti	votes|Grayson Kash Jackson & Sanjeev Mohip	votes|William McCann & Aaron Merreighn
18043	280	217	54	4	5
18044	330	228	83	4	15
18045	339	298	32	4	5
18046	419	330	73	6	10
18047	291	274	14	2	1
18048	315	294	9	9	3
18049	231	210	11	6	4
18050	295	281	9	2	3
19001	405	223	154	8	20
19002	612	503	88	10	11
19003	344	122	195	6	21
19004	491	218	237	15	21
19005	491	358	112	9	12
19006	460	211	219	10	20
19007	396	237	116	15	28
19008	483	210	233	10	30
19009	322	155	144	6	17
19010	539	392	126	13	8
19011	414	163	223	7	21
19012	360	141	197	5	17
19013	519	472	29	12	6
19014	516	387	101	10	18
19015	540	239	250	11	40
19016	462	197	230	8	27
19017	396	215	154	6	21
19018	410	277	114	9	10
19019	580	425	137	5	13
19020	366	317	33	8	8
19021	408	179	193	14	22
19022	479	313	142	12	12
19023	445	244	168	7	26
19024	318	119	178	5	16
19025	434	262	143	12	17
19026	456	273	158	13	12
19027	450	369	48	22	11
19028	496	450	19	18	9
19029	454	193	212	10	39
19030	399	175	185	13	26
19031	407	261	125	8	13
19032	408	232	138	16	22
19033	460	198	232	5	25
19034	412	261	134	6	11
19035	407	283	107	5	12
19036	602	532	51	8	11
19037	432	371	46	10	5
19038	392	333	46	5	8
19039	171	152	14	3	2
19040	470	340	104	16	10
19041	408	174	196	8	30
19042	379	296	66	12	5
19043	591	540	25	16	10
19044	481	207	237	11	26
19045	440	226	180	10	24
19046	464	242	193	8	21
19047	614	509	74	11	20
19048	501	470	20	7	4
19049	523	449	57	9	8
19050	372	223	121	14	14
19051	491	277	181	17	16
19052	468	221	193	18	36
19053	412	260	132	5	15
19054	369	150	191	8	20
19055	379	151	196	10	22
19056	473	339	125	5	4
19057	371	275	76	7	13
20001	369	345	13	6	5
20002	155	144	5	1	5
20003	322	297	9	7	9
20004	173	160	4	7	2
20005	441	407	10	12	12
20006	173	167	3	0	3
20007	404	387	9	6	2
