Precinct	total_votes	votes|Karen A. Yarbrough
25010	614	614
25011	432	432
25012	405	405
25013	458	458
25014	231	231
25015	351	351
25016	597	597
25017	456	456
25018	202	202
25019	429	429
25020	273	273
25021	762	762
25022	391	391
25023	464	464
25024	414	414
25025	386	386
25026	352	352
25027	520	520
25028	406	406
25029	334	334
25030	381	381
25031	738	738
25032	317	317
26001	357	357
26002	282	282
26003	383	383
26004	212	212
26005	290	290
26006	290	290
26007	348	348
26008	161	161
26009	231	231
26010	286	286
26011	289	289
26012	353	353
26013	172	172
26014	248	248
26015	186	186
26016	171	171
26017	257	257
26018	234	234
26019	208	208
26020	278	278
26021	392	392
26022	152	152
26023	208	208
26024	263	263
26025	294	294
26026	231	231
26027	394	394
26028	472	472
26029	194	194
26030	262	262
26031	130	130
26032	386	386
26033	370	370
26034	408	408
26035	268	268
26036	332	332
26037	360	360
26038	136	136
26039	362	362
26040	225	225
26041	382	382
26042	272	272
26043	173	173
26044	181	181
26045	153	153
26046	222	222
26047	204	204
26048	312	312
26049	178	178
27001	785	785
27002	393	393
27003	225	225
27004	207	207
27005	288	288
27006	428	428
27007	549	549
27008	289	289
27009	182	182
27010	399	399
27011	504	504
27012	278	278
27013	524	524
27014	186	186
27015	181	181
27016	431	431
27017	369	369
27018	270	270
27019	182	182
27020	303	303
27021	396	396
27022	181	181
27023	281	281
27024	265	265
27025	338	338
27026	280	280
27027	455	455
27028	364	364
27029	242	242
27030	173	173
27031	292	292
27032	334	334
27033	404	404
27034	264	264
27035	433	433
27036	311	311
27037	443	443
27038	572	572
27039	269	269
27040	516	516
27041	315	315
27042	267	267
27043	248	248
27044	251	251
27045	810	810
27046	301	301
27047	249	249
27048	722	722
27049	276	276
27050	355	355
28001	213	213
28002	272	272
28003	260	260
28004	280	280
28005	198	198
28006	178	178
28007	298	298
28008	369	369
28009	291	291
28010	396	396
28011	613	613
28012	309	309
28013	342	342
28014	231	231
28015	61	61
28016	198	198
28017	267	267
28018	273	273
28019	261	261
28020	288	288
28021	259	259
28022	271	271
28023	340	340
28024	252	252
28025	414	414
28026	296	296
28027	295	295
28028	375	375
28029	155	155
28030	47	47
28031	404	404
28032	280	280
28033	326	326
28034	536	536
28035	357	357
28036	171	171
28037	390	390
28038	142	142
28039	223	223
28040	414	414
28041	232	232
28042	303	303
28043	380	380
28044	215	215
28045	387	387
28046	582	582
29001	480	480
29002	503	503
29003	415	415
29004	405	405
29005	315	315
29006	325	325
29007	381	381
29008	328	328
29009	400	400
29010	492	492
29011	225	225
29012	462	462
29013	403	403
29014	350	350
29015	433	433
29016	362	362
29017	337	337
29018	373	373
29019	390	390
29020	456	456
29021	478	478
29022	249	249
29023	386	386
29024	346	346
29025	451	451
29026	367	367
29027	343	343
29028	467	467
29029	305	305
29030	485	485
29031	320	320
29032	301	301
29033	272	272
29034	273	273
29035	289	289
29036	336	336
29037	371	371
29038	357	357
29039	310	310
29040	430	430
29041	293	293
29042	423	423
29043	468	468
29044	477	477
30001	418	418
30002	351	351
30003	320	320
30004	338	338
30005	248	248
30006	303	303
30007	389	389
30008	458	458
30009	287	287
30010	360	360
30011	335	335
30012	305	305
30013	340	340
30014	229	229
30015	358	358
30016	165	165
30017	341	341
30018	467	467
30019	332	332
30020	387	387
30021	258	258
30022	498	498
30023	399	399
30024	477	477
30025	535	535
30026	212	212
30027	235	235
30028	377	377
30029	203	203
30030	151	151
30031	228	228
30032	287	287
31001	217	217
31002	200	200
31003	191	191
31004	337	337
31005	262	262
31006	171	171
31007	402	402
31008	201	201
31009	221	221
31010	215	215
31011	183	183
31012	213	213
31013	252	252
31014	203	203
31015	211	211
31016	303	303
31017	210	210
31018	221	221
31019	210	210
31020	213	213
31021	220	220
31022	211	211
31023	236	236
31024	218	218
31025	226	226
31026	261	261
31027	256	256
31028	196	196
31029	253	253
31030	185	185
31031	184	184
31032	187	187
31033	193	193
31034	215	215
31035	251	251
31036	257	257
