Precinct	total_votes	votes|Kwame Raoul	votes|Erika Harold	votes|Bubba Harsy
31019	244	200	39	5
31020	246	197	42	7
31021	254	204	42	8
31022	235	193	36	6
31023	282	217	50	15
31024	273	209	53	11
31025	260	203	51	6
31026	313	236	66	11
31027	305	243	55	7
31028	227	174	41	12
31029	291	228	49	14
31030	212	180	27	5
31031	227	161	58	8
31032	230	177	48	5
31033	234	181	46	7
31034	262	202	52	8
31035	305	245	52	8
31036	302	248	42	12
31037	272	225	38	9
31038	218	184	26	8
31039	317	281	32	4
31040	317	261	50	6
31041	241	203	34	4
32001	639	500	123	16
32002	627	476	135	16
32003	629	535	78	16
32004	549	432	108	9
32005	596	486	103	7
32006	690	572	96	22
32007	627	489	122	16
32008	723	515	189	19
32009	558	418	130	10
32010	618	439	167	12
32011	526	480	37	9
32012	429	367	51	11
32013	633	452	165	16
32014	595	512	65	18
32015	586	446	135	5
32016	599	476	110	13
32017	576	509	52	15
32018	545	361	172	12
32019	591	472	104	15
32020	562	500	45	17
32021	632	482	139	11
32022	741	634	87	20
32023	665	488	160	17
32024	463	309	146	8
32025	584	454	111	19
32026	648	562	69	17
32027	568	386	173	9
32028	588	522	55	11
32029	644	537	93	14
32030	609	424	162	23
32031	623	466	139	18
32032	656	520	116	20
32033	617	462	145	10
32034	650	538	92	20
32035	628	485	130	13
32036	651	504	133	14
32037	586	476	88	22
32038	550	433	106	11
32039	681	442	222	17
32040	655	511	130	14
32041	623	471	134	18
32042	540	399	125	16
32043	546	474	56	16
33001	539	463	62	14
33002	718	587	113	18
33003	768	659	94	15
33004	747	591	130	26
33005	517	420	81	16
33006	486	404	69	13
33007	624	515	87	22
33008	761	650	106	5
33009	621	482	124	15
33010	545	427	96	22
33011	620	502	99	19
33012	555	441	97	17
33013	557	461	85	11
33014	294	233	49	12
33015	551	480	59	12
33016	733	587	127	19
33017	622	497	99	26
33018	762	652	88	22
33019	638	516	106	16
33020	653	568	65	20
33021	588	505	65	18
33022	510	391	104	15
33023	607	513	86	8
33024	753	610	132	11
33025	696	562	108	26
33026	460	403	42	15
33027	633	532	84	17
33028	550	491	42	17
34001	418	402	10	6
34002	324	307	14	3
34003	397	378	18	1
34004	292	276	12	4
34005	340	326	9	5
34006	450	416	19	15
34007	439	420	16	3
34008	319	303	12	4
34009	266	251	10	5
34010	374	359	10	5
34011	330	310	15	5
34012	426	412	6	8
34013	381	358	20	3
34014	299	282	12	5
34015	347	328	13	6
34016	322	303	14	5
34017	496	471	19	6
34018	294	285	7	2
34019	420	403	14	3
34020	437	421	12	4
34021	459	443	10	6
34022	387	356	25	6
34023	308	291	11	6
34024	345	329	12	4
34025	587	561	18	8
34026	414	396	12	6
34027	326	309	16	1
34028	250	239	9	2
34029	306	294	8	4
34030	384	363	15	6
34031	328	312	12	4
34032	384	368	15	1
34033	317	299	13	5
34034	405	380	18	7
34035	425	407	14	4
34036	345	322	15	8
34037	230	213	13	4
34038	188	181	7	0
34039	266	253	12	1
34040	422	406	13	3
34041	231	218	9	4
34042	379	361	13	5
34043	357	336	14	7
34044	385	367	17	1
34045	414	397	13	4
34046	264	255	8	1
34047	369	354	9	6
34048	398	380	14	4
34049	359	340	16	3
34050	319	292	18	9
34051	400	377	18	5
34052	292	279	10	3
34053	241	227	12	2
35001	501	432	61	8
35002	556	468	79	9
35003	443	398	34	11
35004	473	373	82	18
35005	448	391	47	10
35006	453	381	53	19
35007	494	437	44	13
35008	519	452	54	13
35009	436	352	78	6
35010	638	571	57	10
35011	552	480	67	5
35012	310	251	48	11
35013	321	274	40	7
35014	329	280	39	10
35015	584	515	56	13
35016	261	239	17	5
35017	543	477	55	11
35018	308	249	52	7
35019	255	214	39	2
35020	421	342	68	11
35021	425	370	39	16
35022	583	489	63	31
35023	483	398	72	13
35024	431	358	60	13
35025	564	494	56	14
35026	417	332	69	16
35027	399	327	66	6
35028	470	396	62	12
35029	415	344	68	3
35030	459	376	72	11
35031	503	410	80	13
36001	364	276	76	12
36002	346	268	63	15
36003	343	275	58	10
36004	350	289	51	10
36005	341	278	56	7
36006	321	262	54	5
36007	478	292	170	16
36008	263	218	35	10
36009	344	280	54	10
36010	470	346	111	13
36011	265	207	51	7
36012	239	204	28	7
36013	259	216	39	4
36014	401	298	92	11
36015	403	287	99	17
36016	404	296	98	10
36017	444	320	110	14
36018	407	285	111	11
36019	441	357	76	8
36020	419	296	109	14
36021	296	229	57	10
36022	297	256	37	4
36023	322	264	50	8
36024	385	263	110	12
36025	367	292	66	9
36026	384	241	130	13
36027	389	284	95	10
36028	358	236	112	10
36029	414	273	129	12
36030	384	274	87	23
37001	243	220	16	7
37002	294	264	25	5
37003	271	256	11	4
37004	280	249	27	4
37005	389	364	21	4
37006	398	379	13	6
37007	265	249	14	2
37008	259	239	16	4
37009	377	361	13	3
37010	420	383	30	7
37011	245	231	13	1
37012	273	247	23	3
37013	259	241	12	6
37014	374	347	25	2
37015	360	348	8	4
37016	399	373	22	4
37017	289	273	12	4
37018	317	299	16	2
37019	247	230	12	5
37020	292	273	16	3
37021	333	299	28	6
37022	315	270	39	6
37023	331	315	16	0
37024	391	365	19	7
37025	313	296	15	2
37026	464	430	30	4
37027	331	304	23	4
37028	314	284	27	3
37029	320	300	15	5
37030	342	321	13	8
37031	366	351	13	2
37032	314	287	20	7
37033	383	354	23	6
37034	337	320	15	2
37035	366	349	12	5
37036	350	336	12	2
37037	388	362	17	9
37038	352	322	24	6
37039	331	310	16	5
37040	369	356	11	2
37041	360	328	24	8
38001	402	284	101	17
38002	468	176	280	12
38003	414	246	162	6
38004	399	228	152	19
38005	435	254	169	12
38006	415	238	171	6
38007	385	207	170	8
38008	387	221	150	16
38009	473	248	212	13
38010	339	217	110	12
38011	374	240	124	10
38012	429	181	237	11
38013	444	235	190	19
38014	456	289	152	15
38015	382	270	100	12
38016	405	244	150	11
38017	530	271	246	13
38018	476	277	188	11
38019	494	284	191	19
38020	436	220	201	15
38021	366	237	112	17
38022	416	272	132	12
38023	435	299	126	10
38024	452	235	203	14
38025	374	248	118	8
38026	444	275	156	13
38027	426	247	164	15
38028	518	257	245	16
38029	421	276	132	13
38030	411	226	166	19
38031	433	285	134	14
38032	430	281	134	15
38033	424	279	123	22
38034	434	329	91	14
38035	447	326	107	14
38036	393	263	125	5
38037	431	299	121	11
38038	407	240	152	15
38039	458	320	127	11
38040	445	280	150	15
38041	402	308	90	4
39001	473	256	203	14
39002	468	275	181	12
39003	516	372	123	21
39004	420	247	155	18
39005	468	321	137	10
39006	432	335	87	10
39007	414	307	97	10
39008	472	359	97	16
39009	428	300	116	12
39010	226	191	28	7
39011	416	282	115	19
39012	603	499	75	29
39013	384	266	103	15
39014	493	360	121	12
39015	522	277	232	13
39016	372	270	93	9
39017	499	351	137	11
39018	443	318	112	13
39019	475	347	110	18
39020	574	332	224	18
39021	425	235	178	12
39022	388	287	93	8
39023	484	257	209	18
39024	595	321	265	9
39025	396	327	61	8
39026	441	253	174	14
39027	85	49	34	2
39028	577	452	106	19
39029	259	220	33	6
39030	551	451	91	9
39031	385	311	65	9
39032	401	249	143	9
39033	515	373	134	8
39034	508	378	101	29
39035	460	344	96	20
39036	128	98	29	1
39037	470	276	181	13
39038	282	184	90	8
39039	303	209	84	10
39040	431	252	168	11
39041	497	283	198	16
39042	516	244	260	12
39043	511	278	221	12
39044	364	194	166	4
39045	458	257	192	9
40001	427	316	103	8
40002	439	337	93	9
40003	651	563	79	9
40004	293	233	57	3
40005	538	441	85	12
40006	645	564	70	11
40007	527	434	81	12
40008	687	587	87	13
40009	415	328	78	9
40010	483	384	87	12
40011	556	454	80	22
40012	460	381	69	10
40013	846	751	78	17
40014	407	304	92	11
40015	450	359	84	7
40016	724	612	98	14
40017	426	341	78	7
40018	391	337	48	6
40019	582	465	102	15
40020	515	423	82	10
40021	583	493	79	11
40022	594	507	73	14
40023	631	555	67	9
40024	413	318	86	9
40025	633	559	57	17
40026	563	499	60	4
40027	716	606	89	21
40028	568	498	63	7
40029	488	363	116	9
40030	432	299	126	7
40031	592	525	57	10
40032	597	520	64	13
40033	533	478	45	10
40034	431	307	111	13
40035	345	264	61	20
40036	498	419	69	10
40037	468	409	50	9
40038	666	574	82	10
40039	189	161	25	3
41001	439	203	222	14
41002	444	186	244	14
41003	454	246	193	15
41004	480	235	235	10
41005	564	308	238	18
41006	572	263	296	13
41007	535	265	250	20
41008	467	221	232	14
41009	470	251	204	15
41010	500	258	233	9
41011	528	245	267	16
41012	464	237	218	9
41013	562	275	277	10
41014	548	293	244	11
41015	593	309	267	17
41016	437	223	200	14
41017	469	249	210	10
41018	449	234	206	9
41019	563	289	263	11
41020	355	175	174	6
41021	514	270	229	15
41022	533	243	282	8
41023	472	190	269	13
41024	415	190	211	14
41025	368	209	147	12
41026	469	227	223	19
41027	393	197	185	11
41028	473	316	143	14
41029	334	182	140	12
41030	489	251	225	13
41031	516	272	224	20
41032	396	207	176	13
41033	459	228	226	5
41034	418	206	203	9
41035	584	260	311	13
41036	478	243	219	16
41037	541	305	218	18
41038	452	218	218	16
41039	516	258	243	15
41040	511	212	283	16
41041	503	241	253	9
41042	463	212	240	11
41043	500	260	235	5
41044	497	202	286	9
41045	449	225	208	16
41046	502	238	245	19
41047	512	259	243	10
42001	538	346	184	8
42002	664	512	144	8
42003	631	473	137	21
42004	1202	841	343	18
42005	541	388	144	9
42006	590	379	195	16
42007	753	497	251	5
42008	544	411	123	10
42009	733	539	169	25
42010	840	611	203	26
42011	425	247	170	8
42012	539	343	184	12
42013	518	310	195	13
42014	806	551	236	19
42015	705	471	222	12
42016	647	458	175	14
42017	849	561	276	12
42018	691	475	195	21
42019	777	497	273	7
42020	719	458	238	23
42021	668	485	163	20
42022	329	194	128	7
42023	706	436	253	17
42024	644	429	209	6
42025	648	399	229	20
42026	853	575	255	23
42027	447	309	127	11
42028	671	453	206	12
42029	673	437	214	22
42030	528	302	216	10
42031	754	458	281	15
42032	703	439	245	19
42033	699	532	152	15
42034	528	323	191	14
42035	794	578	194	22
42036	1032	751	257	24
42037	469	326	134	9
42038	592	403	176	13
42039	894	647	223	24
42040	861	648	204	9
42041	648	464	162	22
42042	1038	751	267	20
43001	316	222	89	5
43002	672	450	199	23
43003	594	374	209	11
43004	723	489	219	15
43005	545	381	149	15
43006	494	346	137	11
43007	398	282	105	11
43008	451	313	129	9
43009	614	421	174	19
43010	737	479	244	14
43011	579	391	179	9
43012	434	307	112	15
43013	571	448	107	16
43014	622	407	199	16
43015	602	421	170	11
43016	737	507	205	25
43017	481	320	151	10
43018	710	478	212	20
43019	671	478	183	10
43020	688	510	160	18
43021	682	475	187	20
43022	431	320	101	10
43023	442	318	109	15
43024	463	322	122	19
43025	491	357	127	7
43026	400	292	104	4
43027	600	414	171	15
43028	781	550	218	13
43029	579	412	157	10
43030	663	469	187	7
43031	592	420	159	13
43032	632	452	166	14
43033	610	391	215	4
43034	445	320	119	6
43035	657	439	206	12
43036	342	268	63	11
43037	672	521	135	16
43038	507	304	197	6
43039	577	412	150	15
43040	450	340	102	8
43041	796	597	186	13
43042	580	447	125	8
43043	570	367	197	6
43044	594	407	169	18
43045	365	253	108	4
43046	358	264	88	6
44001	964	793	150	21
44002	632	479	134	19
44003	403	311	89	3
44004	576	429	133	14
44005	718	607	100	11
44006	801	650	134	17
44007	465	318	139	8
44008	897	730	145	22
44009	633	489	125	19
44010	651	487	149	15
44011	708	527	162	19
44012	668	526	131	11
44013	538	383	138	17
44014	601	467	121	13
44015	575	454	110	11
44016	742	545	180	17
44017	855	709	132	14
44018	710	547	142	21
44019	783	640	131	12
44020	690	570	113	7
44021	806	654	139	13
44022	679	522	142	15
44023	637	526	94	17
44024	476	358	110	8
44025	655	487	155	13
44026	770	632	114	24
44027	780	584	176	20
44028	592	503	79	10
44029	706	527	174	5
44030	785	607	160	18
44031	553	426	110	17
44032	724	538	167	19
44033	677	607	61	9
44034	680	582	86	12
44035	772	593	157	22
44036	672	543	121	8
44037	710	593	106	11
44038	650	486	143	21
44039	691	520	155	16
44040	626	437	174	15
44041	815	670	128	17
45001	396	323	62	11
45002	466	381	70	15
45003	446	332	99	15
45004	590	440	134	16
45005	490	349	121	20
45006	661	497	152	12
45007	704	509	183	12
45008	486	350	121	15
45009	450	323	114	13
45010	478	321	145	12
45011	329	249	68	12
45012	442	322	98	22
45013	404	275	115	14
45014	584	423	141	20
45015	561	424	123	14
45016	406	288	104	14
45017	536	358	162	16
45018	484	302	160	22
45019	248	183	58	7
45020	338	241	89	8
45021	430	261	161	8
45022	425	287	126	12
45023	413	243	155	15
45024	367	222	134	11
45025	289	168	113	8
45026	249	124	122	3
45027	451	250	189	12
45028	372	236	128	8
45029	304	184	112	8
45030	393	309	73	11
45031	372	259	103	10
45032	403	272	116	15
45033	348	257	79	12
45034	457	329	111	17
45035	499	326	160	13
45036	488	305	171	12
45037	456	295	151	10
45038	418	257	146	15
45039	456	285	151	20
45040	447	249	181	17
45041	428	245	164	19
45042	427	219	193	15
45043	451	236	201	14
45044	449	255	181	13
45045	318	164	142	12
45046	338	187	140	11
45047	329	183	140	6
45048	385	180	191	14
46001	433	358	57	18
46002	549	498	45	6
46003	707	573	122	12
46004	545	472	61	12
46005	782	630	128	24
46006	497	429	49	19
46007	639	515	113	11
46008	399	337	52	10
46009	655	583	59	13
46010	947	790	138	19
46011	575	464	101	10
46012	644	573	60	11
46013	565	478	78	9
46014	553	495	46	12
46015	588	479	98	11
46016	686	597	71	18
46017	668	550	110	8
46018	647	521	115	11
46019	423	345	65	13
46020	480	427	46	7
46021	407	331	67	9
46022	447	386	53	8
46023	466	418	40	8
46024	691	578	100	13
46025	555	499	41	15
46026	671	586	65	20
46027	774	655	92	27
46028	586	472	108	6
46029	500	414	78	8
46030	630	544	68	18
46031	593	521	60	12
46032	607	509	80	18
46033	694	577	106	11
46034	690	602	67	21
46035	669	581	78	10
46036	590	458	118	14
46037	536	468	57	11
46038	628	553	63	12
46039	595	462	118	15
46040	491	425	56	10
47001	418	314	89	15
47002	625	490	126	9
47003	583	438	129	16
47004	674	516	141	17
47005	658	550	94	14
47006	740	588	133	19
47007	549	443	92	14
47008	593	472	109	12
47009	583	451	117	15
47010	766	675	79	12
47011	608	471	119	18
47012	651	539	102	10
47013	578	482	86	10
47014	549	447	97	5
47015	735	656	63	16
47016	597	476	109	12
47017	601	472	120	9
47018	593	472	109	12
47019	769	693	62	14
47020	572	477	84	11
47021	576	492	73	11
47022	632	520	98	14
47023	670	603	58	9
47024	636	500	114	22
47025	720	589	113	18
47026	788	688	80	20
47027	575	463	100	12
47028	567	450	107	10
47029	673	542	118	13
47030	736	632	90	14
47031	605	517	79	9
47032	734	643	82	9
47033	578	439	127	12
47034	630	526	98	6
47035	629	473	137	19
47036	677	587	76	14
47037	598	503	86	9
47038	609	503	100	6
47039	614	517	87	10
47040	609	508	93	8
47041	684	588	88	8
47042	630	543	76	11
47043	572	437	127	8
47044	595	459	116	20
47045	580	479	89	12
47046	603	427	153	23
47047	712	550	144	18
47048	57	41	12	4
48001	526	467	48	11
48002	278	216	56	6
48003	627	538	77	12
48004	549	479	61	9
48005	346	279	59	8
48006	684	585	86	13
48007	572	519	40	13
48008	321	239	76	6
48009	364	267	85	12
48010	820	739	72	9
48011	514	445	58	11
48012	694	611	74	9
48013	713	585	115	13
48014	288	223	62	3
48015	402	329	60	13
48016	594	518	60	16
48017	517	442	68	7
48018	387	333	49	5
48019	384	335	41	8
48020	655	586	61	8
48021	720	606	91	23
48022	498	379	112	7
48023	625	483	126	16
48024	649	485	144	20
48025	521	444	69	8
48026	276	230	37	9
48027	816	711	88	17
48028	648	471	170	7
48029	306	250	50	6
48030	502	448	49	5
48031	723	622	84	17
48032	589	511	61	17
48033	318	250	62	6
48034	498	436	55	7
48035	396	302	81	13
48036	334	268	57	9
48037	588	522	60	6
48038	588	486	89	13
48039	460	370	83	7
48040	508	445	52	11
48041	717	625	80	12
48042	669	601	51	17
48043	620	537	72	11
48044	717	650	57	10
48045	434	368	56	10
48046	388	320	62	6
49001	360	329	23	8
49002	386	344	31	11
49003	619	553	56	10
49004	700	611	71	18
49005	563	504	46	13
49006	522	469	42	11
49007	619	525	75	19
49008	461	400	52	9
49009	610	554	48	8
49010	552	480	59	13
49011	649	580	57	12
49012	771	700	58	13
49013	650	571	64	15
49014	480	404	57	19
49015	402	355	40	7
49016	548	468	71	9
49017	402	326	67	9
49018	759	694	50	15
49019	521	467	37	17
49020	820	742	65	13
49021	331	285	41	5
49022	555	489	58	8
49023	753	680	61	12
49024	473	423	37	13
49025	742	661	70	11
49026	659	557	90	12
49027	643	573	60	10
49028	761	696	49	16
49029	695	616	63	16
49030	663	580	72	11
49031	453	392	51	10
49032	550	503	36	11
49033	463	414	43	6
50001	399	214	175	10
50002	267	154	103	10
50003	387	217	161	9
50004	464	335	124	5
50005	303	144	155	4
50006	479	353	114	12
50007	485	387	90	8
50008	431	378	44	9
50009	357	265	87	5
50010	382	240	133	9
50011	291	93	193	5
50012	184	112	70	2
50013	464	396	56	12
50014	149	85	61	3
50015	491	385	95	11
50016	143	87	55	1
50017	414	291	115	8
50018	111	60	49	2
50019	261	214	42	5
50020	405	313	78	14
50021	381	289	86	6
50022	355	213	137	5
50023	280	175	101	4
50024	341	128	208	5
50025	412	196	210	6
50026	386	289	88	9
50027	130	73	55	2
50028	479	372	100	7
50029	357	296	49	12
50030	283	233	42	8
50031	525	452	56	17
50032	451	393	46	12
50033	360	152	203	5
50034	590	389	184	17
50035	537	456	74	7
50036	399	312	82	5
50037	462	363	86	13
50038	186	127	50	9
50039	252	156	92	4
50040	427	147	272	8
