Precinct	total_votes	votes|Rahm Emanuel	votes|Willie Wilson	votes|Robert W. Fioretti	votes|Jesus ''Chuy'' Garcia	votes|William Walls, Iii
23010	251	94	4	25	123	5
23011	225	59	2	14	150	0
23012	335	141	11	67	111	5
23013	161	45	5	6	105	0
23014	278	129	11	50	87	1
23015	167	58	11	9	88	1
23016	305	148	3	64	89	1
23017	130	27	12	5	84	2
23018	250	97	2	57	92	2
23019	176	39	9	7	120	1
23020	131	38	2	8	83	0
23021	339	152	10	74	103	0
23022	275	133	5	39	96	2
23023	276	129	8	48	89	2
23024	179	57	10	7	105	0
23025	206	70	5	25	106	0
23026	274	117	6	22	127	2
23027	323	155	4	68	95	1
23028	306	129	9	57	110	1
23029	247	117	3	36	90	1
23030	237	66	5	17	149	0
23031	182	41	5	12	123	1
23032	233	68	6	16	142	1
23033	192	34	7	11	140	0
23034	192	53	4	9	123	3
23035	228	93	2	45	85	3
23036	345	188	2	65	89	1
23037	306	143	9	56	96	2
23038	266	124	7	52	82	1
23039	192	59	1	11	118	3
24001	204	76	73	6	42	7
24002	196	63	73	2	43	15
24003	187	71	46	14	46	10
24004	160	64	62	6	20	8
24005	133	39	36	13	38	7
24006	206	69	69	7	46	15
24007	102	28	6	5	62	1
24008	144	51	38	11	38	6
24009	181	73	46	7	48	7
24010	93	26	28	4	27	8
24011	212	74	64	12	53	9
24012	126	56	39	9	20	2
24013	128	52	39	5	26	6
24014	185	62	68	6	40	9
24015	126	48	35	5	31	7
24016	192	52	17	4	116	3
24017	153	50	57	5	29	12
24018	233	83	82	10	40	18
24019	221	83	70	6	54	8
24020	183	73	65	6	32	7
24021	122	34	39	9	33	7
24022	254	107	84	10	38	15
24023	178	70	44	13	44	7
24024	240	85	86	11	45	13
24025	188	60	68	11	36	13
24026	305	125	81	23	57	19
24027	211	88	59	19	38	7
24028	163	52	54	4	37	16
24029	160	66	40	4	38	12
24030	110	40	35	1	30	4
24031	206	85	50	5	55	11
24032	123	50	35	4	27	7
24033	107	49	30	3	21	4
24034	177	50	85	4	28	10
24035	213	82	68	12	34	17
24036	252	96	68	14	63	11
24037	109	35	32	2	34	6
24038	184	52	60	12	53	7
24039	253	104	58	7	76	8
24040	185	64	69	7	34	11
24041	163	66	51	6	29	11
25001	237	73	2	10	151	1
25002	252	53	6	9	183	1
25003	206	105	3	37	58	3
25004	199	72	40	24	56	7
25005	247	60	2	21	163	1
25006	102	57	6	7	30	2
25007	267	47	3	7	209	1
25008	269	46	5	11	206	1
25009	281	52	3	10	215	1
25010	186	128	2	22	33	1
25011	285	62	4	7	209	3
25012	249	56	2	4	187	0
25013	277	52	0	1	224	0
25014	180	128	6	8	33	5
25015	266	90	2	6	167	1
25016	178	112	2	26	37	1
25017	304	85	18	13	186	2
25018	293	205	17	10	59	2
25019	276	59	3	6	208	0
25020	192	72	53	39	23	5
25021	259	143	9	43	62	2
25022	260	49	1	3	205	2
25023	302	63	3	10	225	1
25024	264	38	1	11	212	2
25025	258	128	6	32	91	1
25026	271	53	6	6	205	1
25027	184	91	2	36	53	2
25028	274	47	2	5	217	3
25029	252	110	44	40	49	9
25030	244	52	2	3	185	2
25031	186	129	2	21	33	1
25032	242	69	6	9	157	1
26001	167	57	3	6	100	1
26002	172	46	25	7	92	2
26003	168	62	4	12	90	0
26004	142	62	16	0	60	4
26005	147	46	7	3	88	3
26006	167	58	6	10	93	0
26007	121	30	4	4	82	1
26008	82	21	1	4	56	0
26009	162	55	5	9	91	2
26010	150	34	9	8	97	2
26011	172	57	8	5	101	1
26012	167	59	12	6	89	1
26013	110	51	2	2	54	1
26014	106	20	0	5	81	0
26015	82	28	7	1	42	4
26016	97	35	5	4	51	2
26017	157	63	7	24	61	2
26018	151	55	7	5	83	1
26019	100	32	14	5	48	1
26020	172	73	12	6	80	1
26021	211	60	23	12	108	8
26022	108	43	2	3	58	2
26023	108	41	4	3	59	1
26024	161	65	2	10	83	1
26025	161	45	8	12	95	1
26026	94	22	5	5	59	3
26027	185	77	12	13	80	3
26028	219	103	4	19	91	2
26029	90	28	3	2	53	4
26030	131	40	5	5	77	4
26031	97	41	6	2	46	2
26032	162	62	9	25	63	3
26033	167	59	12	8	86	2
26034	194	71	9	10	102	2
26035	187	63	11	8	104	1
26036	148	44	6	12	86	0
26037	149	46	2	6	95	0
26038	102	43	13	2	43	1
26039	169	52	1	10	101	5
26040	75	35	4	3	31	2
26041	214	73	23	12	103	3
26042	140	39	3	10	87	1
26043	92	38	1	2	51	0
26044	96	33	9	3	48	3
26045	64	27	9	0	28	0
26046	98	37	3	12	45	1
26047	121	30	7	5	78	1
26048	156	43	4	8	101	0
26049	99	27	5	0	65	2
27001	152	96	5	13	37	1
27002	261	139	41	24	55	2
27003	115	40	37	7	25	6
27004	114	36	25	19	32	2
27005	160	69	39	8	37	7
27006	167	95	25	12	29	6
27007	229	87	8	17	117	0
27008	165	72	47	8	32	6
27009	96	57	9	4	22	4
27010	267	133	62	28	37	7
27011	145	94	7	5	37	2
27012	116	83	4	6	22	1
27013	329	169	61	11	75	13
27014	107	33	35	21	13	5
27015	135	62	49	1	20	3
27016	158	91	6	13	47	1
27017	208	78	38	32	51	9
27018	177	74	43	27	26	7
27019	144	64	46	7	26	1
27020	141	67	34	8	25	7
27021	161	118	6	9	26	2
27022	130	52	41	1	30	6
27023	177	89	57	5	22	4
27024	147	50	32	4	52	9
27025	177	58	43	28	46	2
27026	206	88	45	14	49	10
27027	193	89	45	19	31	9
27028	118	60	19	5	31	3
27029	150	41	40	5	56	8
27030	123	44	24	34	17	4
27031	162	58	59	6	31	8
27032	161	61	31	29	30	10
27033	162	80	7	15	55	5
27034	210	115	61	3	29	2
27035	172	110	2	12	45	3
27036	142	65	30	11	32	4
27037	267	175	38	11	38	5
27038	351	219	38	22	49	23
27039	178	64	39	25	38	12
27040	230	104	27	11	84	4
27041	234	109	68	19	29	9
27042	144	82	20	8	32	2
27043	158	58	33	24	39	4
27044	172	75	47	3	36	11
27045	207	113	5	26	61	2
27046	135	106	2	5	22	0
27047	206	114	37	3	38	14
27048	247	134	41	10	53	9
27049	139	49	39	24	20	7
27050	182	72	43	33	25	9
28001	135	47	59	5	18	6
28002	158	55	53	4	42	4
28003	140	48	45	11	31	5
28004	138	65	6	24	42	1
28005	137	65	29	15	25	3
28006	137	51	22	33	27	4
28007	166	67	55	7	33	4
28008	93	51	1	13	28	0
28009	187	80	58	13	27	9
28010	200	94	12	41	52	1
28011	261	86	28	38	103	6
28012	186	79	50	8	35	14
28013	199	82	82	2	19	14
28014	192	81	65	7	30	9
28015	85	45	26	0	8	6
28016	106	52	29	7	16	2
28017	150	49	67	4	26	4
28018	164	75	41	18	26	4
28019	163	46	10	27	80	0
28020	183	71	67	7	31	7
28021	156	62	55	7	16	16
28022	154	57	41	11	33	12
28023	207	82	70	10	36	9
28024	143	58	46	2	28	9
28025	234	72	63	11	67	21
28026	184	76	65	6	26	11
28027	180	81	9	23	65	2
28028	208	105	6	42	49	6
28029	82	29	31	9	11	2
28030	39	14	13	5	6	1
28031	267	108	81	20	44	14
28032	173	76	55	7	25	10
28033	203	78	68	4	42	11
28034	257	99	73	12	61	12
28035	203	54	83	23	35	8
28036	127	57	23	5	33	9
28037	224	90	70	14	46	4
28038	108	49	27	3	25	4
28039	122	49	49	3	18	3
28040	208	100	54	6	38	10
28041	140	57	37	3	38	5
28042	181	56	71	5	36	13
28043	208	80	76	11	27	14
28044	135	54	48	7	23	3
28045	121	62	7	11	39	2
28046	281	90	17	52	116	6
29001	342	142	22	36	138	4
29002	372	163	96	14	70	29
29003	272	123	82	8	45	14
29004	274	114	78	10	53	19
29005	219	85	67	4	47	16
29006	182	74	53	4	46	5
29007	248	109	39	20	72	8
29008	136	51	48	7	22	8
29009	349	140	26	35	136	12
29010	385	168	42	37	129	9
29011	139	66	34	7	27	5
29012	286	120	66	14	69	17
29013	243	107	78	9	43	6
29014	269	93	91	17	46	22
29015	293	121	64	16	58	34
29016	280	114	73	12	71	10
29017	204	97	53	9	35	10
29018	227	108	55	4	49	11
29019	251	106	70	14	48	13
29020	322	143	96	20	45	18
29021	245	113	68	12	42	10
29022	185	62	37	18	59	9
29023	261	107	21	30	99	4
29024	206	93	52	10	34	17
29025	283	130	77	19	48	9
29026	268	110	58	13	68	19
29027	238	92	63	12	52	19
29028	314	122	110	9	63	10
29029	223	109	6	24	84	0
29030	335	159	40	19	112	5
29031	223	110	4	38	68	3
29032	209	85	4	32	84	4
29033	234	109	65	7	44	9
29034	162	66	27	15	48	6
29035	176	70	50	10	37	9
29036	231	104	64	11	38	14
29037	226	78	80	8	43	17
29038	199	77	7	33	76	6
29039	191	76	7	26	77	5
29040	291	119	89	16	54	13
29041	238	93	66	21	47	11
29042	250	98	90	10	42	10
29043	317	125	37	28	116	11
29044	305	111	105	5	64	20
30001	190	71	4	24	88	3
30002	216	106	4	12	94	0
30003	151	59	2	11	78	1
30004	180	76	4	29	69	2
30005	121	42	5	10	62	2
30006	159	88	7	6	57	1
30007	193	73	5	7	106	2
30008	207	86	5	14	102	0
30009	154	60	10	16	63	5
30010	191	88	4	15	82	2
30011	145	46	7	5	85	2
30012	152	61	5	15	69	2
30013	152	71	2	12	67	0
30014	108	47	7	3	50	1
30015	226	108	8	24	85	1
30016	85	30	7	7	41	0
30017	202	82	6	29	83	2
30018	172	44	5	12	111	0
30019	146	38	0	8	99	1
30020	210	72	6	9	123	0
30021	177	68	6	16	85	2
30022	188	57	5	15	108	3
30023	150	55	9	9	76	1
30024	168	52	8	9	97	2
30025	202	78	4	12	103	5
30026	109	51	3	9	46	0
30027	112	50	2	14	44	2
30028	205	93	2	9	99	2
30029	90	33	1	3	53	0
30030	61	25	0	4	32	0
30031	138	56	4	8	67	3
30032	136	52	2	15	65	2
31001	147	52	3	5	86	1
31002	138	61	2	7	68	0
31003	146	71	1	10	63	1
31004	171	57	2	1	107	4
31005	160	70	5	4	81	0
31006	152	74	3	7	67	1
31007	138	45	1	3	87	2
31008	100	49	4	6	41	0
31009	135	69	3	7	54	2
31010	125	59	3	8	54	1
31011	112	52	4	4	52	0
31012	126	61	2	6	57	0
31013	142	47	3	7	83	2
31014	129	64	7	11	46	1
31015	124	43	6	11	64	0
31016	198	39	2	8	145	4
31017	165	66	6	17	75	1
31018	159	72	4	4	77	2
31019	130	58	3	8	61	0
31020	133	64	6	5	55	3
31021	140	58	2	8	69	3
31022	127	35	1	3	88	0
31023	133	51	5	6	70	1
31024	190	81	4	8	96	1
31025	118	46	3	8	59	2
31026	174	80	4	4	83	3
31027	167	69	2	4	90	2
31028	116	50	3	6	56	1
31029	197	100	9	7	78	3
31030	93	43	1	0	46	3
31031	151	53	5	14	79	0
31032	124	44	2	8	70	0
31033	134	48	2	12	72	0
31034	134	56	10	11	57	0
31035	172	69	2	10	90	1
31036	175	73	2	17	82	1
31037	138	64	3	6	63	2
31038	128	56	3	2	67	0
31039	146	33	4	6	102	1
31040	149	49	3	12	81	4
31041	127	50	1	0	75	1
32001	184	99	4	15	64	2
32002	170	93	3	19	53	2
32003	285	93	6	22	162	2
32004	213	114	5	31	62	1
32005	211	107	0	31	71	2
32006	163	97	5	12	49	0
32007	197	108	7	17	62	3
32008	165	109	2	11	42	1
32009	212	110	3	17	81	1
32010	194	112	9	13	60	0
32011	241	72	6	10	152	1
32012	216	66	6	13	128	3
32013	173	114	4	16	38	1
32014	206	63	2	21	119	1
32015	197	96	9	17	75	0
32016	217	85	3	22	104	3
32017	244	75	6	22	139	2
32018	171	118	1	12	40	0
32019	169	68	4	16	79	2
32020	268	61	10	13	180	4
32021	246	122	2	20	97	5
32022	284	86	8	20	166	4
32023	210	110	2	30	68	0
32024	99	62	3	10	24	0
32025	185	92	2	16	74	1
32026	252	85	0	26	140	1
32027	197	127	6	5	58	1
32028	236	75	7	14	137	3
32029	238	107	5	14	112	0
32030	156	112	5	6	33	0
32031	190	110	4	16	59	1
32032	201	104	3	21	73	0
32033	196	115	5	20	54	2
32034	183	73	8	20	82	0
32035	176	97	0	14	64	1
32036	183	104	6	19	53	1
32037	157	57	5	20	72	3
32038	170	90	1	12	66	1
32039	173	116	5	8	43	1
32040	215	128	1	15	70	1
32041	193	111	10	6	64	2
32042	183	91	4	18	68	2
32043	215	77	1	12	122	3
33001	269	86	11	18	152	2
33002	346	138	17	15	168	8
33003	307	94	10	17	184	2
33004	284	106	4	18	155	1
33005	216	102	3	21	89	1
33006	240	101	4	16	116	3
33007	304	130	13	21	133	7
33008	463	208	12	36	203	4
33009	296	141	6	15	131	3
33010	315	168	18	18	106	5
33011	278	103	5	17	151	2
33012	291	119	2	18	148	4
33013	249	75	5	19	143	7
33014	116	37	3	8	68	0
33015	333	124	11	25	172	1
33016	413	183	19	22	184	5
33017	318	124	11	21	157	5
33018	307	93	8	17	184	5
33019	244	94	10	16	117	7
33020	318	125	13	25	153	2
33021	291	119	8	15	145	4
33022	355	180	6	14	154	1
33023	316	118	14	22	154	8
33024	490	222	15	43	207	3
33025	334	131	19	17	160	7
33026	198	54	5	12	124	3
33027	221	83	10	13	113	2
33028	213	74	10	13	113	3
34001	304	145	53	10	81	15
34002	243	114	60	2	51	16
34003	255	130	48	9	53	15
34004	205	89	48	3	53	12
34005	229	108	39	12	58	12
34006	311	136	81	12	57	25
34007	296	154	61	7	55	19
34008	185	67	51	9	45	13
34009	196	83	70	7	32	4
34010	257	121	65	9	56	6
34011	198	90	50	5	37	16
34012	286	128	57	7	76	18
34013	271	100	90	8	56	17
34014	189	82	56	11	25	15
34015	175	78	49	6	29	13
34016	196	80	63	6	40	7
34017	307	148	62	9	69	19
34018	190	86	55	4	35	10
34019	238	104	63	10	43	18
34020	326	168	70	11	64	13
34021	345	155	82	18	74	16
34022	265	135	50	6	54	20
34023	213	101	57	6	43	6
34024	213	92	50	7	50	14
34025	296	133	78	4	62	19
34026	275	130	71	9	52	13
34027	217	88	69	6	36	18
34028	159	80	49	7	17	6
34029	199	74	65	4	39	17
34030	285	127	68	11	59	20
34031	179	87	55	4	22	11
34032	235	119	63	6	36	11
34033	206	91	69	8	29	9
34034	271	121	57	7	64	22
34035	259	110	64	8	56	21
34036	255	92	75	11	67	10
34037	153	66	46	3	30	8
34038	146	69	49	6	20	2
34039	187	78	50	7	31	21
34040	261	113	68	10	58	12
34041	179	85	42	10	28	14
34042	275	122	60	6	69	18
34043	251	116	53	12	53	17
34044	260	132	62	7	46	13
34045	268	155	39	8	48	18
34046	178	89	36	9	39	5
34047	222	113	59	1	35	14
34048	300	120	76	5	76	23
34049	313	120	73	17	81	22
34050	210	85	71	8	34	12
34051	305	140	60	13	79	13
34052	219	108	33	9	58	11
34053	130	65	37	3	21	4
35001	241	76	4	15	145	1
35002	292	88	2	16	183	3
35003	191	47	9	8	123	4
35004	255	102	4	15	133	1
35005	186	56	13	10	105	2
35006	184	63	6	11	102	2
35007	214	48	7	11	147	1
35008	182	42	7	7	125	1
35009	251	88	16	11	133	3
35010	278	73	5	17	181	2
35011	237	80	8	14	133	2
35012	132	24	3	4	100	1
35013	142	50	6	2	83	1
35014	168	50	4	5	108	1
35015	257	61	3	16	175	2
35016	131	35	6	2	86	2
35017	205	83	11	4	104	3
35018	198	79	0	2	115	2
35019	137	36	3	6	91	1
35020	151	60	5	8	76	2
35021	186	68	5	9	104	0
35022	223	99	3	16	105	0
35023	222	86	6	16	111	3
35024	186	68	4	16	97	1
35025	221	82	5	11	122	1
35026	184	70	6	20	86	2
35027	194	74	8	11	99	2
35028	205	73	3	8	117	4
35029	178	71	11	8	88	0
35030	202	88	9	14	84	7
35031	241	90	6	23	119	3
36001	221	88	6	20	103	4
36002	179	56	9	8	102	4
36003	205	82	14	19	88	2
36004	201	71	16	7	107	0
36005	210	86	26	12	85	1
36006	170	62	14	3	91	0
36007	326	157	12	58	97	2
36008	146	39	10	10	87	0
36009	153	43	8	7	93	2
36010	213	76	14	14	105	4
36011	133	55	1	8	69	0
36012	126	45	4	5	72	0
36013	138	36	9	3	90	0
36014	242	96	7	35	103	1
36015	268	107	9	42	109	1
36016	237	106	13	25	91	2
36017	258	119	6	23	110	0
36018	236	116	7	21	87	5
36019	224	68	11	27	114	4
36020	232	89	6	31	103	3
36021	158	62	7	10	76	3
36022	118	28	3	10	76	1
36023	160	63	14	6	77	0
36024	219	88	3	39	88	1
36025	158	46	7	5	100	0
36026	198	87	14	35	58	4
36027	196	94	7	25	65	5
36028	222	83	9	33	96	1
36029	277	128	12	45	91	1
36030	231	104	3	25	98	1
37001	189	98	49	4	30	8
37002	127	45	34	4	39	5
37003	148	60	46	5	27	10
37004	189	70	53	13	47	6
37005	251	113	68	7	51	12
37006	238	91	68	10	47	22
37007	160	60	34	12	42	12
37008	131	60	35	6	30	0
37009	209	87	66	12	34	10
37010	247	98	52	9	74	14
37011	155	63	41	10	32	9
37012	157	60	33	6	50	8
37013	158	69	43	2	35	9
37014	218	90	76	9	40	3
37015	240	122	56	12	40	10
37016	248	109	70	13	45	11
37017	167	70	62	6	23	6
37018	219	93	61	11	44	10
37019	140	42	51	11	27	9
37020	155	51	60	4	32	8
37021	193	76	51	12	48	6
37022	200	81	39	10	66	4
37023	245	93	80	12	46	14
37024	203	88	62	5	35	13
37025	219	97	67	9	38	8
37026	277	131	70	11	55	10
37027	210	67	77	15	41	10
37028	181	67	44	4	56	10
37029	234	85	65	10	55	19
37030	195	76	61	13	36	9
37031	246	109	65	16	46	10
37032	214	78	55	7	53	21
37033	235	119	57	10	39	10
37034	204	94	60	7	31	12
37035	247	110	71	12	44	10
37036	191	94	51	5	34	7
37037	213	85	74	11	33	10
37038	252	90	71	17	59	15
37039	197	75	50	10	52	10
37040	239	93	76	5	50	15
37041	232	106	68	6	48	4
38001	233	118	4	21	86	4
38002	406	185	13	96	111	1
38003	245	125	5	29	83	3
38004	302	154	7	53	86	2
38005	290	134	6	48	101	1
38006	266	112	5	45	102	2
38007	318	139	10	75	93	1
38008	256	117	6	34	96	3
38009	336	174	6	56	98	2
38010	218	102	6	36	69	5
38011	224	106	4	24	89	1
38012	320	165	10	63	80	2
38013	318	127	10	54	123	4
38014	264	116	6	41	96	5
38015	235	115	5	26	88	1
38016	282	133	7	50	92	0
38017	337	143	12	74	107	1
38018	278	136	9	37	90	6
38019	273	166	7	38	60	2
38020	278	128	7	55	86	2
38021	223	90	8	27	98	0
38022	247	124	5	33	82	3
38023	294	157	14	43	76	4
38024	362	184	11	55	111	1
38025	208	95	9	33	70	1
38026	265	154	5	29	73	4
38027	289	147	6	45	88	3
38028	353	171	5	69	106	2
38029	251	133	8	42	66	2
38030	289	123	7	67	91	1
38031	281	127	6	36	111	1
38032	224	112	11	28	71	2
38033	226	99	12	26	87	2
38034	228	101	10	20	94	3
38035	256	99	6	34	115	2
38036	221	117	6	19	78	1
38037	282	117	7	31	126	1
38038	252	128	11	35	69	9
38039	294	146	12	27	108	1
38040	261	144	8	31	78	0
38041	261	145	3	20	89	4
39001	283	138	5	38	100	2
39002	349	245	10	16	71	7
39003	245	125	14	21	84	1
39004	284	139	4	42	94	5
39005	285	139	3	26	115	2
39006	251	108	3	37	102	1
39007	246	112	5	23	105	1
39008	301	106	9	25	157	4
39009	256	146	4	23	80	3
39010	133	68	4	8	52	1
39011	245	119	6	27	91	2
39012	280	125	15	10	129	1
39013	225	103	9	26	87	0
39014	197	97	9	21	68	2
39015	327	204	7	36	78	2
39016	171	80	3	6	78	4
39017	302	140	7	37	116	2
39018	256	108	3	15	130	0
39019	269	129	4	31	103	2
39020	331	151	12	46	120	2
39021	244	111	12	38	80	3
39022	172	64	10	16	82	0
39023	301	153	12	43	91	2
39024	388	168	11	57	149	3
39025	171	78	6	15	70	2
39026	279	130	4	36	107	2
39027	63	33	2	10	18	0
39028	307	125	13	33	134	2
39029	112	61	3	12	36	0
39030	300	119	12	22	140	7
39031	209	91	4	23	89	2
39032	236	123	8	15	89	1
39033	252	114	13	13	108	4
39034	259	129	10	22	93	5
39035	288	110	14	18	138	8
39036	112	61	8	12	30	1
39037	322	172	14	28	107	1
39038	180	113	0	19	47	1
39039	175	82	3	11	78	1
39040	237	126	4	33	73	1
39041	342	161	18	48	114	1
39042	318	170	10	45	92	1
39043	309	158	4	39	105	3
39044	241	112	12	30	85	2
39045	289	153	12	35	87	2
40001	208	113	4	17	72	2
40002	231	106	7	26	82	10
40003	259	115	5	13	125	1
40004	166	78	7	13	63	5
40005	251	121	6	13	110	1
40006	262	94	8	18	139	3
40007	289	138	4	22	125	0
40008	308	120	2	29	155	2
40009	208	125	14	11	54	4
40010	238	114	8	17	95	4
40011	292	146	4	22	117	3
40012	159	74	4	7	70	4
40013	295	110	7	23	153	2
40014	194	111	8	5	66	4
40015	227	118	6	18	83	2
40016	284	123	2	15	143	1
40017	240	118	9	20	92	1
40018	180	78	22	9	67	4
40019	319	160	6	30	115	8
40020	217	116	9	20	70	2
40021	306	152	6	15	132	1
40022	223	108	6	9	99	1
40023	318	163	15	11	126	3
40024	196	99	11	17	66	3
40025	266	123	6	14	119	4
40026	288	128	7	14	139	0
40027	332	121	17	19	172	3
40028	287	116	12	14	144	1
40029	296	172	6	22	94	2
40030	330	187	10	25	106	2
40031	285	121	2	12	149	1
40032	281	134	5	21	120	1
40033	277	122	6	16	132	1
40034	257	133	7	16	100	1
40035	183	97	12	10	58	6
40036	245	125	9	13	97	1
40037	252	109	13	15	114	1
40038	290	114	3	22	150	1
40039	66	32	5	3	23	3
41001	328	138	13	65	108	4
41002	360	172	11	73	102	2
41003	307	124	6	42	130	5
41004	371	183	8	55	124	1
41005	307	156	12	42	95	2
41006	361	206	15	46	91	3
41007	398	199	6	67	120	6
41008	335	151	6	65	111	2
41009	306	135	2	63	106	0
41010	372	194	10	63	103	2
41011	362	169	14	69	107	3
41012	307	147	6	59	93	2
41013	360	150	6	103	99	2
41014	361	200	11	37	112	1
41015	380	165	15	72	125	3
41016	297	138	10	50	97	2
41017	315	159	8	47	98	3
41018	302	138	8	68	85	3
41019	379	188	18	57	116	0
41020	276	157	5	38	75	1
41021	321	180	10	53	76	2
41022	341	148	16	70	104	3
41023	322	165	11	59	86	1
41024	298	147	1	47	102	1
41025	141	71	8	20	40	2
41026	342	148	18	61	111	4
41027	199	110	3	28	57	1
41028	186	101	9	16	57	3
41029	152	85	6	18	42	1
41030	319	130	5	68	114	2
41031	398	245	9	47	95	2
41032	249	125	9	43	69	3
41033	296	131	12	77	76	0
41034	271	135	3	56	74	3
41035	363	161	17	65	114	6
41036	298	144	7	52	94	1
41037	337	155	9	63	108	2
41038	285	127	1	53	100	4
41039	340	160	12	51	114	3
41040	394	168	12	83	129	2
41041	342	168	8	65	101	0
41042	331	142	16	75	95	3
41043	327	151	6	54	113	3
41044	369	170	13	71	112	3
41045	277	106	14	58	96	3
41046	371	171	17	50	130	3
41047	312	140	9	60	99	4
42001	305	243	7	12	42	1
42002	180	122	5	15	37	1
42003	171	96	2	24	46	3
42004	312	230	9	19	51	3
42005	138	116	1	6	13	2
42006	366	236	10	30	85	5
42007	281	223	11	14	31	2
42008	269	193	10	18	45	3
42009	204	131	10	12	49	2
42010	187	132	8	14	30	3
42011	232	158	10	20	41	3
42012	198	155	3	9	30	1
42013	347	237	9	39	57	5
42014	152	118	2	3	29	0
42015	125	95	3	9	18	0
42016	202	140	10	15	37	0
42017	192	160	8	9	14	1
42018	153	110	7	7	27	2
42019	280	215	9	20	34	2
42020	136	104	3	11	18	0
42021	144	98	2	10	34	0
42022	111	88	5	8	10	0
42023	177	150	3	7	17	0
42024	243	186	8	13	33	3
42025	225	158	10	8	46	3
42026	232	188	4	10	28	2
42027	220	154	7	12	47	0
42028	327	214	7	15	84	7
42029	180	133	2	17	28	0
42030	274	205	5	15	49	0
42031	202	156	5	6	33	2
42032	146	117	0	6	22	1
42033	199	130	11	16	40	2
42034	265	225	5	9	24	2
42035	297	219	15	16	44	3
42036	203	145	5	15	35	3
42037	117	92	3	6	14	2
42038	180	133	7	6	34	0
42039	136	94	4	10	25	3
42040	190	152	6	6	25	1
42041	186	129	6	15	35	1
42042	236	178	5	16	35	2
43001	154	103	16	5	27	3
43002	245	178	6	12	48	1
43003	279	218	0	18	43	0
43004	235	177	6	23	29	0
43005	196	145	5	13	32	1
43006	156	102	5	13	36	0
43007	195	142	9	10	34	0
43008	220	160	11	7	42	0
43009	317	234	10	11	59	3
43010	251	177	6	20	46	2
43011	175	131	4	10	30	0
43012	163	123	2	14	24	0
43013	252	175	14	12	48	3
43014	287	218	8	10	51	0
43015	246	168	4	23	50	1
43016	218	150	7	20	41	0
43017	195	147	5	11	31	1
43018	274	197	4	20	52	1
43019	273	194	7	22	47	3
43020	309	213	6	12	75	3
43021	266	174	9	22	61	0
43022	137	94	4	11	27	1
43023	108	80	3	2	23	0
43024	197	138	12	11	30	6
43025	252	175	11	13	52	1
43026	216	155	3	14	42	2
43027	262	201	4	13	44	0
43028	290	227	4	17	37	5
43029	243	157	6	10	69	1
43030	227	166	5	21	35	0
43031	283	182	17	19	61	4
43032	285	214	4	12	54	1
43033	310	244	7	19	39	1
43034	206	147	5	10	42	2
43035	340	268	5	36	31	0
43036	83	42	2	10	25	4
43037	194	135	3	19	33	4
43038	272	225	5	8	32	2
43039	197	130	4	12	47	4
43040	141	78	5	8	43	7
43041	308	213	5	20	68	2
43042	223	150	4	11	54	4
43043	335	259	5	26	45	0
43044	255	186	6	15	47	1
43045	190	140	5	16	26	3
43046	111	76	5	4	26	0
44001	376	240	15	24	92	5
44002	203	123	5	18	57	0
44003	271	210	5	12	44	0
44004	323	248	4	14	57	0
44005	210	128	5	12	59	6
44006	217	131	6	16	63	1
44007	237	172	4	15	44	2
44008	268	158	7	22	80	1
44009	168	104	2	10	52	0
44010	162	98	6	12	46	0
44011	209	125	5	18	61	0
44012	265	170	4	15	75	1
44013	166	116	4	11	35	0
44014	174	107	2	7	57	1
44015	208	133	5	13	57	0
44016	228	133	4	12	75	4
44017	309	215	4	12	75	3
44018	199	135	7	12	44	1
44019	291	170	4	24	92	1
44020	146	78	6	16	46	0
44021	220	143	7	7	63	0
44022	290	190	8	23	67	2
44023	169	103	6	12	47	1
44024	288	192	3	14	78	1
44025	192	127	2	10	51	2
44026	206	131	4	8	62	1
44027	229	140	6	16	66	1
44028	249	160	5	19	64	1
44029	191	113	2	11	62	3
44030	206	129	6	12	58	1
44031	190	117	5	12	54	2
44032	258	161	3	13	79	2
44033	209	121	5	9	72	2
44034	267	168	7	13	78	1
44035	342	236	10	19	76	1
44036	196	125	3	5	62	1
44037	266	170	3	12	74	7
44038	191	124	2	14	48	3
44039	170	113	1	9	46	1
44040	230	149	6	8	67	0
44041	235	149	13	13	58	2
45001	209	89	5	21	93	1
45002	193	85	1	14	91	2
45003	231	113	4	18	95	1
45004	340	144	11	38	141	6
45005	316	168	12	23	108	5
45006	360	191	10	26	131	2
45007	394	190	13	38	153	0
45008	263	123	12	14	113	1
45009	266	115	5	30	114	2
45010	291	139	4	30	117	1
45011	187	76	12	17	81	1
45012	266	122	12	25	104	3
45013	292	131	7	47	105	2
45014	335	173	16	30	115	1
45015	425	203	6	49	161	6
45016	261	126	11	29	90	5
45017	312	160	10	39	97	6
45018	297	129	7	43	118	0
45019	163	90	4	18	48	3
45020	183	82	9	21	70	1
45021	299	150	6	35	107	1
45022	275	147	5	49	73	1
45023	293	157	8	44	83	1
45024	261	129	7	38	84	3
45025	214	99	6	42	67	0
45026	164	71	7	35	50	1
45027	266	110	10	44	99	3
45028	238	118	11	20	85	4
45029	193	96	6	30	51	10
45030	246	128	8	22	87	1
45031	245	129	10	23	81	2
45032	245	131	8	22	83	1
45033	175	88	6	12	67	2
45034	295	165	8	28	90	4
45035	338	153	18	55	107	5
45036	340	146	14	61	115	4
