Precinct	total_votes	votes|Jacob Meister	votes|Iris Y. Martinez	votes|Richard R. Boykin	votes|Michael M. Cabonargi
11034	86	21	23	10	32
11035	37	9	15	7	6
11036	81	14	31	6	30
11037	62	10	17	13	22
11038	123	35	57	9	22
12001	264	42	154	28	40
12002	184	27	117	15	25
12003	346	68	187	41	50
12004	281	57	144	30	50
12005	214	28	105	28	53
12006	246	29	142	20	55
12007	227	43	148	17	19
12008	258	33	146	20	59
12009	210	31	118	16	45
12010	293	40	206	17	30
12011	238	24	171	23	20
12012	224	34	141	14	35
12013	224	24	135	19	46
12014	195	14	146	11	24
12015	196	17	143	19	17
12016	175	17	130	10	18
12017	238	33	145	25	35
12018	165	25	113	16	11
12019	219	37	139	11	32
12020	239	37	148	19	35
12021	221	32	135	24	30
12022	232	34	159	13	26
12023	274	31	172	23	48
13001	191	14	78	11	88
13002	187	9	51	20	107
13003	174	17	110	16	31
13004	197	21	64	12	100
13005	235	23	136	23	53
13006	241	21	71	29	120
13007	159	10	86	9	54
13008	153	14	69	15	55
13009	197	18	118	14	47
13010	191	21	47	20	103
13011	251	37	82	23	109
13012	186	15	93	18	60
13013	222	14	115	20	73
13014	187	14	102	19	52
13015	312	20	181	20	91
13016	144	17	75	9	43
13017	171	14	79	13	65
13018	159	18	52	18	71
13019	267	25	130	35	77
13020	138	16	45	14	63
13021	222	28	51	26	117
13022	192	20	56	23	93
13023	148	9	81	10	48
13024	189	11	83	22	73
13025	209	15	111	12	71
13026	178	21	74	17	66
13027	193	10	79	20	84
13028	165	17	79	8	61
13029	163	7	92	12	52
13030	176	7	105	10	54
13031	205	15	61	26	103
13032	180	19	59	11	91
13033	215	19	73	17	106
13034	281	21	87	18	155
13035	234	12	120	12	90
13036	144	10	86	7	41
13037	216	22	87	29	78
13038	196	15	67	18	96
13039	195	16	92	11	76
13040	185	16	98	11	60
13041	247	19	123	32	73
13042	224	34	61	23	106
13043	202	17	77	16	92
13044	209	16	89	13	91
13045	252	16	75	25	136
13046	230	18	125	21	66
13047	250	15	105	23	107
13048	185	11	62	11	101
14001	250	20	93	27	110
14002	280	38	165	25	52
14003	175	24	108	11	32
14004	202	14	80	22	86
14005	293	17	192	25	59
14006	121	4	65	4	48
14007	258	18	174	20	46
14008	229	19	162	13	35
14009	285	28	134	27	96
14010	148	14	92	8	34
14011	155	13	81	5	56
14012	193	18	116	21	38
14013	192	22	114	18	38
