Precinct	total_votes	votes|Yes	votes|No
29027	403	386	17
29028	556	531	25
29029	627	523	104
29030	648	591	57
29031	557	459	98
29032	574	472	102
29033	323	305	18
29034	331	309	22
29035	317	298	19
29036	378	363	15
29037	426	396	30
29038	604	548	56
29039	566	497	69
29040	493	461	32
29041	381	359	22
29042	496	473	23
29043	586	550	36
29044	492	458	34
30001	601	546	55
30002	576	519	57
30003	431	393	38
30004	536	454	82
30005	417	382	35
30006	366	334	32
30007	583	519	64
30008	649	583	66
30009	489	450	39
30010	521	470	51
30011	536	498	38
30012	511	445	66
30013	544	490	54
30014	401	361	40
30015	487	437	50
30016	316	285	31
30017	559	507	52
30018	662	621	41
30019	555	514	41
30020	604	552	52
30021	408	356	52
30022	779	731	48
30023	667	621	46
30024	798	746	52
30025	793	745	48
30026	344	317	27
30027	398	353	45
30028	555	510	45
30029	385	368	17
30030	225	208	17
30031	350	316	34
30032	458	420	38
31001	350	329	21
31002	314	293	21
31003	363	333	30
31004	468	451	17
31005	377	351	26
31006	259	240	19
31007	543	505	38
31008	324	303	21
31009	388	356	32
31010	433	405	28
31011	315	281	34
31012	318	280	38
31013	398	374	24
31014	348	313	35
31015	374	335	39
31016	440	407	33
31017	345	316	29
31018	340	317	23
31019	346	316	30
31020	318	297	21
31021	330	297	33
31022	304	282	22
31023	395	354	41
31024	376	343	33
31025	347	319	28
31026	374	342	32
31027	417	374	43
31028	325	301	24
31029	348	320	28
31030	299	275	24
31031	311	288	23
31032	297	273	24
31033	356	324	32
31034	375	340	35
31035	438	413	25
31036	389	368	21
31037	343	307	36
31038	331	308	23
31039	420	395	25
31040	415	383	32
31041	342	324	18
32001	865	765	100
32002	790	694	96
32003	723	686	37
32004	657	585	72
32005	740	681	59
32006	848	770	78
32007	814	715	99
32008	915	784	131
32009	740	664	76
32010	830	729	101
32011	599	559	40
32012	476	445	31
32013	827	717	110
32014	727	670	57
32015	677	578	99
32016	686	623	63
32017	653	612	41
32018	708	610	98
32019	688	623	65
32020	626	593	33
32021	721	631	90
32022	798	754	44
32023	751	658	93
32024	651	545	106
32025	696	612	84
32026	690	644	46
32027	781	661	120
32028	665	620	45
32029	728	662	66
32030	746	622	124
32031	787	664	123
32032	810	724	86
32033	701	607	94
32034	800	724	76
32035	714	616	98
32036	765	681	84
32037	825	738	87
32038	737	653	84
32039	855	746	109
32040	733	626	107
32041	774	672	102
32042	700	591	109
32043	599	559	40
33001	711	677	34
33002	882	826	56
33003	945	879	66
33004	938	849	89
33005	700	623	77
33006	609	564	45
33007	717	684	33
33008	858	798	60
33009	790	699	91
33010	604	540	64
33011	704	639	65
33012	715	658	57
33013	668	619	49
33014	328	309	19
33015	710	673	37
33016	946	860	86
33017	718	652	66
33018	1003	942	61
33019	850	771	79
33020	873	833	40
33021	720	679	41
33022	657	577	80
33023	776	713	63
33024	840	775	65
33025	838	767	71
33026	525	493	32
33027	821	752	69
33028	633	607	26
34001	461	444	17
34002	379	355	24
34003	423	400	23
34004	323	307	16
34005	386	371	15
34006	485	464	21
34007	461	440	21
34008	360	348	12
34009	295	273	22
34010	343	325	18
34011	379	364	15
34012	464	446	18
34013	429	413	16
34014	342	324	18
34015	397	378	19
34016	381	366	15
34017	526	501	25
34018	298	279	19
34019	466	448	18
34020	464	447	17
34021	493	475	18
34022	423	408	15
34023	363	354	9
34024	369	356	13
34025	628	597	31
34026	487	467	20
34027	353	343	10
34028	274	261	13
34029	358	341	17
34030	402	388	14
34031	354	337	17
