Precinct	total_votes	votes|Patrick Daley Thompson (Joseph R. Bide	votes|Donna Hughes (Joseph R. Biden)	votes|Kyle R. Hastings (Joseph R. Biden)	votes|Lynn Barker (Joseph R. Biden)	votes|Kevin E. O'Gorman (Joseph R. Biden)	votes|Adriana D. Olson (Joseph R. Biden)	votes|Amalia Dejesus (Bernie Sanders)	votes|Deliah Odeh (Bernie Sanders)	votes|Maureen Sullivan (Bernie Sanders)	votes|Daniel Guzman (Bernie Sanders)	votes|Jose Requena (Bernie Sanders)	votes|Kyle Killacky (Bernie Sanders)	votes|Neel Jhobalia (Andrew Yang)	votes|Brian Pioppo (Andrew Yang)	votes|Kate Wu (Andrew Yang)	votes|Kathleen ''Kathy'' Shaevel (Elizabeth	votes|Adam Flores (Elizabeth Warren)	votes|Angela Robertson (Elizabeth Warren)	votes|Jose Luis Torrez (Elizabeth Warren)	votes|Tammy Georgiou (Elizabeth Warren)	votes|Christian D. Perry (Elizabeth Warren)
11019	1853	123	85	79	81	74	79	213	201	216	209	195	186	9	6	9	19	11	17	16	14	11
11020	998	130	94	86	84	88	80	65	57	64	64	59	53	10	8	9	8	12	6	12	5	4
11021	1846	272	155	161	144	160	138	116	111	142	124	105	104	17	13	15	15	13	10	13	9	9
11022	1869	156	105	107	99	105	99	175	167	195	171	163	158	18	18	23	19	18	15	25	20	13
11023	928	121	75	71	63	62	64	66	59	76	67	59	54	13	16	18	8	9	6	8	5	8
11024	1881	297	180	181	169	189	163	99	98	135	100	88	77	10	8	9	14	16	15	12	11	10
11025	1765	192	135	134	125	121	131	135	121	142	130	122	111	18	16	23	24	18	19	16	19	13
11026	1585	179	104	122	98	98	100	131	124	174	128	121	111	8	7	13	11	13	14	11	10	8
11027	506	35	26	25	28	25	23	46	45	49	48	46	37	5	6	11	8	9	8	8	11	7
11028	477	72	40	35	31	43	33	34	27	41	30	25	26	2	2	1	12	4	5	7	5	2
11029	1494	226	149	142	131	140	128	85	76	98	84	69	67	13	12	21	11	8	8	11	9	6
11031	1225	173	98	88	83	90	83	84	85	107	92	79	81	9	13	12	6	12	10	9	6	5
11032	629	89	48	46	45	49	44	42	44	56	45	41	41	6	9	7	4	2	6	2	1	2
11037	6	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
12001	1338	84	72	63	62	57	58	158	134	134	154	139	131	8	6	9	9	18	5	26	4	7
12003	1557	95	83	84	78	75	82	170	155	160	175	150	137	9	5	17	9	20	15	20	14	4
12004	1494	76	69	64	64	55	66	182	157	155	185	158	151	7	7	13	11	20	18	18	8	10
12005	437	32	26	25	25	26	27	41	35	38	37	34	36	10	8	8	3	9	5	9	2	1
12008	72	1	1	1	1	1	1	11	11	11	10	11	9	0	0	0	0	1	1	1	0	0
12009	1021	71	57	52	52	46	52	101	88	94	98	82	80	8	6	15	15	31	18	37	10	8
12019	1154	63	50	42	44	43	48	138	112	124	140	123	101	12	13	14	10	23	11	26	11	6
12023	1386	89	68	58	60	57	70	153	135	143	153	134	125	8	9	15	17	26	13	34	12	7
13001	968	97	74	88	75	89	68	75	62	73	65	60	60	8	11	11	9	9	9	11	9	5
13002	865	114	71	103	66	103	65	41	41	48	48	43	38	9	15	10	11	8	11	10	6	4
13003	932	58	54	47	50	46	55	100	92	91	107	94	83	5	7	6	4	11	4	13	2	3
13004	1016	97	75	85	69	86	80	78	71	80	81	73	63	8	8	9	11	11	10	10	5	6
13005	1140	89	67	70	61	61	64	126	105	107	132	111	92	6	5	9	4	8	2	16	3	2
13006	1180	143	100	130	91	126	91	77	63	65	76	73	61	12	10	14	8	13	7	13	2	5
13007	769	67	42	62	35	62	38	84	71	66	80	63	59	4	4	4	4	8	4	6	5	1
13008	762	79	56	67	47	60	52	69	56	52	69	56	55	3	3	3	6	8	3	10	4	4
13009	980	60	46	52	44	51	49	122	98	95	118	102	91	5	6	9	4	9	4	10	3	2
13010	922	97	72	89	67	86	64	60	55	70	63	63	60	6	8	9	10	11	4	11	8	9
13011	1237	125	92	109	84	108	76	106	88	91	101	85	77	10	9	15	10	12	11	16	7	5
13012	929	66	56	60	52	62	57	89	79	92	101	85	80	4	6	5	7	6	6	8	6	2
13013	1073	97	64	93	65	91	68	102	71	80	102	93	69	9	7	11	2	16	5	21	5	2
13014	920	67	46	62	41	52	45	94	84	88	106	88	74	6	5	11	7	11	8	12	6	7
13015	1482	117	57	96	44	95	46	176	149	143	180	154	132	10	8	7	7	22	6	22	8	3
13016	686	49	36	45	33	47	35	69	60	69	82	62	59	2	1	2	5	7	7	10	2	4
13017	847	79	47	59	40	62	44	71	68	73	79	70	64	11	11	17	10	11	10	9	6	6
13018	780	101	73	85	79	89	71	45	37	40	41	35	31	6	6	9	7	5	2	9	3	6
13020	698	77	59	65	54	65	49	51	41	51	45	45	46	6	5	11	6	7	5	3	4	3
13021	1090	135	105	119	89	119	89	57	48	67	61	48	57	10	10	13	12	13	10	9	12	7
13022	959	110	76	97	73	93	68	64	55	68	65	58	55	9	8	13	5	9	8	12	6	7
13023	736	66	35	59	36	57	33	75	62	67	76	64	59	5	7	4	3	10	2	13	2	1
13024	928	93	55	72	53	75	48	84	67	80	93	74	68	5	7	5	8	12	4	14	4	7
13025	1094	93	62	79	61	74	57	108	93	97	108	96	85	8	6	10	10	12	8	14	7	6
13026	871	93	53	71	41	72	43	76	64	75	79	71	66	6	4	7	8	11	10	10	6	5
13027	922	93	63	77	61	76	61	76	67	71	76	65	58	3	8	7	9	11	12	14	7	7
13028	849	68	44	55	38	53	45	91	78	84	89	83	73	3	3	5	5	13	3	10	3	3
13029	803	72	51	58	49	59	52	77	63	69	82	67	64	1	1	1	4	8	6	13	4	2
13030	861	63	41	58	31	56	37	98	76	85	101	90	78	6	1	5	3	10	5	11	2	4
13031	1054	136	91	117	83	120	90	64	55	63	58	54	45	9	13	12	6	13	8	10	6	1
13032	916	113	87	99	83	98	84	53	44	56	49	42	41	4	4	8	5	10	8	15	8	5
13033	1071	125	74	103	65	101	66	82	73	83	89	77	69	5	4	5	10	10	8	13	4	5
13034	1248	173	46	156	40	154	40	107	79	84	111	92	71	8	8	13	6	20	5	23	6	6
13035	1175	99	56	86	46	88	50	127	99	109	137	107	101	7	6	6	4	10	10	18	4	5
13036	678	57	32	45	29	45	26	72	57	61	78	60	56	2	3	4	6	15	7	17	5	1
13037	1104	125	90	109	97	104	90	77	66	75	77	73	58	8	7	4	4	9	10	12	3	6
13038	927	93	64	77	60	81	54	78	77	75	76	70	68	7	8	5	8	7	5	6	3	5
13039	1000	91	57	83	56	87	64	94	74	86	90	79	69	5	3	6	5	15	10	19	2	5
13040	912	85	56	71	45	70	47	70	69	72	87	72	66	9	11	7	9	15	11	19	11	10
13041	982	82	54	63	44	62	50	103	85	90	106	96	78	4	5	9	11	7	9	14	6	4
