Precinct	total_votes	votes|No Candidate
New Trier 19	0	0
New Trier 20	0	0
New Trier 22	0	0
New Trier 23	0	0
New Trier 25	0	0
New Trier 29	0	0
New Trier 39	0	0
New Trier 40	0	0
New Trier 41	0	0
Niles 3	0	0
Niles 11	0	0
Northfield 1	0	0
Northfield 2	0	0
Northfield 3	0	0
Northfield 4	0	0
Northfield 5	0	0
Northfield 6	0	0
Northfield 7	0	0
Northfield 8	0	0
Northfield 9	0	0
Northfield 10	0	0
Northfield 11	0	0
Northfield 12	0	0
Northfield 13	0	0
Northfield 14	0	0
Northfield 15	0	0
Northfield 16	0	0
Northfield 17	0	0
Northfield 18	0	0
Northfield 19	0	0
Northfield 20	0	0
Northfield 21	0	0
Northfield 22	0	0
Northfield 23	0	0
Northfield 24	0	0
Northfield 25	0	0
Northfield 26	0	0
Northfield 27	0	0
Northfield 28	0	0
Northfield 29	0	0
Northfield 30	0	0
Northfield 31	0	0
Northfield 32	0	0
Northfield 33	0	0
Northfield 34	0	0
Northfield 35	0	0
Northfield 36	0	0
Northfield 37	0	0
Northfield 38	0	0
Northfield 39	0	0
Northfield 40	0	0
Northfield 41	0	0
Northfield 42	0	0
Northfield 43	0	0
Northfield 44	0	0
Northfield 45	0	0
Northfield 46	0	0
Northfield 47	0	0
Northfield 48	0	0
Northfield 49	0	0
Northfield 50	0	0
Northfield 51	0	0
Northfield 52	0	0
Northfield 53	0	0
Northfield 54	0	0
Northfield 55	0	0
Northfield 56	0	0
Northfield 57	0	0
Northfield 58	0	0
Northfield 59	0	0
Northfield 60	0	0
Northfield 61	0	0
Northfield 62	0	0
Norwood Park 3	0	0
Norwood Park 10	0	0
Norwood Park 11	0	0
Norwood Park 14	0	0
Orland 1	0	0
Orland 2	0	0
Orland 3	0	0
Orland 4	0	0
Orland 5	0	0
Orland 6	0	0
Orland 7	0	0
Orland 8	0	0
Orland 9	0	0
Orland 10	0	0
Orland 11	0	0
Orland 12	0	0
Orland 13	0	0
Orland 14	0	0
Orland 15	0	0
Orland 16	0	0
Orland 17	0	0
Orland 18	0	0
Orland 19	0	0
Orland 20	0	0
Orland 21	0	0
Orland 22	0	0
Orland 23	0	0
Orland 24	0	0
Orland 25	0	0
Orland 26	0	0
Orland 27	0	0
Orland 28	0	0
Orland 29	0	0
Orland 30	0	0
Orland 31	0	0
Orland 32	0	0
Orland 33	0	0
Orland 34	0	0
Orland 35	0	0
Orland 36	0	0
Orland 37	0	0
Orland 38	0	0
Orland 39	0	0
Orland 40	0	0
Orland 41	0	0
Orland 42	0	0
Orland 43	0	0
Orland 44	0	0
Orland 45	0	0
Orland 46	0	0
Orland 47	0	0
Orland 48	0	0
Orland 49	0	0
Orland 50	0	0
Orland 51	0	0
Orland 52	0	0
Orland 53	0	0
Orland 54	0	0
