Precinct	total_votes	votes|Herb Schumann	votes|Martin J. Durkan	votes|Christopher Anthony
17040	433	5	396	32
17041	511	7	480	24
18001	419	22	367	30
18002	434	54	341	39
18003	384	79	265	40
18004	449	17	403	29
18005	327	8	295	24
18006	405	108	268	29
18007	461	46	381	34
18008	438	16	396	26
18009	415	28	364	23
18010	530	15	481	34
18011	363	43	296	24
18012	418	15	383	20
18013	469	18	421	30
18014	440	11	400	29
18015	500	55	390	55
18016	406	18	369	19
18017	463	28	401	34
18018	353	12	328	13
18019	409	8	381	20
18020	357	7	330	20
18021	527	32	463	32
18022	465	17	426	22
18023	417	21	364	32
18024	423	65	319	39
18025	463	80	342	41
18026	494	20	445	29
18027	364	27	309	28
18028	419	89	294	36
18029	465	41	392	32
18030	490	108	341	41
18031	471	15	432	24
18032	464	5	431	28
18033	351	3	327	21
18034	492	27	431	34
18035	462	16	419	27
18036	471	48	395	28
18037	481	15	443	23
18038	395	9	364	22
18039	393	11	351	31
18040	512	59	400	53
18041	495	19	443	33
18042	416	15	368	33
18043	350	69	248	33
18044	385	91	266	28
18045	443	32	385	26
18046	483	72	361	50
18047	378	17	332	29
18048	362	9	329	24
18049	303	11	273	19
18050	369	11	341	17
19001	408	137	236	35
19002	586	79	462	45
19003	373	200	152	21
19004	531	237	253	41
19005	485	108	323	54
19006	477	189	245	43
19007	437	122	285	30
19008	522	257	235	30
19009	359	136	196	27
19010	546	132	349	65
19011	475	230	222	23
19012	392	188	172	32
19013	563	26	489	48
19014	508	107	348	53
19015	614	268	285	61
19016	473	197	252	24
19017	425	140	246	39
19018	425	117	263	45
19019	575	130	372	73
19020	399	38	322	39
19021	499	219	239	41
19022	478	132	290	56
19023	470	183	254	33
19024	339	166	154	19
19025	434	151	246	37
19026	475	171	258	46
19027	470	50	349	71
19028	543	28	458	57
19029	507	227	232	48
19030	437	192	204	41
19031	415	140	240	35
19032	401	126	224	51
19033	483	221	229	33
19034	439	147	249	43
19035	410	109	263	38
19036	667	67	526	74
19037	449	56	335	58
19038	425	55	319	51
19039	219	19	191	9
19040	491	113	315	63
19041	439	193	217	29
19042	360	75	234	51
19043	635	32	537	66
19044	526	233	261	32
19045	458	174	248	36
19046	463	187	237	39
19047	663	84	530	49
19048	594	18	543	33
19049	553	56	433	64
19050	393	109	241	43
19051	504	145	315	44
19052	540	233	250	57
19053	430	116	253	61
19054	379	190	157	32
19055	400	194	183	23
19056	486	131	311	44
19057	397	72	268	57
20001	489	9	453	27
20002	206	5	194	7
20003	377	8	341	28
20004	239	20	198	21
20005	477	16	425	36
20006	248	4	218	26
20007	502	17	448	37
20008	416	7	393	16
20009	599	13	534	52
20010	400	4	370	26
20011	596	9	563	24
20012	398	8	375	15
20013	530	12	489	29
20014	248	7	222	19
20015	486	28	395	63
20016	496	26	422	48
20017	303	17	269	17
20018	375	7	341	27
20019	496	10	452	34
20020	396	22	332	42
20021	395	9	365	21
20022	460	13	392	55
20023	567	8	523	36
20024	468	24	393	51
20025	386	16	344	26
20026	471	25	394	52
20027	268	6	248	14
20028	295	9	264	22
20029	537	19	484	34
20030	241	7	221	13
20031	559	15	508	36
20032	470	10	436	24
20033	334	7	306	21
20034	655	49	522	84
20035	449	8	429	12
20036	183	3	175	5
20037	174	5	164	5
20038	196	6	175	15
20039	58	1	51	6
21001	444	8	402	34
21002	376	5	353	18
21003	488	5	458	25
21004	451	2	426	23
21005	492	16	445	31
21006	404	7	380	17
21007	455	6	421	28
21008	490	10	453	27
21009	471	9	441	21
21010	423	6	383	34
21011	419	7	396	16
21012	429	7	399	23
21013	473	12	438	23
21014	515	12	472	31
21015	426	5	398	23
21016	417	6	393	18
21017	423	9	384	30
21018	508	10	482	16
21019	470	8	430	32
21020	419	8	388	23
21021	383	12	351	20
21022	418	6	380	32
21023	417	8	390	19
21024	442	7	412	23
21025	396	6	361	29
21026	490	13	448	29
21027	422	6	390	26
21028	571	14	523	34
21029	487	9	450	28
21030	376	10	341	25
21031	301	7	267	27
21032	441	3	420	18
