Precinct	total_votes	votes|Dan Patlak	votes|Marty Stack
Palatine 1	478	263	215
Palatine 2	829	534	295
Palatine 3	579	446	133
Palatine 4	500	166	334
Palatine 5	859	461	398
Palatine 6	724	407	317
Palatine 7	677	396	281
Palatine 8	700	394	306
Palatine 9	620	427	193
Palatine 10	801	607	194
Palatine 11	580	316	264
Palatine 12	602	425	177
Palatine 13	562	303	259
Palatine 14	582	344	238
Palatine 15	724	425	299
Palatine 16	561	199	362
Palatine 17	618	370	248
Palatine 18	439	267	172
Palatine 19	682	461	221
Palatine 20	569	227	342
Palatine 21	810	431	379
Palatine 22	640	390	250
Palatine 23	479	376	103
Palatine 24	773	422	351
Palatine 25	517	335	182
Palatine 26	813	489	324
Palatine 27	508	229	279
Palatine 28	457	286	171
Palatine 29	828	484	344
Palatine 30	496	264	232
Palatine 31	461	328	133
Palatine 32	640	433	207
Palatine 33	431	192	239
Palatine 34	839	556	283
Palatine 35	557	337	220
Palatine 36	587	353	234
Palatine 37	733	399	334
Palatine 38	608	436	172
Palatine 39	930	532	398
Palatine 40	958	587	371
Palatine 41	878	559	319
Palatine 42	785	472	313
Palatine 43	554	354	200
Palatine 44	857	666	191
Palatine 45	518	365	153
Palatine 46	750	453	297
Palatine 47	672	400	272
Palatine 48	560	401	159
Palatine 49	489	348	141
Palatine 50	947	598	349
Palatine 51	373	197	176
Palatine 52	639	462	177
Palatine 53	518	307	211
Palatine 54	810	507	303
Palatine 55	480	306	174
Palatine 56	717	428	289
Palatine 57	869	482	387
Palatine 58	619	289	330
Palatine 59	891	513	378
Palatine 60	648	247	401
Palatine 61	434	191	243
Palatine 62	491	193	298
Palatine 63	655	374	281
Palatine 64	653	316	337
Palatine 65	545	334	211
Palatine 66	816	290	526
Palatine 67	608	478	130
Palatine 68	586	400	186
Palatine 69	618	358	260
Palos 1	428	296	132
Palos 2	469	327	142
Palos 3	493	303	190
Palos 4	483	283	200
Palos 5	450	263	187
Palos 6	388	179	209
Palos 7	642	328	314
Palos 8	281	167	114
Palos 9	458	336	122
Palos 10	782	554	228
Palos 11	635	441	194
Palos 12	569	273	296
Palos 13	645	469	176
Palos 14	375	201	174
Palos 15	607	410	197
Palos 16	796	538	258
Palos 17	781	383	398
Palos 18	671	357	314
Palos 19	725	421	304
Palos 20	679	360	319
Palos 21	402	210	192
Palos 22	101	56	45
Palos 23	426	196	230
Palos 24	414	299	115
Palos 25	468	80	388
Palos 26	376	197	179
Palos 27	676	343	333
Palos 28	539	99	440
Palos 29	647	451	196
Palos 30	697	402	295
Palos 31	717	420	297
Palos 32	317	182	135
Palos 33	688	459	229
Palos 34	449	263	186
Palos 35	831	465	366
Palos 36	716	408	308
Palos 37	764	545	219
Palos 38	591	329	262
Palos 39	768	493	275
Proviso 3	698	158	540
Proviso 6	476	233	243
Proviso 7	139	52	87
Proviso 13	395	107	288
Proviso 16	562	139	423
Proviso 21	471	218	253
Proviso 23	281	152	129
Proviso 24	878	510	368
Proviso 25	726	382	344
Proviso 26	717	358	359
Proviso 27	697	286	411
Proviso 28	675	347	328
Proviso 29	802	360	442
Proviso 30	645	130	515
Proviso 32	748	333	415
Proviso 35	758	441	317
Proviso 39	521	107	414
Proviso 46	168	95	73
Proviso 49	453	71	382
Proviso 50	910	268	642
Proviso 51	696	284	412
Proviso 54	964	438	526
Proviso 55	588	303	285
Proviso 57	541	227	314
Proviso 59	516	131	385
Proviso 60	449	86	363
Proviso 63	697	340	357
Proviso 70	516	290	226
Proviso 71	1,039	312	727
Proviso 75	656	277	379
Proviso 77	397	168	229
Proviso 81	259	60	199
Proviso 84	486	289	197
Proviso 85	718	322	396
Proviso 89	489	215	274
Proviso 90	981	403	578
Proviso 91	516	114	402
Proviso 92	790	332	458
Proviso 93	433	134	299
Proviso 95	246	83	163
Proviso 96	406	205	201
Proviso 97	872	474	398
Proviso 101	557	223	334
Proviso 102	742	285	457
Rich 1	3	3	0
Rich 4	557	49	508
Rich 7	576	184	392
Rich 9	346	38	308
Rich 11	618	157	461
Rich 14	575	151	424
Rich 16	554	120	434
Rich 17	612	148	464
Rich 19	434	217	217
Rich 20	1,027	622	405
Rich 23	435	34	401
Rich 29	630	240	390
