Precinct	total_votes	votes|Leslie Geissler Munger	votes|Susana Mendoza	votes|Claire Ball	votes|Tim Curtin
10033	355	38	294	12	11
10034	358	24	319	13	2
10035	491	152	308	11	20
10036	107	10	93	4	0
11001	531	133	337	31	30
11002	80	14	60	2	4
11003	497	56	370	26	45
11004	460	86	324	15	35
11005	672	111	475	39	47
11006	770	204	508	32	26
11007	885	145	688	24	28
11008	494	96	359	11	28
11009	448	101	303	15	29
11010	452	106	310	19	17
11011	573	180	345	23	25
11012	687	216	408	27	36
11013	632	223	364	24	21
11014	267	109	142	9	7
11015	188	39	135	5	9
11016	379	136	210	12	21
11017	605	127	409	29	40
11018	423	112	284	14	13
11019	668	136	454	31	47
11020	361	97	238	14	12
11021	644	177	417	20	30
11022	648	175	419	20	34
11023	296	97	179	13	7
11024	569	149	387	19	14
11025	600	169	389	12	30
11026	602	172	368	24	38
11027	201	42	143	8	8
11028	257	78	164	7	8
11029	587	191	360	21	15
11030	264	81	165	12	6
11031	510	179	296	19	16
11032	269	89	161	12	7
11033	619	167	404	24	24
11034	166	55	97	5	9
11035	112	30	77	1	4
11036	238	57	169	6	6
11037	158	39	107	7	5
11038	258	33	191	15	19
12001	488	65	371	26	26
12002	409	49	329	16	15
12003	600	102	432	30	36
12004	485	83	351	22	29
12005	415	86	287	22	20
12006	484	70	375	16	23
12007	490	29	408	15	38
12008	497	83	361	27	26
12009	411	71	303	12	25
12010	552	27	458	23	44
12011	496	40	407	23	26
12012	507	78	387	17	25
12013	510	62	398	19	31
12014	454	27	395	14	18
12015	440	41	361	21	17
12016	473	43	392	21	17
12017	534	74	419	15	26
12018	438	41	349	22	26
12019	487	73	378	19	17
12020	597	65	492	16	24
12021	512	67	401	22	22
12022	460	23	394	13	30
12023	488	86	355	25	22
13001	353	93	239	10	11
13002	343	129	195	12	7
13003	339	49	268	8	14
13004	438	145	267	10	16
13005	492	83	387	11	11
13006	384	153	213	9	9
13007	352	45	290	10	7
13008	334	128	188	7	11
13009	431	83	330	5	13
13010	359	172	167	10	10
13011	428	121	282	16	9
13012	380	77	277	11	15
13013	395	60	315	9	11
13014	423	76	320	17	10
13015	631	81	507	27	16
13016	320	41	259	5	15
13017	396	120	242	20	14
13018	342	128	188	12	14
13019	521	34	461	15	11
13020	273	103	156	5	9
13021	464	189	253	12	10
13022	441	167	247	17	10
13023	360	53	281	17	9
13024	397	74	303	11	9
13025	435	86	321	10	18
13026	440	96	311	14	19
13027	387	78	273	24	12
13028	324	46	257	13	8
13029	369	76	282	7	4
13030	331	25	287	8	11
13031	437	152	258	14	13
13032	356	132	206	8	10
13033	376	134	213	9	20
13034	465	45	396	17	7
13035	371	46	303	9	13
13036	265	34	215	6	10
13037	464	64	371	15	14
13038	361	135	206	10	10
13039	426	61	333	15	17
13040	342	66	261	8	7
13041	485	39	418	14	14
13042	395	174	198	10	13
13043	429	77	316	13	23
13044	452	51	381	11	9
13045	457	101	325	16	15
13046	527	54	449	10	14
13047	496	51	424	14	7
13048	367	120	221	12	14
14001	495	218	247	12	18
14002	604	104	455	17	28
14003	521	38	452	16	15
14004	438	176	232	15	15
14005	661	52	578	17	14
14006	236	18	204	4	10
14007	570	70	457	23	20
14008	544	86	414	18	26
14009	521	171	312	19	19
14010	326	66	233	10	17
14011	291	16	258	7	10
14012	481	96	364	9	12
14013	380	45	317	11	7
14014	467	36	403	16	12
14015	532	33	472	14	13
14016	341	50	256	19	16
14017	395	42	325	11	17
14018	192	55	132	1	4
14019	467	40	393	18	16
14020	329	48	260	10	11
14021	437	48	360	10	19
14022	598	140	394	33	31
14023	363	95	239	21	8
14024	521	208	272	22	19
14025	297	32	242	12	11
14026	351	32	290	13	16
14027	469	71	357	16	25
14028	354	55	280	10	9
14029	411	31	356	11	13
14030	270	13	238	9	10
14031	269	24	230	5	10
15001	451	36	377	20	18
15002	327	14	293	9	11
15003	345	17	313	7	8
15004	457	41	372	20	24
15005	451	50	377	14	10
15006	509	67	408	22	12
15007	357	9	330	11	7
15008	418	35	350	14	19
15009	588	62	480	24	22
15010	641	101	489	21	30
15011	561	52	466	20	23
15012	554	68	447	23	16
15013	447	35	378	19	15
15014	432	33	369	13	17
15015	421	35	363	12	11
15016	494	42	426	12	14
15017	337	21	304	8	4
15018	358	12	323	16	7
15019	404	37	331	20	16
15020	303	12	278	9	4
15021	308	11	285	7	5
15022	388	10	364	9	5
15023	394	19	358	13	4
15024	384	11	353	14	6
16001	520	66	425	15	14
16002	441	20	401	8	12
16003	364	19	327	9	9
16004	398	16	359	8	15
16005	350	9	316	17	8
16006	397	19	356	15	7
16007	388	22	338	14	14
16008	302	14	277	7	4
16009	442	23	383	14	22
16010	387	25	340	15	7
16011	421	12	388	10	11
16012	367	17	320	14	16
16013	464	24	411	12	17
16014	380	16	336	16	12
16015	434	22	387	14	11
16016	394	23	344	17	10
16017	492	28	435	12	17
16018	393	20	348	9	16
16019	387	26	337	14	10
16020	365	10	336	14	5
16021	350	13	312	13	12
16022	405	15	369	13	8
16023	457	36	390	13	18
16024	242	15	205	11	11
16025	431	22	382	9	18
16026	357	14	319	17	7
16027	376	33	321	15	7
16028	372	12	337	10	13
16029	386	16	356	9	5
16030	386	18	349	10	9
16031	411	31	362	9	9
16032	487	33	431	10	13
