Precinct	total_votes	votes|Donald J. Trump & Michael R. Pence	votes|Hillary R. Clinton & Timothy M. Kaine	votes|Gary Johnson & Bill Weld	votes|Jill Stein & Ajamu Baraka
15021	317	3	310	0	4
15022	416	5	404	1	6
15023	409	7	395	3	4
15024	396	3	390	3	0
16001	538	45	474	10	9
16002	442	11	421	6	4
16003	384	8	374	2	0
16004	420	6	404	3	7
16005	357	8	345	1	3
16006	414	7	404	2	1
16007	401	10	381	4	6
16008	332	5	323	2	2
16009	460	13	437	5	5
16010	404	7	395	1	1
16011	440	16	421	1	2
16012	378	10	358	6	4
16013	488	12	464	7	5
16014	396	9	378	5	4
16015	446	4	437	2	3
16016	409	1	399	5	4
16017	513	24	484	3	2
16018	445	20	414	5	6
16019	409	10	394	2	3
16020	374	7	362	1	4
16021	375	8	362	1	4
16022	408	8	393	5	2
16023	479	23	442	6	8
16024	256	4	248	2	2
16025	456	9	431	4	12
16026	383	7	371	2	3
16027	411	5	400	3	3
16028	387	2	383	2	0
16029	414	3	411	0	0
16030	392	5	385	0	2
16031	422	3	409	4	6
16032	496	23	458	9	6
16033	400	5	388	2	5
16034	394	5	385	3	1
16035	512	15	486	6	5
16036	327	5	320	1	1
17001	447	36	396	7	8
17002	461	5	448	3	5
17003	506	9	490	2	5
17004	620	8	602	2	8
17005	388	9	373	2	4
17006	467	15	448	2	2
17007	443	18	417	2	6
17008	479	12	464	3	0
17009	375	2	368	4	1
17010	615	20	585	5	5
17011	414	7	399	5	3
17012	647	20	598	11	18
17013	449	6	440	3	0
17014	530	23	499	1	7
17015	557	11	531	8	7
17016	485	16	463	5	1
17017	452	19	427	2	4
17018	481	1	472	3	5
17019	331	5	326	0	0
17020	557	3	547	2	5
17021	513	8	493	6	6
17022	439	8	426	2	3
17023	319	5	310	2	2
17024	523	3	509	7	4
17025	384	5	375	2	2
17026	550	8	537	0	5
17027	472	11	459	1	1
17028	400	8	390	0	2
17029	479	8	466	3	2
17030	431	37	382	3	9
17031	341	2	335	1	3
17032	426	4	422	0	0
17033	363	5	354	1	3
17034	372	5	361	3	3
17035	408	4	398	4	2
17036	492	5	485	0	2
17037	407	8	396	0	3
17038	524	6	508	5	5
17039	488	5	479	2	2
17040	470	4	464	0	2
17041	540	6	526	2	6
18001	448	19	416	4	9
18002	472	62	398	4	8
18003	416	112	292	8	4
18004	484	17	456	5	6
18005	356	5	346	2	3
18006	424	114	291	9	10
18007	508	51	448	5	4
18008	468	16	446	4	2
18009	444	25	410	3	6
18010	568	15	544	3	6
18011	402	48	346	5	3
18012	451	18	426	2	5
18013	502	22	465	11	4
18014	471	11	452	4	4
18015	545	77	455	6	7
18016	435	14	414	3	4
18017	477	28	434	3	12
18018	377	10	362	4	1
18019	458	15	434	5	4
18020	394	7	380	2	5
18021	549	25	509	7	8
18022	496	13	478	2	3
18023	454	24	419	5	6
18024	470	90	358	12	10
18025	519	100	404	9	6
18026	527	20	503	2	2
18027	388	20	363	5	0
18028	459	127	318	10	4
18029	502	56	440	2	4
18030	548	126	398	11	13
18031	482	14	462	4	2
18032	479	12	461	3	3
18033	365	5	358	1	1
