Precinct	total_votes	votes|Susana Mendoza
48044	441	441
48045	292	292
48046	221	221
49001	250	250
49002	227	227
49003	379	379
49004	439	439
49005	346	346
49006	335	335
49007	366	366
49008	270	270
49009	347	347
49010	333	333
49011	404	404
49012	493	493
49013	401	401
49014	283	283
49015	261	261
49016	342	342
49017	236	236
49018	461	461
49019	309	309
49020	536	536
49021	215	215
49022	363	363
49023	450	450
49024	280	280
49025	477	477
49026	379	379
49027	417	417
49028	456	456
49029	445	445
49030	359	359
49031	266	266
49032	364	364
49033	324	324
50001	151	151
50002	126	126
50003	180	180
50004	235	235
50005	107	107
50006	264	264
50007	312	312
50008	239	239
50009	197	197
50010	172	172
50011	82	82
50012	86	86
50013	309	309
50014	61	61
50015	314	314
50016	60	60
50017	170	170
50018	27	27
50019	157	157
50020	254	254
50021	202	202
50022	143	143
50023	136	136
50024	119	119
50025	133	133
50026	226	226
50027	63	63
50028	252	252
50029	186	186
50030	167	167
50031	291	291
50032	258	258
50033	110	110
50034	281	281
50035	315	315
50036	224	224
50037	255	255
50038	123	123
50039	132	132
50040	123	123
