Precinct	Register Voters	Ballots Cast	Turnout %
02045	842	353	41.92
02046	487	187	38.40
03001	1122	587	52.32
03002	807	596	73.85
03003	824	450	54.61
03004	868	491	56.57
03005	721	342	47.43
03006	888	379	42.68
03007	625	341	54.56
03008	864	466	53.94
03009	805	466	57.89
03010	671	262	39.05
03011	841	484	57.55
03012	759	495	65.22
03013	827	424	51.27
03014	789	411	52.09
03015	838	488	58.23
03016	897	454	50.61
03017	930	455	48.92
03018	1298	684	52.70
03019	839	360	42.91
03020	914	510	55.80
03021	838	403	48.09
03022	1000	471	47.10
03023	802	445	55.49
03024	822	426	51.82
03025	1150	501	43.57
03026	838	470	56.09
03027	902	367	40.69
03028	667	318	47.68
03029	1022	496	48.53
03030	814	449	55.16
03031	941	556	59.09
03032	891	441	49.49
03033	946	410	43.34
03034	953	476	49.95
03035	605	222	36.69
03036	672	279	41.52
03037	847	403	47.58
03038	674	394	58.46
03039	920	405	44.02
03040	888	497	55.97
03041	829	388	46.80
04001	878	540	61.50
04002	862	435	50.46
04003	843	471	55.87
04004	1071	657	61.34
04005	769	491	63.85
04006	936	570	60.90
04007	914	556	60.83
04008	869	541	62.26
04009	827	575	69.53
04010	898	555	61.80
04011	950	535	56.32
04012	949	527	55.53
04013	697	388	55.67
04014	799	478	59.82
04015	997	606	60.78
04016	913	507	55.53
04017	837	509	60.81
04018	815	456	55.95
04019	928	516	55.60
04020	701	397	56.63
04021	984	520	52.85
04022	793	483	60.91
04023	998	616	61.72
04024	815	448	54.97
04025	790	426	53.92
04026	853	484	56.74
04027	871	526	60.39
04028	723	416	57.54
04029	836	462	55.26
04030	1162	651	56.02
04031	681	491	72.10
04032	910	505	55.49
04033	899	528	58.73
04034	747	411	55.02
04035	996	583	58.53
04036	887	527	59.41
04037	988	450	45.55
04038	791	518	65.49
05001	852	397	46.60
05002	810	393	48.52
05003	692	483	69.80
05004	846	525	62.06
05005	825	462	56.00
05006	775	392	50.58
05007	676	439	64.94
05008	703	457	65.01
05009	821	540	65.77
05010	791	386	48.80
05011	723	473	65.42
05012	808	363	44.93
05013	754	388	51.46
05014	613	403	65.74
05015	717	437	60.95
05016	875	438	50.06
05017	823	449	54.56
05018	638	409	64.11
05019	685	436	63.65
05020	780	496	63.59
05021	730	479	65.62
05022	715	480	67.13
05023	1138	711	62.48
05024	808	509	63.00
05025	797	428	53.70
05026	813	446	54.86
05027	676	463	68.49
05028	801	477	59.55
05029	928	486	52.37
05030	816	352	43.14
05031	776	388	50.00
05032	770	491	63.77
05033	871	484	55.57
05034	809	551	68.11
05035	709	478	67.42
05036	709	361	50.92
05037	712	436	61.24
05038	869	464	53.39
05039	621	353	56.84
05040	687	358	52.11
05041	345	245	71.01
06001	705	420	59.57
06002	721	407	56.45
06003	679	416	61.27
06004	652	318	48.77
06005	781	288	36.88
06006	675	397	58.81
06007	741	381	51.42
06008	672	420	62.50
06009	867	418	48.21
06010	701	293	41.80
06011	808	412	50.99
06012	833	343	41.18
06013	592	302	51.01
06014	779	362	46.47
06015	981	398	40.57
06016	715	428	59.86
06017	733	330	45.02
06018	698	294	42.12
06019	723	383	52.97
06020	705	271	38.44
06021	637	272	42.70
06022	690	286	41.45
06023	751	287	38.22
06024	620	307	49.52
06025	684	261	38.16
06026	807	346	42.87
06027	695	257	36.98
06028	682	233	34.16
06029	695	424	61.01
06030	812	353	43.47
06031	674	392	58.16
06032	709	372	52.47
06033	746	424	56.84
06034	715	404	56.50
06035	663	367	55.35
06036	675	440	65.19
06037	667	406	60.87
06038	705	424	60.14
06039	803	387	48.19
06040	690	348	50.43
06041	721	431	59.78
06042	839	413	49.23
06043	730	345	47.26
06044	807	404	50.06
06045	750	431	57.47
06046	565	273	48.32
06047	666	341	51.20
06048	757	414	54.69
07001	735	355	48.30
07002	901	377	41.84
07003	644	364	56.52
07004	675	394	58.37
07005	697	303	43.47
07006	808	454	56.19
07007	834	378	45.32
07008	702	321	45.73
07009	1047	561	53.58
07010	713	396	55.54
07011	860	443	51.51
07012	810	390	48.15
07013	528	233	44.13
07014	846	387	45.74
07015	739	382	51.69
07016	834	337	40.41
07017	714	338	47.34
07018	791	303	38.31
07019	734	378	51.50
07020	707	287	40.59
07021	768	297	38.67
07022	744	285	38.31
07023	653	393	60.18
07024	749	356	47.53
07025	804	358	44.53
07026	560	326	58.21
07027	641	311	48.52
07028	644	266	41.30
07029	659	310	47.04
07030	781	289	37.00
07031	601	247	41.10
07032	777	497	63.96
07033	775	471	60.77
07034	790	419	53.04
07035	773	360	46.57
07036	787	443	56.29
07037	730	427	58.49
07038	677	323	47.71
07039	672	347	51.64
07040	655	336	51.30
07041	739	370	50.07
07042	684	357	52.19
07043	713	351	49.23
07044	760	354	46.58
07045	854	392	45.90
07046	291	190	65.29
08001	733	306	41.75
08002	850	404	47.53
08003	679	428	63.03
08004	644	424	65.84
08005	677	414	61.15
08006	757	409	54.03
08007	758	447	58.97
08008	635	380	59.84
08009	464	279	60.13
08010	706	465	65.86
08011	671	353	52.61
08012	624	354	56.73
08013	900	453	50.33
08014	755	343	45.43
08015	721	367	50.90
08016	352	155	44.03
08017	528	340	64.39
08018	984	384	39.02
08019	759	444	58.50
08020	755	424	56.16
08021	927	494	53.29
08022	660	349	52.88
08023	706	335	47.45
08024	376	236	62.77
08025	787	394	50.06
08026	823	419	50.91
08027	688	424	61.63
08028	733	394	53.75
08029	867	468	53.98
08030	794	445	56.05
08031	625	317	50.72
08032	566	310	54.77
08033	726	400	55.10
08034	670	350	52.24
08035	728	423	58.10
08036	722	406	56.23
08037	515	332	64.47
08038	557	266	47.76
08039	711	411	57.81
08040	544	320	58.82
08041	765	390	50.98
08042	878	481	54.78
08043	463	216	46.65
08044	515	272	52.82
08045	836	433	51.79
08046	595	303	50.92
08047	608	332	54.61
08048	782	384	49.10
08049	673	354	52.60
08050	695	407	58.56
08051	696	421	60.49
08052	839	493	58.76
08053	393	223	56.74
08054	777	361	46.46
08055	522	312	59.77
08056	707	403	57.00
09001	777	410	52.77
09002	683	346	50.66
09003	826	364	44.07
09004	617	334	54.13
09005	698	349	50.00
09006	699	372	53.22
09007	686	287	41.84
09008	896	389	43.42
09009	771	421	54.60
09010	686	328	47.81
09011	653	288	44.10
09012	758	391	51.58
09013	711	402	56.54
09014	769	464	60.34
09015	1078	426	39.52
09016	680	344	50.59
09017	724	332	45.86
09018	645	285	44.19
09019	678	394	58.11
09020	732	428	58.47
09021	688	320	46.51
09022	680	405	59.56
09023	723	414	57.26
09024	708	395	55.79
09025	692	366	52.89
09026	966	385	39.86
09027	718	366	50.97
09028	687	256	37.26
09029	753	362	48.07
09030	657	337	51.29
09031	729	311	42.66
09032	687	342	49.78
09033	727	308	42.37
09034	765	328	42.88
09035	657	356	54.19
09036	732	340	46.45
09037	834	418	50.12
09038	714	371	51.96
09039	730	378	51.78
09040	780	420	53.85
09041	626	316	50.48
09042	696	387	55.60
09043	855	374	43.74
09044	599	333	55.59
09045	688	306	44.48
09046	805	379	47.08
09047	698	405	58.02
09048	736	398	54.08
09049	708	410	57.91
09050	797	497	62.36
09051	638	368	57.68
10001	710	362	50.99
10002	694	244	35.16
10003	748	269	35.96
10004	868	325	37.44
10005	675	224	33.19
10006	633	300	47.39
10007	657	237	36.07
10008	644	296	45.96
10009	729	260	35.67
10010	716	342	47.77
10011	956	399	41.74
10012	533	225	42.21
10013	898	387	43.10
10014	928	402	43.32
10015	1333	702	52.66
10016	672	244	36.31
10017	917	342	37.30
10018	677	236	34.86
10019	761	300	39.42
10020	761	344	45.20
10021	848	359	42.33
10022	564	211	37.41
10023	713	335	46.98
10024	688	255	37.06
10025	266	115	43.23
10026	790	283	35.82
10027	1068	342	32.02
10028	874	383	43.82
10029	766	312	40.73
10030	807	349	43.25
10031	720	257	35.69
10032	753	325	43.16
10033	618	242	39.16
10034	712	249	34.97
10035	769	326	42.39
10036	206	90	43.69
11001	844	392	46.45
11002	1024	62	6.05
11003	692	369	53.32
11004	776	373	48.07
11005	1107	515	46.52
11006	952	422	44.33
11007	839	660	78.67
11008	845	390	46.15
11009	848	364	42.92
11010	904	404	44.69
11011	887	362	40.81
11012	1023	483	47.21
11013	1000	423	42.30
11014	543	254	46.78
11015	391	186	47.57
11016	724	306	42.27
11017	849	444	52.30
11018	764	356	46.60
11019	1007	491	48.76
11020	593	265	44.69
11021	893	498	55.77
11022	1042	512	49.14
11023	429	249	58.04
11024	782	478	61.13
11025	749	411	54.87
11026	880	470	53.41
11027	486	180	37.04
11028	484	188	38.84
11029	838	410	48.93
11030	620	247	39.84
11031	743	330	44.41
11032	365	176	48.22
11033	789	338	42.84
11034	310	143	46.13
11035	247	135	54.66
11036	476	173	36.34
11037	347	181	52.16
11038	399	208	52.13
12001	708	387	54.66
12002	734	346	47.14
12003	842	449	53.33
12004	720	414	57.50
12005	776	379	48.84
12006	869	363	41.77
12007	877	358	40.82
12008	870	458	52.64
12009	694	334	48.13
12010	901	451	50.06
12011	847	392	46.28
12012	873	388	44.44
12013	875	398	45.49
12014	863	349	40.44
12015	877	329	37.51
12016	857	374	43.64
12017	903	405	44.85
12018	873	331	37.92
12019	783	398	50.83
12020	911	452	49.62
12021	802	387	48.25
12022	911	412	45.23
12023	761	394	51.77
13001	461	281	60.95
13002	457	294	64.33
13003	469	278	59.28
13004	586	318	54.27
13005	651	421	64.67
13006	493	324	65.72
13007	491	293	59.67
13008	423	242	57.21
13009	597	333	55.78
13010	471	245	52.02
13011	564	343	60.82
13012	568	316	55.63
13013	527	368	69.83
13014	552	331	59.96
13015	785	569	72.48
13016	419	278	66.35
13017	510	290	56.86
13018	474	232	48.95
13019	670	475	70.90
13020	368	181	49.18
13021	600	334	55.67
13022	586	339	57.85
13023	467	285	61.03
13024	491	323	65.78
13025	617	358	58.02
13026	584	384	65.75
13027	514	331	64.40
13028	473	296	62.58
13029	440	279	63.41
13030	410	277	67.56
13031	625	332	53.12
13032	504	275	54.56
13033	490	280	57.14
13034	566	454	80.21
13035	462	305	66.02
13036	343	200	58.31
13037	617	388	62.88
13038	465	244	52.47
13039	525	349	66.48
13040	452	294	65.04
13041	593	361	60.88
13042	544	282	51.84
13043	560	363	64.82
13044	625	486	77.76
13045	595	431	72.44
13046	684	429	62.72
13047	636	376	59.12
13048	466	298	63.95
14001	676	330	48.82
14002	878	463	52.73
14003	706	423	59.92
14004	611	258	42.23
14005	960	533	55.52
14006	337	195	57.86
14007	832	383	46.03
14008	813	385	47.36
14009	730	366	50.14
