Precinct	total_votes	votes|Yes	votes|No
21049	503	460	43
21050	385	343	42
21051	422	384	38
21052	489	449	40
21053	361	329	32
21054	376	350	26
22001	258	236	22
22002	514	466	48
22003	613	575	38
22004	346	328	18
22005	369	340	29
22006	432	396	36
22007	319	301	18
22008	571	517	54
22009	369	347	22
22010	585	543	42
22011	374	331	43
22012	394	347	47
22013	442	419	23
22014	358	328	30
22015	405	363	42
22016	362	338	24
22017	467	428	39
22018	440	409	31
22019	248	223	25
22020	433	407	26
22021	505	454	51
22022	393	350	43
22023	548	513	35
22024	507	465	42
22025	412	374	38
23001	417	361	56
23002	430	391	39
23003	417	366	51
23004	472	424	48
23005	441	410	31
23006	479	450	29
23007	418	386	32
23008	490	450	40
23009	393	359	34
23010	517	474	43
23011	501	463	38
23012	410	354	56
23013	392	363	29
23014	384	344	40
23015	387	365	22
23016	400	349	51
23017	330	304	26
23018	389	351	38
23019	383	355	28
23020	314	289	25
23021	424	374	50
23022	415	368	47
23023	424	380	44
23024	383	362	21
23025	438	395	43
23026	432	404	28
23027	386	350	36
23028	411	358	53
23029	355	323	32
23030	504	473	31
23031	341	313	28
23032	449	412	37
23033	472	437	35
23034	442	422	20
23035	344	305	39
23036	417	371	46
23037	395	346	49
23038	364	324	40
23039	445	421	24
24001	341	316	25
24002	389	350	39
24003	446	400	46
24004	326	297	29
24005	241	215	26
24006	405	368	37
24007	240	222	18
24008	199	170	29
24009	464	411	53
24010	197	171	26
24011	472	424	48
24012	267	248	19
24013	259	240	19
24014	382	335	47
24015	263	236	27
24016	469	428	41
24017	340	307	33
24018	415	380	35
24019	518	484	34
24020	344	313	31
24021	230	205	25
24022	550	492	58
24023	120	108	12
24024	597	548	49
24025	316	284	32
24026	565	511	54
24027	428	387	41
24028	307	283	24
24029	286	247	39
24030	217	196	21
24031	462	410	52
24032	252	235	17
24033	264	237	27
24034	362	329	33
24035	292	269	23
24036	483	441	42
24037	278	258	20
24038	332	300	32
24039	450	430	20
24040	430	395	35
24041	298	269	29
25001	441	420	21
25002	496	452	44
25003	766	718	48
25004	492	457	35
25005	552	515	37
25006	167	159	8
25007	497	442	55
25008	555	511	44
25009	574	515	59
25010	878	839	39
25011	567	512	55
25012	498	458	40
25013	534	509	25
25014	326	304	22
25015	451	408	43
25016	832	789	43
25017	527	491	36
25018	289	267	22
25019	523	486	37
25020	428	393	35
25021	947	881	66
25022	495	464	31
25023	588	539	49
25024	542	497	45
25025	576	532	44
25026	482	453	29
25027	763	712	51
25028	548	504	44
25029	491	456	35
25030	511	469	42
25031	1015	962	53
25032	434	408	26
26001	446	426	20
26002	382	354	28
26003	428	400	28
26004	297	278	19
26005	378	348	30
26006	349	325	24
26007	396	371	25
