Precinct	total_votes	votes|Danny K. Davis	votes|Craig Cameron	votes|Tracy Jennings
Proviso 51	803	496	215	92
Proviso 52	469	423	21	25
Proviso 53	647	600	18	29
Proviso 56	475	435	10	30
Proviso 58	426	388	20	18
Proviso 59	600	442	105	53
Proviso 60	460	366	63	31
Proviso 61	738	605	86	47
Proviso 62	844	654	124	66
Proviso 63	34	20	14	0
Proviso 64	629	548	27	54
Proviso 65	560	464	53	43
Proviso 66	929	702	153	74
Proviso 67	1001	757	160	84
Proviso 68	462	323	106	33
Proviso 69	487	434	20	33
Proviso 71	402	300	68	34
Proviso 72	594	461	98	35
Proviso 73	682	500	116	66
Proviso 74	741	572	106	63
Proviso 76	855	655	142	58
Proviso 79	506	454	25	27
Proviso 81	575	425	107	43
Proviso 82	921	840	26	55
Proviso 83	802	723	33	46
Proviso 85	395	215	140	40
Proviso 86	583	530	11	42
Proviso 91	581	417	113	51
Proviso 92	1004	613	270	121
Proviso 94	539	495	10	34
Proviso 99	645	571	33	41
Proviso 101	671	387	197	87
Proviso 102	516	355	126	35
River Forest 2	724	414	281	29
River Forest 3	780	552	175	53
River Forest 4	906	625	231	50
River Forest 5	623	436	151	36
River Forest 6	567	356	165	46
River Forest 7	825	564	206	55
River Forest 8	1056	735	242	79
Riverside 13	63	46	16	1
