Precinct	total_votes	votes|Sophia Olazaba (Warren)	votes|Will Guzzardi (Warren)	votes|Venu Gupta (Warren)	votes|Omar Aquino (Warren)	votes|Abby Witt (Warren)	votes|Emanuel ''Chris'' Welch (Biden)	votes|Claudia P. Rodriguez (Biden)	votes|Juan Jose Gonzalez (Biden)	votes|Angelica Alfaro (Biden)	votes|Alma Anaya (Sanders)	votes|Melissa Rubio (Sanders)	votes|Shana East (Sanders)	votes|Byron Sigcho-Lopez (Sanders)	votes|Colin Bird-Martinez (Sanders)	votes|Jesus Ayala, Jr. (Yang)	votes|Bridget Flynn (Yang)	votes|Melissa Strube (Yang)	votes|Peter Gariepy (Buttigieg)
33020	1935	59	44	43	46	55	127	138	122	116	238	241	218	207	204	15	15	10	37
33021	1607	56	34	42	40	48	115	129	120	117	190	187	163	155	146	11	15	9	30
33022	1452	39	30	25	25	35	123	139	131	124	155	150	129	136	134	23	11	6	37
33023	1588	49	35	31	31	56	121	130	121	123	187	169	167	155	154	5	12	6	36
33025	1919	51	30	34	38	49	154	171	151	148	223	215	197	194	185	14	18	12	35
33026	1180	30	28	18	24	20	41	54	47	45	182	176	162	162	155	10	4	8	14
33027	1708	58	33	38	43	40	96	105	96	99	223	223	210	197	195	12	9	6	25
33028	1507	37	29	22	20	25	56	69	68	62	237	229	208	203	197	11	9	6	19
35001	1306	29	23	16	14	22	60	69	67	63	196	198	172	167	166	11	12	4	17
35002	1568	37	54	24	45	30	110	121	113	110	175	186	169	171	167	16	9	4	27
35003	1125	26	24	16	26	21	42	49	47	45	175	178	149	154	139	16	6	5	7
35004	1226	32	23	21	32	25	79	87	93	78	152	163	131	131	128	12	8	5	26
35005	1076	40	24	16	22	16	49	55	50	38	163	167	134	137	132	13	6	3	11
35006	1299	39	31	21	29	30	51	60	52	56	192	190	176	169	163	11	9	5	15
35007	1405	28	32	14	25	18	53	56	58	62	224	227	199	193	181	8	6	6	15
35008	1251	37	22	13	35	17	53	72	68	55	187	181	164	159	151	13	10	7	7
35009	955	28	19	20	25	24	65	75	66	63	117	121	94	92	90	15	9	9	23
35010	2002	46	69	32	34	39	62	72	62	63	319	313	291	282	271	14	10	8	15
35011	1478	38	51	26	30	33	54	67	54	62	223	218	198	194	185	14	10	8	13
35012	648	10	3	3	20	5	29	38	36	28	103	101	84	82	81	14	3	6	2
35013	592	14	3	5	17	4	21	31	29	21	91	100	80	81	73	12	3	2	5
35014	836	9	11	8	20	13	33	53	44	40	131	131	105	112	106	10	3	3	4
35015	1546	26	39	15	18	21	58	65	64	56	250	249	221	219	208	14	5	9	9
35016	517	14	7	4	22	5	31	39	36	33	79	73	52	58	55	5	1	0	3
35017	1452	38	47	25	21	31	62	72	64	65	211	208	198	187	181	11	7	5	19
35018	804	13	11	9	29	7	35	59	54	52	120	119	85	88	93	19	2	3	6
35019	668	15	6	9	13	6	32	36	36	35	105	109	81	85	82	11	2	3	2
35020	1102	34	16	18	17	24	67	75	64	65	155	148	124	129	120	16	8	6	16
35021	1182	44	30	24	42	27	54	73	68	64	160	165	133	132	123	20	5	5	13
35022	1493	34	26	19	22	31	97	105	96	90	203	204	179	175	165	9	9	7	22
35023	1252	41	19	14	25	26	74	89	85	83	162	165	139	127	125	21	15	15	27
