Precinct	total_votes	votes|Brandon Johnson (Warren)	votes|Jamie Brown (Warren)	votes|Frederick ''Fritz'' Kaegi (Warren)	votes|Mony Ruiz Velasco (Warren)	votes|Marlon D. Harris (Warren)	votes|Harlene Ellin (Warren)	votes|Mihir Garud (Warren)	votes|Benetta Mansfield (Warren)	votes|Mary Ann Abbott (Yang)	votes|David Hernandez (Yang)	votes|Elizabeth Henricks (Yang)	votes|Steven Dyme (Yang)	votes|Yvonne O'Connor (Yang)	votes|Peter Wojda IV (Yang)	votes|Rudyard ''Rudy'' Urian (Yang)	votes|Marty Castro (Buttigieg)	votes|Eric Davis (Buttigieg)	votes|Thomas Gary (Buttigieg)	votes|Marla Izbicky (Buttigieg)	votes|Amalia Mahoney (Buttigieg)	votes|Cristal Thomas Gary (Buttigieg)	votes|Melissa Conyears-Ervin (Biden)	votes|Pat Quinn (Biden)	votes|Emma M. Mitts (Biden)	votes|Brendan Reilly (Biden)	votes|Patricia Dowell (Biden)	votes|Rory Hoskins (Biden)	votes|Barbara McGowan (Biden)	votes|Marcelino Garcia (Biden)	votes|Claudia Moreno-Nunez (Sanders)	votes|Julie Lehrman (Sanders)	votes|Martese Luzette Chism (Sanders)	votes|Ojus Khanolkar (Sanders)	votes|Dominique Coronel (Sanders)	votes|Miguel Bautista (Sanders)	votes|Ronald Lawless (Sanders)	votes|Tim Thomas (Sanders)	votes|Barton Moy (Klobuchar)	votes|Gail M. Silver (Klobuchar)	votes|Joan L. Long (Klobuchar)	votes|Addison Woodward (Klobuchar)	votes|Ann Henstrand (Klobuchar)	votes|Jennifer Vincent (Klobuchar)	votes|Markayle Tolliver (Klobuchar)	votes|Thomas A. (Tom) Ciavarella (Klobuchar)
16009	33	1	0	0	0	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	3	3	2	3	4	3	3	0	1	0	0	1	0	0	0
16010	852	17	18	13	6	10	9	7	7	9	4	7	4	3	4	3	2	4	7	2	4	6	45	57	71	63	68	61	68	62	33	27	19	22	24	23	26	24	2	1	0	4	1	1	1	3
16011	973	18	14	4	13	10	11	4	12	5	17	7	10	3	3	3	7	7	5	2	5	2	40	58	66	57	64	51	58	61	47	38	39	39	46	51	36	40	3	2	3	2	0	6	1	3
16012	778	17	12	11	10	10	8	4	7	4	15	5	6	4	1	4	3	4	4	2	1	0	34	47	56	52	58	45	54	49	32	26	33	31	33	34	25	24	1	2	3	1	1	2	2	1
16013	907	13	11	8	13	9	4	2	5	3	17	6	4	3	1	3	10	7	5	8	7	4	32	40	38	35	39	31	34	51	74	52	48	52	51	68	53	54	1	1	3	2	0	3	2	0
16014	676	9	15	7	3	11	6	4	7	4	3	2	1	7	0	2	5	4	2	3	1	2	43	53	50	51	51	46	49	45	30	28	24	18	22	18	22	21	1	2	2	0	0	0	1	1
16015	1005	24	22	9	6	18	10	6	10	13	5	8	5	1	2	1	4	2	3	1	2	3	59	74	95	82	92	90	92	78	29	22	23	16	23	24	23	19	1	2	1	1	2	1	1	0
16016	782	17	9	9	8	10	7	4	7	5	5	3	1	2	3	3	1	2	1	2	1	2	47	64	65	68	68	65	64	61	25	25	21	17	21	20	24	20	1	0	3	0	0	0	1	0
16017	1020	14	15	8	12	10	12	7	6	10	19	7	9	6	3	7	5	7	3	5	3	6	36	46	61	49	53	51	55	56	68	53	52	52	55	61	42	38	2	2	2	2	3	4	0	3
16018	728	13	8	4	8	8	5	6	4	4	12	2	0	3	1	0	4	3	0	1	0	1	28	34	49	48	51	42	50	45	48	42	36	29	40	41	29	25	1	0	1	1	1	0	0	0
16019	1003	23	14	13	13	13	8	7	7	8	6	5	3	5	1	3	7	6	2	2	3	4	38	51	64	60	64	58	65	58	57	50	43	43	57	51	37	36	1	4	3	3	0	4	2	1
16020	705	16	15	8	7	12	6	5	13	7	1	7	1	8	1	0	2	8	1	1	2	2	36	48	64	57	58	54	59	52	24	23	18	11	21	16	12	14	4	3	1	0	1	1	2	3
16021	777	13	10	4	5	6	8	6	3	6	3	2	2	4	0	1	1	1	5	2	1	1	33	51	65	58	62	58	58	62	35	32	28	28	30	30	24	22	3	3	2	3	1	1	1	3
16022	784	9	12	7	8	10	9	2	11	5	5	6	1	3	1	3	1	4	3	2	3	3	41	55	63	57	65	62	66	58	30	27	24	19	30	31	19	20	1	1	2	1	2	2	0	0
16023	33	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	3	2	5	3	4	2	3	3	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
16024	532	11	8	6	3	6	6	5	4	2	3	3	2	3	1	2	0	2	1	1	0	1	30	35	45	41	43	43	40	40	15	21	16	16	14	14	14	18	3	5	1	2	1	2	3	0
16025	1021	26	15	12	12	17	9	5	12	10	8	12	9	9	1	3	4	7	6	5	5	3	58	61	84	76	86	74	75	72	34	30	25	23	33	24	32	21	3	1	5	3	3	4	1	3
16026	708	10	11	7	8	7	2	2	6	6	8	6	2	6	1	1	3	3	3	2	0	1	41	55	58	54	58	59	53	51	28	25	25	18	22	20	21	16	0	4	1	2	0	2	0	0
16027	457	8	6	3	3	4	1	1	1	2	1	2	1	1	1	1	2	1	0	1	2	1	23	31	39	32	38	35	34	29	20	20	17	18	21	18	15	16	0	1	0	0	1	2	2	2
16029	687	14	8	9	7	9	7	6	6	3	0	1	1	2	1	0	1	1	1	0	2	0	37	47	59	51	58	54	55	52	23	24	23	24	26	23	24	22	0	0	0	1	1	0	1	3
16031	851	20	18	12	9	15	9	9	5	3	4	6	2	5	0	2	4	5	2	1	5	3	46	53	69	64	67	63	67	59	33	28	27	23	28	22	23	25	1	3	3	0	2	1	2	3
16033	644	12	11	5	6	9	3	2	9	3	6	5	1	4	0	2	3	1	1	1	1	0	33	41	52	51	50	46	44	46	32	19	24	22	26	23	20	21	0	1	1	1	1	3	1	1
16034	685	13	12	2	4	10	12	5	11	8	7	6	1	4	1	1	2	2	2	1	1	2	34	46	61	60	59	52	53	54	20	19	21	20	25	20	14	13	0	1	1	2	0	2	1	0
16035	896	8	4	3	17	4	1	2	5	7	13	5	1	5	1	4	6	2	0	4	6	2	24	39	37	35	38	33	30	42	81	62	61	54	62	71	57	56	1	2	2	1	1	5	0	2
16036	631	12	11	10	7	8	8	4	10	2	2	3	4	1	0	0	2	1	2	1	3	0	27	38	50	43	53	37	41	35	34	29	24	23	29	27	23	19	0	4	1	0	0	2	1	0
17006	258	1	3	1	1	4	1	1	3	4	2	1	2	0	0	0	1	2	0	0	0	1	12	17	21	20	21	18	19	18	13	11	9	10	11	10	9	11	0	0	0	0	0	0	0	0
17007	1130	17	17	11	22	9	7	9	10	6	14	3	5	8	3	1	9	5	4	3	5	7	46	64	61	58	65	57	63	62	71	59	50	51	58	70	52	48	1	1	2	1	2	8	1	4
17008	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
17012	1370	23	14	11	31	16	9	7	8	8	30	10	4	7	7	5	12	4	1	4	8	2	37	50	56	60	59	52	52	63	107	89	82	81	91	104	74	75	1	2	4	1	1	5	1	2
17013	762	22	11	8	8	10	12	7	13	6	7	8	4	3	3	4	2	3	3	0	1	2	32	41	72	64	73	64	61	61	24	28	14	17	15	17	13	11	4	2	3	2	3	2	2	0
17014	996	15	10	4	15	8	4	4	6	3	12	9	2	5	2	2	1	2	2	3	5	3	36	45	55	53	54	51	53	54	71	58	54	53	62	61	51	51	4	2	3	2	1	2	0	3
17016	324	7	5	7	8	6	6	7	6	1	7	2	0	1	0	3	2	6	2	0	2	0	15	15	15	17	17	16	16	16	15	17	10	12	16	17	14	13	1	0	0	0	1	1	0	2
17019	678	13	10	7	9	6	8	6	8	7	9	5	7	6	2	4	3	6	5	1	3	1	36	48	60	53	53	50	55	52	20	20	17	14	12	17	13	20	1	4	1	2	0	1	0	3
17025	24	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	3	3	3	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17031	733	16	19	8	7	9	11	8	12	8	8	9	8	10	5	9	3	2	4	3	2	2	37	49	55	49	55	49	53	48	28	20	21	22	19	17	14	18	2	2	2	3	0	3	1	3
17033	488	14	9	3	5	9	4	5	7	6	3	4	4	6	3	2	3	1	1	2	3	0	27	38	33	31	32	32	30	27	21	15	18	17	17	16	15	17	1	1	0	0	0	3	0	3
17035	370	11	6	5	4	4	3	3	4	4	5	5	4	3	1	1	1	3	1	0	0	0	15	17	26	26	26	24	25	24	14	17	12	15	17	15	13	11	1	0	0	1	0	1	2	0
17036	220	4	1	2	0	1	1	3	1	1	2	1	0	3	0	1	0	1	1	0	0	0	8	12	14	16	12	10	15	12	14	14	11	9	12	12	12	10	0	0	1	0	0	2	0	1
20002	317	9	8	2	3	4	2	2	3	5	1	3	2	1	1	1	1	3	3	2	0	1	19	23	23	25	28	21	25	18	8	5	8	9	9	11	7	12	2	1	1	0	0	3	1	1
20004	276	5	3	3	1	4	3	1	3	3	0	1	0	1	1	2	1	2	1	2	2	1	20	22	22	20	22	20	18	19	7	7	9	10	11	10	6	6	0	1	2	0	1	3	0	0
20006	450	7	10	5	3	6	4	1	2	4	2	5	2	1	0	4	2	3	3	1	1	3	25	38	33	27	35	24	29	29	20	18	17	15	16	16	15	15	1	4	0	0	1	1	0	2
20011	613	16	15	9	4	13	9	6	8	5	5	4	4	4	0	2	3	2	1	1	0	0	30	39	44	40	48	37	45	42	25	21	19	19	25	20	18	20	1	2	1	3	0	1	1	1
20015	625	1	5	2	8	1	1	0	1	3	9	5	2	0	1	1	7	0	1	1	2	1	14	19	15	14	18	13	15	31	70	48	50	46	48	64	45	52	2	1	2	2	1	3	0	0
20017	785	16	12	6	15	13	9	5	13	4	12	2	2	2	1	3	6	2	0	1	4	0	23	32	34	31	37	30	32	38	61	49	48	44	47	55	37	40	3	3	1	2	3	2	2	3
20020	658	11	6	7	13	5	4	2	5	5	11	4	5	2	3	1	3	0	0	2	0	1	14	24	26	22	28	23	26	32	56	44	45	41	47	49	42	39	1	1	2	0	2	2	1	1
20021	841	14	14	8	8	9	13	7	8	9	9	5	8	8	3	4	3	6	3	5	1	3	47	59	63	57	62	51	55	52	40	31	30	25	35	27	22	25	1	3	1	4	0	1	1	1
20025	762	15	15	4	5	8	6	3	6	6	2	1	6	1	1	2	2	7	1	1	2	2	47	65	63	58	64	59	60	51	26	21	20	24	28	28	21	20	2	3	1	2	0	1	0	2
20027	170	3	2	3	0	2	1	2	2	1	0	2	2	1	1	1	2	1	1	0	0	0	9	9	12	12	13	12	14	12	7	7	5	5	5	6	5	6	0	1	0	2	0	0	1	0
20030	401	2	4	3	1	2	2	0	4	1	1	3	1	1	1	1	0	1	1	1	0	0	31	33	33	35	36	35	34	35	13	13	11	11	13	14	11	9	0	1	0	0	0	2	0	1
20031	925	14	11	9	7	9	8	6	9	5	4	5	2	4	3	5	1	4	2	3	3	2	51	64	76	68	75	69	74	69	31	33	34	33	32	33	30	30	1	0	2	2	0	2	0	0
20032	971	19	22	10	10	14	7	5	11	9	8	6	4	6	0	6	3	7	4	2	3	3	55	69	76	68	80	70	73	61	41	25	28	29	36	33	28	26	2	2	3	1	1	2	1	2
20036	327	4	6	2	2	3	1	3	2	3	2	0	1	2	0	1	1	3	0	1	0	0	24	31	30	36	34	31	32	31	5	5	3	5	5	5	4	4	1	1	1	0	0	0	1	1
20037	16	0	1	0	0	0	2	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
20038	339	7	4	4	4	3	7	4	3	1	1	1	1	2	1	1	1	1	2	1	1	1	13	23	18	19	20	16	18	15	19	19	18	16	19	17	18	15	1	1	0	0	0	2	0	1
20039	99	1	1	0	1	1	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	4	8	7	8	8	8	9	8	4	3	3	4	3	5	3	4	0	0	0	0	0	0	0	0
22014	729	7	8	3	9	1	6	1	6	3	9	3	2	2	0	2	3	1	3	1	0	2	26	32	33	30	38	31	33	36	61	49	52	47	44	53	43	42	1	2	1	0	1	0	0	2
22015	38	2	0	0	2	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	2	4	2	2	3	2	5	2	2	0	0	0	0	0	0	0	1
22019	554	8	4	4	3	2	1	3	1	2	2	2	1	0	0	0	0	0	0	0	0	1	25	38	39	38	42	38	39	37	34	29	28	27	28	28	24	24	0	0	0	0	1	0	0	1
22021	1205	20	16	7	9	15	13	9	9	12	6	8	6	7	3	4	8	10	6	3	2	6	68	91	112	94	94	86	99	82	47	45	29	32	34	38	35	28	2	2	0	3	1	3	1	0
23017	293	3	3	3	6	3	3	2	4	1	6	2	0	1	0	1	1	1	1	1	1	0	4	6	6	2	6	3	3	8	34	26	25	25	27	32	22	21	0	0	0	0	0	0	0	0
23019	441	3	1	2	11	2	4	1	4	4	13	6	0	2	2	2	4	2	1	1	0	1	8	12	12	12	12	8	11	13	42	36	32	29	37	47	30	26	1	2	1	0	0	3	0	1
23031	199	2	3	0	4	2	0	0	1	2	3	3	1	0	0	0	0	1	1	1	0	0	3	9	7	7	6	7	6	9	18	16	15	15	15	17	11	9	1	0	0	1	0	0	2	1
24001	1119	23	17	16	6	17	11	8	6	8	6	8	4	4	5	4	3	6	3	0	4	3	81	89	99	86	101	83	102	80	28	28	30	22	31	28	29	26	1	3	0	2	1	4	0	3
24002	928	19	11	6	3	13	5	6	9	3	6	6	3	9	2	2	4	4	2	2	3	1	59	68	86	68	76	72	84	71	36	26	27	24	26	24	23	27	1	1	2	4	0	1	1	2
24003	1089	14	9	11	4	10	11	4	6	2	3	4	1	3	0	3	5	5	3	2	1	3	61	67	90	80	89	78	86	75	52	48	42	41	46	42	39	36	2	3	1	1	0	2	3	1
24004	801	20	16	7	5	9	10	10	10	4	9	5	5	8	4	1	6	5	2	2	2	1	51	57	69	61	60	57	61	51	27	23	19	16	26	19	22	19	3	4	3	2	3	3	1	3
24005	507	8	5	3	4	4	6	2	4	2	3	2	1	2	2	2	1	1	2	1	1	2	37	44	49	38	45	37	44	37	18	13	14	12	16	14	13	11	1	0	1	0	1	3	0	1
24006	1229	42	23	19	15	22	17	10	12	3	6	4	2	3	1	2	1	3	2	2	1	1	64	87	101	82	91	82	100	80	47	42	48	41	47	42	41	33	1	0	2	2	1	2	1	1
24007	851	11	8	4	15	5	6	6	8	3	8	2	2	2	0	2	5	2	2	2	2	1	16	21	22	23	27	19	21	21	81	73	75	70	73	77	65	68	1	0	1	0	0	0	1	0
24008	409	9	7	3	1	2	2	0	1	3	2	1	0	3	1	2	3	4	2	1	0	2	23	32	39	36	33	32	37	30	9	12	13	13	11	13	13	10	1	0	0	1	0	1	0	1
24009	957	25	14	10	12	12	11	4	9	8	11	6	4	6	2	3	3	5	9	3	3	4	48	70	76	71	79	62	71	61	33	31	28	28	31	32	28	23	3	2	2	2	0	7	0	5
24010	526	11	5	5	5	8	1	3	2	3	2	6	2	3	1	0	1	1	2	0	1	1	21	26	39	31	34	27	44	30	27	26	25	26	28	23	24	23	2	0	2	1	1	2	0	1
24011	1091	21	19	8	10	15	11	5	10	8	7	5	5	3	1	5	2	9	3	1	3	1	70	87	107	81	88	77	88	76	36	33	30	28	32	22	26	26	3	6	4	3	1	8	2	5
24012	535	8	13	6	6	6	9	6	5	3	4	4	2	2	1	0	0	0	1	2	0	0	23	29	48	38	40	36	45	37	22	21	17	17	22	19	18	19	1	3	1	1	0	0	0	0
24013	521	9	8	4	3	7	6	6	5	3	5	1	3	2	1	2	0	0	2	0	0	1	22	28	41	34	39	35	41	32	27	22	23	19	27	21	16	22	0	0	1	1	0	1	1	0
24014	799	14	11	5	4	11	5	4	13	9	6	5	6	5	2	3	3	8	0	3	4	3	42	49	72	56	69	51	64	56	30	30	26	17	26	23	23	23	1	4	2	1	4	5	1	0
24015	408	9	11	3	2	6	3	2	6	1	5	2	1	3	1	1	1	3	0	1	2	0	26	31	33	30	35	27	36	26	14	13	10	11	11	11	11	11	0	0	0	2	3	0	1	3
24016	1587	35	47	17	21	24	27	12	16	30	23	18	14	21	8	9	9	14	10	8	6	6	51	91	88	71	73	63	78	67	80	71	68	65	85	82	67	64	5	8	8	6	5	9	4	3
24017	763	17	11	5	3	4	9	3	7	7	3	6	2	7	1	4	0	2	1	1	0	0	49	55	60	47	52	43	59	43	40	33	31	33	36	28	27	29	2	0	1	0	1	0	0	1
24018	1274	26	21	10	12	14	13	6	12	5	4	9	4	5	1	5	4	2	3	4	3	3	96	103	123	96	110	92	110	95	36	35	28	31	43	35	31	32	0	0	2	1	1	2	2	4
24019	1285	28	25	14	5	20	9	7	12	8	7	9	4	7	6	5	1	5	2	2	1	2	79	97	106	93	94	88	97	78	53	41	42	39	46	48	38	42	3	7	3	2	4	1	1	4
24020	829	15	10	5	6	7	5	6	4	7	3	4	2	4	1	2	3	8	2	0	2	3	59	61	74	64	68	64	71	60	30	24	28	22	27	24	22	21	0	4	2	0	3	0	1	1
24021	543	5	10	7	4	7	5	3	8	7	3	1	1	3	0	0	2	1	1	0	1	1	36	41	53	41	43	43	51	45	18	19	15	10	17	12	11	11	0	1	3	0	1	1	0	1
24022	1298	23	25	15	13	18	16	8	17	11	7	9	6	3	3	1	2	6	0	1	4	3	76	90	117	89	107	84	104	86	44	46	39	36	51	39	33	34	3	5	3	1	7	6	3	4
24023	826	22	8	8	6	10	10	9	5	12	5	9	7	4	2	2	3	4	1	0	4	2	36	49	72	49	61	49	57	53	33	33	31	31	40	30	32	23	0	1	3	1	0	4	3	2
24024	1188	22	25	13	7	16	8	7	7	12	9	7	6	5	6	1	2	3	6	6	2	7	79	91	104	86	96	85	94	78	40	33	35	27	41	40	35	32	2	3	2	0	2	2	1	3
24025	806	18	15	14	5	14	9	8	12	7	4	5	7	6	2	6	3	2	4	4	0	3	34	50	57	42	52	44	56	42	34	41	35	31	31	35	30	32	1	1	1	2	0	2	3	2
24026	1736	31	24	11	7	18	12	7	12	15	5	10	3	11	4	5	3	8	2	5	1	5	127	140	163	138	147	135	153	135	56	49	46	41	55	44	43	41	4	3	2	2	1	4	3	5
24027	1057	15	12	10	5	11	7	7	4	5	4	2	5	5	0	1	1	3	1	1	0	1	83	82	107	88	100	87	98	87	28	33	30	25	35	23	21	22	0	0	2	0	2	0	2	2
24028	887	18	14	11	11	5	10	2	10	6	8	8	3	2	5	5	2	4	5	2	4	5	54	66	77	66	68	67	72	68	35	24	19	18	26	25	19	25	0	2	0	2	1	6	4	3
24029	887	26	12	8	6	13	8	4	8	3	5	4	3	6	1	1	3	8	3	2	1	2	51	74	85	72	80	72	79	68	29	18	18	18	24	23	19	20	2	1	0	0	0	3	1	3
24030	673	15	9	10	5	10	7	4	3	7	3	3	3	3	2	4	0	6	0	2	1	1	34	45	57	45	46	47	54	42	22	23	25	25	25	24	22	22	5	2	2	2	1	1	1	3
24031	1145	27	17	7	8	17	8	5	11	7	8	6	3	8	2	1	6	7	4	3	2	7	78	93	105	91	104	93	95	82	29	27	25	29	31	29	28	25	3	3	2	1	1	2	3	2
24032	620	16	7	7	4	7	8	4	6	5	6	5	4	5	3	2	3	6	1	3	5	3	54	55	61	51	55	45	53	45	14	11	11	7	10	7	11	9	3	0	3	1	1	2	1	0
24033	736	17	8	7	4	15	8	6	5	5	1	6	0	3	2	3	2	3	3	0	3	1	49	54	62	52	61	52	63	54	24	22	20	20	26	21	22	21	1	4	2	0	0	0	2	2
24034	1086	30	23	11	7	16	7	5	11	9	9	10	4	8	4	3	7	8	9	4	6	6	56	77	89	75	82	73	80	67	38	35	27	24	35	31	35	30	3	4	3	4	4	7	4	6
24035	962	18	15	11	7	13	7	4	10	8	8	8	6	6	4	3	6	6	5	1	0	0	48	72	90	70	76	67	76	61	36	35	33	24	30	28	30	28	1	2	0	2	1	3	1	2
24036	1341	20	21	2	4	11	8	3	5	5	9	7	5	4	3	5	8	4	5	0	2	7	71	78	122	100	113	104	109	97	56	46	51	43	51	48	46	46	4	7	2	2	0	1	2	4
24037	571	21	7	2	3	5	5	4	7	2	3	2	0	0	0	0	0	2	1	0	0	0	40	46	55	49	53	46	56	48	19	12	12	12	16	13	15	14	0	0	1	0	0	0	0	0
24038	1063	13	11	5	2	7	5	4	6	6	8	5	6	7	3	5	3	5	0	1	0	0	67	78	88	80	86	72	77	72	49	44	42	38	47	38	34	34	1	2	1	3	2	3	1	2
24039	1001	23	20	10	19	11	13	10	12	11	14	6	3	3	1	4	6	3	4	2	7	6	42	48	67	55	62	52	65	55	53	44	43	42	43	50	39	37	1	1	2	1	1	6	2	2
24040	1042	19	18	7	5	7	8	11	9	5	3	2	2	8	0	2	1	5	0	2	2	2	71	72	91	75	87	74	90	68	38	40	35	32	43	36	32	31	1	0	1	2	1	1	2	1
24041	831	15	15	5	11	7	9	7	8	6	2	7	8	7	2	1	3	3	3	2	4	1	66	65	81	65	73	59	77	56	26	21	14	14	20	15	20	13	1	3	3	4	2	5	1	1
25003	2451	15	21	17	15	12	20	22	16	11	9	5	7	5	6	4	13	15	16	16	16	12	154	159	166	155	165	155	164	155	119	115	108	109	115	115	105	105	2	4	3	1	1	2	1	0
25004	1200	17	17	13	14	15	13	9	8	8	2	7	4	2	2	3	3	3	1	1	3	3	59	68	79	69	74	72	81	71	66	62	56	57	61	56	57	51	1	4	1	1	0	1	2	3
25006	569	9	10	8	10	8	8	10	6	22	13	12	14	14	11	10	2	1	2	1	1	1	15	21	26	23	22	20	21	20	30	29	30	30	26	26	22	23	4	1	2	1	1	0	0	3
25010	2238	13	8	10	6	9	11	12	12	7	4	5	4	6	3	4	8	13	5	7	11	7	183	193	212	206	208	199	203	198	65	61	53	54	52	53	50	47	3	7	2	5	7	7	3	2
25014	1068	9	7	8	3	5	3	4	6	17	11	11	12	8	8	5	4	2	3	5	4	1	37	44	49	49	50	49	45	49	74	73	73	68	70	70	61	61	4	0	1	1	0	0	2	2
25016	2321	18	14	12	18	10	9	13	15	8	12	8	7	5	7	5	8	13	6	14	14	8	173	189	210	202	211	194	204	192	71	68	61	66	60	57	59	53	1	6	3	2	4	6	2	3
25018	921	25	16	17	15	16	15	17	16	12	15	15	11	11	7	6	2	3	1	1	1	2	22	32	40	39	41	39	41	41	53	52	50	47	53	48	38	38	6	2	2	4	3	2	2	2
25020	814	19	13	8	6	11	6	7	3	7	6	4	4	6	1	1	3	7	3	3	0	3	34	49	62	47	53	44	49	43	38	41	34	33	40	34	33	37	3	3	2	2	5	1	2	4
25021	2814	33	36	34	33	24	24	23	27	12	10	11	7	8	5	5	14	11	12	14	16	9	126	139	151	151	156	140	154	144	171	160	160	154	159	154	148	139	4	6	7	6	5	5	4	3
25025	1779	14	12	11	8	7	9	8	9	9	8	8	5	7	0	0	14	13	10	14	8	9	93	102	105	103	99	95	101	99	104	99	95	97	90	91	86	89	6	5	6	4	5	7	8	7
25027	2098	20	25	20	19	20	17	19	21	6	8	6	4	6	2	6	12	10	11	11	13	12	109	133	138	137	136	129	133	135	108	101	93	90	93	93	90	86	5	2	3	2	4	3	3	4
25029	1339	24	26	8	11	24	13	9	17	13	10	5	5	8	5	5	6	15	5	4	5	6	62	81	80	63	78	64	80	64	73	66	60	62	67	65	59	62	3	6	4	1	5	5	1	4
25031	2885	26	22	16	16	15	20	13	15	9	12	8	8	3	2	3	14	12	10	15	11	14	217	230	260	247	249	242	246	233	90	84	78	76	83	82	81	75	8	7	4	8	6	6	5	4
26001	887	7	12	8	9	8	8	7	9	2	4	1	1	2	1	3	6	4	2	2	2	1	16	19	21	17	20	17	20	18	88	81	80	78	78	81	75	69	2	2	0	0	1	3	2	0
26003	1829	19	17	16	19	12	17	14	16	5	9	1	0	0	3	1	16	12	7	7	10	6	41	45	53	52	51	48	53	53	167	155	150	148	152	154	144	139	2	4	4	2	2	2	1	0
26004	790	16	7	5	18	9	6	6	7	3	13	6	0	1	1	0	11	7	2	0	1	1	21	31	46	31	29	29	31	45	62	48	48	43	53	61	42	42	1	0	1	0	1	2	2	1
26010	923	9	8	6	9	5	7	4	9	1	5	2	1	0	0	0	4	2	2	2	2	1	10	17	19	20	19	18	18	18	100	87	88	86	92	88	80	78	1	3	1	0	1	0	0	0
26017	1269	16	17	10	4	6	9	10	9	7	9	5	4	7	3	2	11	7	7	6	5	4	63	68	79	79	81	75	81	72	67	67	61	63	66	61	57	48	4	4	4	3	3	4	1	0
26019	737	5	12	4	13	9	3	3	8	6	14	2	3	9	3	3	6	4	1	1	2	1	24	33	40	33	35	29	34	33	54	44	40	39	44	46	39	34	4	2	3	2	4	4	2	3
26021	1757	27	23	24	20	20	22	20	18	7	7	3	2	3	5	1	7	9	6	8	7	6	37	55	55	46	53	51	51	50	148	138	137	137	147	142	135	119	0	2	2	1	2	3	0	1
26027	778	9	8	13	6	7	6	7	8	5	2	3	1	4	2	0	1	0	1	0	1	0	10	14	16	16	16	14	16	20	80	75	72	70	71	73	64	63	1	1	1	0	0	1	0	0
26028	988	15	15	17	18	11	15	14	12	2	6	2	2	2	2	2	11	5	7	3	2	1	39	46	48	46	49	46	46	42	62	58	54	54	56	58	54	50	1	4	4	0	1	4	1	1
26033	1690	15	18	8	15	8	13	6	14	6	9	8	6	3	3	4	6	3	0	0	3	2	30	38	49	42	42	43	40	41	169	152	152	148	155	153	140	130	0	1	2	2	2	4	1	4
26036	1429	18	15	16	21	15	20	17	18	9	7	8	5	6	3	6	9	5	2	6	6	3	33	41	50	38	48	39	40	41	121	104	108	105	109	113	102	100	3	5	3	3	2	3	2	1
26039	1071	6	5	4	4	4	6	6	5	3	5	3	1	2	1	1	7	4	5	3	6	2	14	20	21	21	22	20	21	21	112	105	104	99	105	103	95	91	2	2	2	1	2	2	1	2
26045	435	3	4	4	5	4	5	2	4	1	8	3	0	3	0	2	7	1	0	1	2	1	10	18	18	14	14	12	12	15	46	30	31	28	29	34	29	26	0	2	3	0	1	0	1	2
26046	1035	15	10	14	15	9	13	7	11	2	4	2	0	0	0	2	10	4	3	2	3	6	35	42	42	40	44	37	41	41	79	76	69	70	68	76	65	63	2	4	1	1	2	2	2	1
27001	2656	34	32	39	35	27	26	24	26	16	12	13	7	4	4	4	11	11	12	18	9	9	124	138	161	155	167	159	159	156	143	140	130	126	125	129	119	114	5	9	4	5	5	4	3	3
27002	1428	14	13	11	9	8	8	6	10	6	8	7	5	3	4	5	10	9	6	8	5	10	96	107	126	112	116	103	114	104	52	49	43	39	45	45	40	40	5	4	5	4	3	4	2	5
27003	754	13	7	8	5	8	6	2	8	1	3	3	0	0	2	2	2	3	0	1	7	0	38	40	71	54	59	49	55	45	38	30	31	31	35	31	28	28	1	1	1	1	1	3	1	1
27004	870	14	4	5	3	5	5	1	3	8	5	7	5	10	2	3	3	3	1	1	5	2	38	46	52	39	51	42	43	38	58	52	51	48	54	53	52	49	1	1	2	0	0	2	1	2
27005	1153	27	27	13	19	14	19	11	14	9	9	7	13	5	5	3	3	2	3	2	1	4	65	72	86	75	78	75	77	68	52	44	42	39	45	39	40	38	0	1	0	1	1	0	2	3
27006	1701	33	33	26	25	26	33	26	26	16	13	10	12	9	4	10	11	15	9	8	9	10	79	108	117	101	107	103	111	102	69	67	58	54	65	58	53	54	5	6	6	4	2	3	2	3
27008	1029	31	19	12	9	17	14	8	14	6	13	4	8	2	3	4	4	3	3	1	4	1	62	69	80	71	75	67	75	68	38	37	30	32	35	36	27	28	1	2	2	5	1	3	0	5
