Precinct	total_votes	votes|Kim Foxx	votes|Bill Conway	votes|Donna More	votes|Bob Fioretti
16014	126	105	10	10	1
16015	174	144	18	7	5
16016	157	129	13	7	8
16017	162	95	38	22	7
16018	114	79	21	13	1
16019	167	125	32	10	0
16020	125	106	13	3	3
16021	140	117	14	5	4
16022	136	110	14	10	2
16023	161	79	55	19	8
16024	96	82	8	6	0
16025	179	155	13	6	5
16026	145	130	10	3	2
16027	135	117	11	5	2
16028	172	138	22	7	5
16029	126	105	15	4	2
16030	111	100	4	6	1
16031	196	165	17	8	6
16032	177	70	65	28	14
16033	113	103	8	2	0
16034	158	130	19	6	3
16035	215	124	52	32	7
16036	114	102	6	5	1
17001	223	110	71	32	10
17002	207	176	18	6	7
17003	218	176	28	7	7
17004	281	248	17	13	3
17005	146	123	12	6	5
17006	184	146	20	8	10
17007	177	102	48	17	10
17008	180	144	23	10	3
17009	166	147	10	5	4
17010	288	244	23	16	5
17011	161	136	14	11	0
17012	244	136	66	30	12
17013	150	131	12	5	2
17014	164	91	34	27	12
17015	223	193	13	13	4
17016	197	127	40	21	9
17017	201	159	24	10	8
17018	277	245	16	11	5
17019	118	98	10	9	1
17020	287	255	16	13	3
17021	324	277	24	16	7
17022	176	154	13	7	2
17023	141	117	13	8	3
17024	254	220	20	9	5
17025	161	118	25	16	2
17026	245	213	24	7	1
17027	214	189	12	12	1
17028	169	139	19	10	1
17029	158	133	14	10	1
17030	147	79	41	22	5
17031	127	105	12	9	1
17032	170	156	8	6	0
17033	105	93	5	3	4
17034	135	117	10	5	3
17035	104	99	3	2	0
17036	199	169	16	8	6
17037	216	181	22	9	4
17038	225	198	13	5	9
17039	236	204	21	8	3
17040	248	213	17	11	7
17041	291	258	18	9	6
18001	210	166	28	14	2
18002	194	101	67	14	12
18003	187	82	75	20	10
18004	291	246	29	14	2
18005	155	136	9	7	3
18006	221	97	97	20	7
18007	218	148	44	12	14
18008	265	222	27	10	6
18009	256	207	31	12	6
18010	373	298	43	21	11
18011	203	130	51	15	7
18012	206	165	17	15	9
18013	270	224	23	16	7
18014	284	244	24	9	7
18015	248	137	72	30	9
18016	238	202	22	7	7
18017	251	176	41	24	10
18018	230	204	15	5	6
18019	224	204	10	8	2
18020	190	172	11	6	1
18021	317	251	35	20	11
18022	329	279	32	12	6
18023	228	175	29	11	13
18024	188	39	113	22	14
18025	208	71	100	16	21
18026	337	290	27	13	7
18027	210	166	22	13	9
18028	217	68	112	19	18
18029	257	163	59	24	11
18030	260	72	131	40	17
18031	265	187	56	11	11
18032	271	235	23	9	4
18033	199	184	8	5	2
18034	326	293	24	6	3
18035	311	268	26	12	5
18036	231	129	68	19	15
18037	323	270	35	11	7
18038	235	214	9	8	4
18039	178	133	23	14	8
18040	243	126	69	31	17
18041	320	270	33	10	7
18042	193	143	25	20	5
18043	161	58	67	27	9
18044	209	76	101	23	9
18045	193	108	54	20	11
18046	240	83	116	30	11
18047	172	135	21	14	2
18048	166	130	23	7	6
18049	143	122	12	6	3
18050	165	121	24	12	8
19001	274	26	210	23	15
19002	444	292	94	39	19
19003	207	7	175	14	11
19004	303	26	252	16	9
19005	392	188	137	48	19
19006	286	29	211	21	25
19007	256	43	154	42	17
19008	282	13	224	28	17
19009	222	35	147	28	12
19010	385	170	137	57	21
19011	274	10	224	14	26
19012	233	11	197	13	12
19013	369	314	31	15	9
19014	308	148	110	34	16
19015	303	28	219	25	31
19016	298	16	250	9	23
19017	266	29	197	23	17
19018	346	129	153	41	23
19019	434	163	194	50	27
19020	334	215	80	26	13
19021	238	21	180	18	19
19022	376	131	177	41	27
19023	324	39	240	36	9
19024	222	11	181	15	15
19025	324	88	187	39	10
19026	327	75	184	47	21
19027	318	197	76	23	22
19028	346	282	39	18	7
19029	250	21	200	15	14
19030	254	16	208	15	15
19031	306	90	158	38	20
19032	267	41	180	24	22
19033	284	17	234	18	15
19034	311	95	159	42	15
19035	306	93	160	34	19
19036	403	269	83	32	19
19037	329	203	77	34	15
19038	287	183	66	18	20
19039	97	74	15	6	2
19040	340	141	130	39	30
19041	246	15	204	13	14
19042	252	151	78	15	8
19043	420	340	46	25	9
19044	309	19	248	22	20
19045	304	39	226	16	23
19046	328	29	263	24	12
19047	461	299	104	34	24
19048	342	292	26	15	9
19049	377	277	51	23	26
19050	252	55	163	25	9
19051	339	49	235	30	25
19052	293	21	224	22	26
19053	262	52	173	21	16
19054	222	21	159	23	19
19055	220	11	180	20	9
19056	356	152	130	52	22
19057	314	143	108	49	14
20001	250	211	17	15	7
20002	71	64	5	2	0
20003	203	171	20	9	3
