Precinct	total_votes	votes|Colleen Patricia Burns (Clinton)	votes|Michael E. Hastings (Clinton)	votes|Clarisol Duque (Clinton)	votes|Jorge Ramirez (Clinton)	votes|Shirley Madigan (Clinton)	votes|Josephine Singler (O'Malley)	votes|Nancy Heskin Jados (O'Malley)	votes|Edward D. Maloney (O'Malley)	votes|David B. Maher (O'Malley)	votes|Matthew Lafond (O'Malley)	votes|Nathaniel Harris (Sanders)	votes|Rebecca Davies (Sanders)	votes|Daniel Buys (Sanders)	votes|Myriam Calvache (Sanders)	votes|Maureen Sullivan (Sanders)
19051	1444	142	115	115	121	126	23	18	69	34	14	125	128	132	122	160
19052	1090	86	77	67	70	81	25	23	45	28	21	112	115	110	103	127
19053	1086	100	90	80	87	89	23	15	43	22	14	104	107	96	96	120
19054	742	42	34	32	35	41	22	26	41	28	23	83	83	81	75	96
19055	792	67	60	51	55	60	15	14	35	15	18	79	83	79	69	92
19056	1517	198	176	174	187	181	16	12	23	13	12	113	107	99	98	108
19057	827	83	72	73	75	73	7	8	12	8	5	81	89	74	80	87
20004	246	25	21	22	23	23	4	0	3	1	2	26	26	23	23	24
20015	574	42	32	36	81	33	5	6	7	6	9	60	82	63	57	55
20020	11	1	1	1	3	1	1	1	0	0	0	1	0	0	0	1
22001	814	108	90	87	96	105	13	10	15	7	8	71	57	46	46	55
22002	1260	117	103	111	152	120	11	15	13	11	7	113	134	107	121	125
22008	1389	129	117	114	155	130	9	10	15	17	11	151	141	119	134	137
22012	994	87	70	65	109	84	16	8	12	13	10	110	112	95	100	103
22023	1464	198	158	160	176	191	13	12	18	10	6	124	111	90	90	107
23001	1013	93	87	88	96	109	18	14	26	23	15	82	90	86	84	102
23002	973	91	88	81	91	91	21	14	22	24	16	89	88	82	79	96
23003	850	68	67	69	71	82	15	7	21	17	18	82	92	76	77	88
23004	1245	111	99	95	115	104	16	13	27	21	21	122	122	120	125	134
23005	1165	96	93	91	133	110	8	9	12	12	8	117	132	114	120	110
23006	1301	102	90	85	144	101	10	15	19	18	11	142	151	130	148	135
23007	1093	88	77	80	133	99	5	9	16	9	6	110	132	109	114	106
23008	1278	107	93	91	126	114	13	18	27	14	11	125	144	123	132	140
23009	442	41	35	34	56	39	6	5	4	7	4	44	43	38	46	40
23010	1430	116	109	110	168	125	18	19	26	19	12	147	156	132	140	133
23011	1499	127	113	119	173	151	14	16	22	10	13	142	162	143	146	148
23012	918	75	57	62	80	72	15	17	23	18	11	98	97	89	98	106
23014	768	68	50	55	65	70	12	15	20	15	12	73	82	71	71	89
23015	956	91	74	80	126	79	9	10	13	13	6	84	101	90	91	89
23016	965	89	75	78	93	88	14	11	23	15	15	89	96	82	89	108
23017	496	32	25	30	60	37	3	1	3	4	1	58	64	52	65	61
23018	954	84	77	73	85	98	20	12	21	14	6	91	94	87	88	104
23019	324	32	25	28	38	30	1	3	2	3	1	32	36	32	32	29
23020	774	52	54	52	90	54	3	10	7	4	2	86	102	87	86	85
23021	996	97	76	76	93	94	21	13	25	24	14	83	93	91	87	109
23022	1096	96	84	87	116	106	13	11	22	17	9	106	107	95	114	113
23023	1080	91	79	71	89	90	19	17	37	21	19	107	112	95	108	125
23025	990	74	68	69	104	73	10	17	13	11	9	108	120	98	115	101
23026	1018	87	68	76	129	93	13	12	20	16	11	106	111	82	98	96
23027	963	77	69	69	81	82	16	15	30	19	16	97	96	95	94	107
23028	1093	110	95	98	123	104	23	16	14	17	12	93	104	88	90	106
23029	899	68	65	70	84	82	13	7	24	21	14	84	92	86	89	100
23030	1416	108	93	101	157	122	15	11	18	16	8	147	172	142	150	156
23031	719	55	49	51	90	66	8	11	9	9	3	76	81	65	75	71
23032	1269	110	103	111	155	126	8	14	22	14	11	116	141	106	115	117
23033	1270	83	72	84	151	111	15	15	20	9	10	141	155	121	147	136
23034	675	47	40	47	69	57	4	4	11	10	4	78	79	75	74	76
23035	690	46	46	47	60	54	14	14	17	16	10	74	75	72	73	72
23036	931	85	70	75	88	80	14	15	16	11	8	99	92	90	90	98
23037	872	55	42	46	61	55	14	12	17	13	13	103	110	107	107	117
23038	916	88	77	76	90	87	19	13	16	18	12	83	90	74	81	92
23039	420	26	24	25	53	25	6	5	8	4	3	50	54	43	48	46
