Precinct	total_votes	votes|Kevin Mcdevitt	votes|Barbara Mcgowan	votes|Mariyana T. Spyropoulos	votes|Josina Morita	votes|R. Cary Capparelli	votes|Joseph Daniel Cook
12016	582	80	113	84	146	39	120
12017	657	77	142	116	147	42	133
12018	539	53	106	81	148	31	120
12019	635	70	121	127	142	45	130
12020	767	91	152	145	168	47	164
12021	639	92	124	115	137	53	118
12022	649	80	131	100	172	43	123
12023	632	82	117	111	150	40	132
13001	579	58	142	130	133	45	71
13002	660	69	173	158	134	57	69
13003	501	75	102	94	117	33	80
13004	637	99	134	140	106	76	82
13005	799	112	189	158	174	48	118
13006	659	82	152	159	125	63	78
13007	591	70	152	124	137	37	71
13008	494	54	120	104	90	57	69
13009	584	96	120	90	132	41	105
13010	499	86	99	98	81	59	76
13011	723	81	187	176	153	60	66
13012	615	95	150	112	127	46	85
13013	783	92	192	175	193	38	93
13014	615	79	139	127	141	46	83
13015	1186	142	281	242	284	63	174
13016	504	64	118	100	121	32	69
13017	649	90	159	129	133	50	88
13018	467	83	90	87	69	57	81
13019	804	95	198	154	209	39	109
13020	366	59	72	79	56	51	49
13021	687	108	138	158	124	81	78
13022	685	110	154	133	121	66	101
13023	533	68	120	101	142	37	65
13024	642	84	147	141	156	38	76
13025	721	89	171	157	152	53	99
13026	855	88	229	197	206	50	85
13027	658	109	153	133	112	50	101
13028	607	78	152	110	139	34	94
13029	528	83	118	89	122	40	76
13030	585	64	147	132	151	28	63
13031	691	92	150	141	125	93	90
13032	576	89	132	132	83	67	73
13033	577	94	133	124	101	53	72
13034	1056	80	283	271	309	33	80
13035	646	67	165	150	174	22	68
13036	429	61	102	77	108	19	62
13037	775	93	209	169	160	36	108
13038	497	64	109	99	97	75	53
13039	699	78	187	158	174	31	71
13040	599	62	146	127	150	42	72
13041	714	86	177	136	175	35	105
13042	545	92	118	121	90	54	70
13043	760	88	202	172	166	39	93
13044	1147	54	349	328	343	15	58
13045	869	102	216	193	180	78	100
13046	815	112	194	148	208	40	113
13047	727	91	187	134	181	37	97
13048	622	76	158	136	112	71	69
14001	670	96	141	145	117	71	100
14002	920	122	189	183	229	56	141
14003	739	89	163	129	195	43	120
14004	508	75	112	97	87	55	82
14005	995	85	243	194	294	54	125
14006	402	40	98	74	114	20	56
14007	686	83	133	103	169	58	140
14008	667	86	132	97	182	46	124
14009	746	88	154	163	135	73	133
14010	507	70	111	100	112	38	76
14011	505	60	120	106	136	21	62
14012	631	69	154	124	141	37	106
14013	595	68	124	119	142	43	99
14014	737	82	166	132	191	40	126
14015	781	99	184	141	206	31	120
14016	529	75	112	97	125	41	79
14017	519	49	111	94	145	29	91
14018	254	36	54	49	52	20	43
14019	782	115	167	120	177	50	153
14020	444	53	99	78	100	33	81
14021	593	70	130	95	177	27	94
14022	706	102	143	134	136	61	130
14023	473	53	117	88	98	31	86
14024	686	88	162	146	119	60	111
14025	447	45	102	91	123	21	65
14026	486	51	109	84	121	33	88
14027	601	71	128	107	157	43	95
14028	473	61	113	91	108	30	70
14029	586	60	152	106	150	33	85
14030	401	55	88	63	96	25	74
14031	444	59	90	73	119	34	69
15001	522	54	123	78	121	34	112
15002	368	78	112	42	36	15	85
15003	395	74	109	60	41	14	97
15004	535	68	89	84	137	39	118
15005	596	81	121	76	150	39	129
15006	562	64	112	84	134	33	135
15007	453	69	114	69	58	26	117
15008	545	78	100	77	133	43	114
15009	666	96	132	89	157	47	145
15010	823	103	143	161	175	62	179
15011	761	118	156	99	167	58	163
15012	758	100	159	111	181	52	155
15013	566	66	113	89	148	45	105
15014	500	62	106	61	139	35	97
15015	520	63	102	68	142	31	114
15016	565	72	119	78	134	29	133
15017	374	69	111	51	43	14	86
15018	406	74	111	60	45	12	104
15019	463	71	104	72	85	29	102
15020	328	58	94	50	36	13	77
15021	423	92	120	60	45	23	83
15022	457	83	120	75	45	24	110
15023	454	78	128	66	58	22	102
15024	374	51	121	49	41	19	93
16001	655	83	117	86	175	53	141
16002	542	109	156	75	72	20	110
16003	426	91	123	51	44	19	98
16004	416	80	110	61	49	19	97
16005	445	84	128	60	47	19	107
16006	498	102	122	79	59	27	109
16007	493	82	135	68	81	25	102
16008	365	72	83	49	56	25	80
16009	588	117	172	71	76	27	125
16010	455	88	135	73	50	21	88
16011	525	92	137	76	72	38	110
16012	472	94	132	58	62	22	104
16013	559	97	124	70	121	38	109
16014	376	77	113	53	42	16	75
16015	540	101	164	72	71	20	112
16016	508	106	153	58	61	17	113
16017	514	73	123	68	102	26	122
16018	474	85	134	54	64	29	108
16019	488	95	143	65	58	16	111
16020	465	82	139	59	65	16	104
16021	399	80	101	54	53	22	89
16022	458	89	123	61	61	19	105
16023	543	84	112	75	126	33	113
16024	318	69	77	44	30	22	76
16025	508	110	150	63	52	21	112
16026	371	75	117	49	41	12	77
16027	366	77	106	53	46	12	72
16028	453	82	142	62	64	18	85
16029	465	99	118	66	51	24	107
16030	419	89	113	53	54	14	96
16031	460	84	125	63	64	19	105
16032	574	83	111	68	139	33	140
16033	441	82	119	71	53	18	98
16034	463	95	120	64	49	22	113
16035	596	93	141	77	118	31	136
16036	363	70	106	42	45	19	81
17001	547	87	128	77	117	29	109
17002	554	85	176	64	79	28	122
17003	603	114	170	80	74	31	134
17004	793	134	242	108	118	30	161
17005	514	87	136	77	73	24	117
17006	560	103	154	85	82	35	101
17007	630	111	134	86	119	36	144
17008	550	91	168	75	73	24	119
17009	613	91	171	103	88	40	120
17010	654	118	197	92	88	31	128
17011	485	91	142	66	62	24	100
17012	853	129	209	131	172	47	165
17013	479	86	139	64	67	13	110
17014	641	103	151	108	129	38	112
17015	610	114	169	89	74	30	134
17016	598	95	163	71	107	41	121
17017	578	106	173	76	75	24	124
17018	742	105	215	146	125	14	137
17019	396	77	114	46	53	22	84
17020	910	118	293	160	170	32	137
17021	845	142	244	121	129	29	180
17022	541	91	150	101	63	23	113
17023	421	99	117	54	45	20	86
17024	655	117	196	107	88	18	129
17025	554	92	159	80	82	23	118
17026	735	121	212	108	120	41	133
17027	628	134	178	81	91	24	120
17028	531	101	143	71	90	20	106
17029	546	84	166	89	68	26	113
17030	515	88	123	74	98	37	95
17031	384	72	113	50	54	19	76
17032	492	100	129	61	63	29	110
17033	366	65	111	52	48	18	72
17034	470	88	134	65	59	25	99
17035	495	92	135	76	66	24	102
17036	708	125	215	100	92	33	143
17037	538	95	164	82	70	18	109
17038	626	85	192	101	111	19	118
17039	576	112	158	85	85	28	108
17040	691	138	211	104	89	25	124
17041	750	134	219	110	94	39	154
18001	620	87	160	114	92	36	131
18002	601	69	144	166	123	25	74
18003	467	73	103	91	74	41	85
18004	739	111	202	158	125	26	117
18005	442	88	118	77	45	26	88
18006	519	89	111	106	74	48	91
18007	655	106	170	128	98	27	126
18008	683	107	193	152	93	21	117
18009	653	99	179	130	100	28	117
18010	1015	147	279	192	162	43	192
18011	582	82	132	126	113	24	105
18012	604	104	178	103	89	20	110
18013	685	108	173	150	99	29	126
18014	728	113	201	145	109	31	129
18015	818	127	189	140	162	48	152
18016	641	108	185	119	84	25	120
18017	680	106	176	132	105	40	121
18018	599	109	181	95	86	20	108
18019	649	94	188	112	103	20	132
18020	552	86	146	84	89	30	117
18021	858	133	219	188	122	39	157
18022	830	137	238	155	108	34	158
18023	594	103	170	89	85	28	119
18024	598	81	126	121	122	49	99
18025	586	85	141	112	112	41	95
18026	887	115	261	178	133	37	163
18027	514	92	145	66	79	25	107
